排名,标题,播放量,讨论数,得分
1,【官方MV】Mojito - 周杰伦,1255.4万,13.2万,12070291
2,《Numb》——4K超清  翻唱,543.8万,2.2万,4958457
3,被上帝吻过的嗓子,782.5万,3.1万,4456943
4,满级大佬屠杀新手村,469.0万,1.1万,3924859
5,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,164.3万,1.5万,3430327
6,油管千万粉大神Kurt入驻b站！,270.1万,1.2万,2971886
7,'我  佛  了',262.0万,1.9万,2797668
8,热水澡,252.9万,1.9万,2753984
9,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,199.8万,6274,2680102
10,清唱，他不爱我,305.1万,8829,2645259
11,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,164.3万,2774,2080376
12,成都街头 含泪演唱《曾经我也想过一了百了》但 那只是曾经。,164.2万,3054,1915078
13,BLACKPINK 新曲《How you like that》MV公开,291.8万,4.8万,1753906
14,【经典】周杰伦全MV 【191P】,171.0万,2.5万,1748528
15,《明日方舟》EP - Reversed time,101.8万,7432,1743602
16,好听到头皮发麻！儿童震撼合唱《See You Again》,80.5万,3257,1733341
17,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,56.2万,7537,1621422
18,《瘾》原创说唱×国家禁毒日宣传曲,53.7万,1292,1576844
19,【某幻/中国BOY】电子羊,106.3万,7116,1570650
20,【真童年】一秒落泪？ 洛克王国BGM 串烧 编曲键盘演奏,75.6万,1.3万,1551570
21,【阿宅专用】是阿宅就来听听这个！,75.3万,3234,1525504
22,电音大神棉花糖Marshmello来啦！和我一起回顾热血中国行吧~,173.5万,1.2万,1514869
23,【祖娅纳惜】海底（灵魂没入寂静  无人将你吵醒）,61.8万,2062,1489021
24,【摇滚合奏】一代人童年的英雄：迪迦奥特曼5首音乐无缝串烧（片尾曲演唱）,52.0万,6317,1476157
25,I LOVE YOU - 筷子兄弟,152.8万,1.7万,1466675
26,【黄龄】#乘风破浪的姐姐#浴室版《芒种》来啦！,213.8万,1.8万,1456413
27,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,63.3万,2173,1432016
28,如果把【黑人抬棺】做成中国风音乐,86.3万,7372,1355642
29,【钢琴】戴上耳机！《处处吻》钢琴超还原完美演奏版 前方高能！,75.8万,2108,1331804
30,神曲天后龚琳娜的《下山》来了！一人hold六声部，国家队神仙演绎,97.6万,3618,1320720
31,【海伊原创】好字唯之【忘川风华录】,43.1万,2979,1264091
32,日语版《想见你想见你想见你》翻唱【鹿乃】,52.5万,2670,1242478
33,【王者之歌】王者荣耀·100英雄群像献礼歌《百战成诗》,73.5万,4.1万,1219303
34,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),150.2万,2.6万,1205583
35,【Animenz】名侦探柯南 主题曲 钢琴版,57.5万,2553,1188387
36,【40mP】恋愛裁判 Love Trial【初音ミク】,37.4万,2105,1180594
37,芒种 翻唱,60.0万,3243,1177208
38, 【古筝】千本樱——你可见过如此凶残的练习曲,88.5万,5755,1166671
39,《野草》：我把16篇鲁迅写成了一首歌,45.8万,702,1159888
40,他永远都不知道他这首歌在QQ飞车里有多火,131.4万,5599,1141666
41,【4K】全网最秀最好听的 DANCE MONKEY - Peter Bence （Piano Cover）,57.6万,884,1140750
42,【1080P修复合集】周杰伦2000~2011发行MV 1080P修复版合集,41.9万,8571,1123495
43,【讽刺】This is America,175.4万,3210,1123326
44,【4K 60FPS】迈克尔·杰克逊《Smooth Criminal》MV,46.6万,1716,1118299
45,还原度99%的守护甜心op《心灵之蛋》翻唱，一开口就有内味了,37.8万,5258,1117290
46,周杰伦封神的十大神级金曲（地表最强画质）,65.4万,9726,1110971
47,2019最火热单宇宙大串烧,45.5万,603,1102091
48,【unravel】原唱大佬在家唱unravel！TK from 凛として時雨「Home Live」,38.0万,1699,1101757
49,【东京喰種/周深】神仙合唱！B站首个周深&TK合唱《unravel》版本！左右声道《Unravel》自制AMV,47.7万,2312,1099199
50,【WNS中字】200605 Still With You by Jung Kook 田柾国,43.3万,6446,1094609
51,听说日本假唱犯法，所以才逼出这7个神级现场！每首都能血洗全网,113.3万,5129,1061309
52,【泠鸢翻唱】夏天的风1988（回见！我去八十年代了！）改编：羊真闲,49.2万,1982,1058672
53,【三无】蒸汽金鱼【原创曲】,37.1万,1795,1051255
54,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,75.5万,1681,1050463
55,好帅两女的合唱yellow♪性冷淡高中生X性感酷御姐【瘫君X汄天人】,41.1万,570,1050189
56,Everyday I'm...,63.4万,4527,1004752
57,燃炸！Henry刘宪华路演一人一乐队版5SOS《Young Blood》Loopstation！Live！,64.0万,1.3万,1002084
58,我把高考必背历史做成了一首歌！,34.3万,2252,1001920
59,孙燕姿出道20周年直播 LIVE 官方1080p,44.7万,7697,1001918
60,《入海》bilibili X 毛不易 | 跃入人海，各有风雨灿烂,52.3万,7225,996883
61,永恒不朽的经典《We are the world》，每次听都是震撼心灵的盛宴,47.6万,1245,962863
62,【钢琴】《地下城与勇士》dnf十首经典BGM联弹 女鬼剑的演奏时间,85.7万,5176,959513
63,《一路向北》让过去的伤感飘在夜风中,69.3万,1659,936055
64,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,43.6万,972,924370
65,IZONE最新回归曲Secret Story of the Swan幻想童话MV+打歌舞台合集(更至200628),137.3万,2.0万,917118
66,周杰伦-《最后的乌兹》致-uzi，致永远滴神,94.7万,2562,913201
67,【BLACKPINK】天哪！！！我终于找到这场了，我太爱这张的打歌服 - Don't know what to Do,80.7万,3638,912818
