排名,标题,播放量,讨论数,得分
1,最 强 法 海,1002.3万,4.0万,9085694
2,【川普】浮夸，是一个卧底最好的掩饰,342.1万,2.5万,4650698
3,每天一遍，北大相见,232.3万,5207,3367726
4,【川普】没人比我更懂China！,377.4万,1.6万,3099160
5,大家好我是周淑怡，今天正式入驻B站啦！一首《拍桌少女》送给大家！,582.6万,5.1万,2496625
6,【特朗普】没有人比我更懂模仿！,222.0万,4366,2247729
7,每天一遍，遁入空门,309.1万,3539,2190462
8,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,258.6万,1.2万,2123045
9,【派大星的独白】一个关于正常人的故事,142.4万,1.4万,1881092
10,执着的骚猪,110.1万,1851,1763898
11,ZBC大战奥利给之无情哈拉少,165.3万,3110,1743039
12,【罗翔】亡 匪（王妃）,71.1万,4458,1704842
13,【曹操】曹操行,82.5万,4066,1675303
14,【华农兄弟】青花瓷(请华吃),90.5万,6625,1669531
15,建议改成：致 命 节 奏,185.9万,2748,1668706
16,【特朗普】loser 一个卧底的独白,75.4万,4107,1447873
17,爆笑虫子2,103.1万,3662,1375429
18,战  茄 （完整版）,70.6万,1.1万,1368804
19,地 摊 阵 线 联 盟,162.0万,1981,1332728
20,【明日方舟】黄铁行动的高光干员们,59.2万,1192,1331208
21,神仙打架,125.3万,8098,1325631
22,【全明星】布拉格广场,91.1万,2895,1322463
23,王 雷 炸 鱼,132.1万,1941,1322414
24,【川普】正道的光（建国的光）,114.4万,7288,1297589
25,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,146.1万,1.4万,1267505
26,如果不是真的喜欢，谁愿意当舔狗？,164.1万,3325,1260370
27,【仝卓·高考】盗将行,104.8万,3020,1247817
28,油管上超火的特朗普的鬼畜,167.7万,6222,1239212
29,【大威天龙】腚 力 练 习 僧,94.7万,2347,1233214
30,你想和爹妈唠嗑吗？,61.1万,1591,1198271
31,【高燃泪目】没有人比我更懂无间,79.8万,5452,1185874
32,【鬼畜战争大片】拯救带兵鲲鲲：终极之战（完结篇）,59.3万,8695,1151797
33,【王者荣耀】诸神之战,113.5万,4851,1133796
34,油管上一个亿的特朗普的鬼畜，xswl。,141.6万,1.2万,1132106
35,【大威天龙】法海上非诚勿扰,90.0万,5101,1127665
36,【王雷】祖 安 卖 鱼,114.7万,969,1125573
37,刘备：我跟罗贯中很熟,89.0万,2343,1105976
38,希 望 家 人 没 事 儿,72.0万,2711,1087392
39,建议改成：中 美 日 合 拍,71.7万,5241,1086429
40,【DNF】你好，再见,70.3万,1480,1077927
41,建议改成：取 消 后 摇,106.5万,1534,1076415
42,建 议 改 为 ：让 惊 喜 飞,58.6万,2789,1054324
43,起飞诶飞,66.4万,957,1036908
44,对不起老师，我错了,161.8万,5219,1034538
45,【两个神经病】祖 安 医 生,76.7万,1485,1032592
46,up主把摆摊名场面们做成了一个沙雕鬼畜,76.3万,1788,1030270
47,他就叫卢本伟！,63.0万,2575,1020705
48,特朗普演示喝消毒液后被抬走,177.3万,5721,973421
49,今天我再次奢侈一把！,132.6万,1097,971187
50,【川普】青花瓷（高能泪目）,54.2万,6434,960702
51,"雷宝——内置""林北""王雷语音的人工智能",49.4万,2484,917457
52,孙笑川都干了哪些坏事？,83.5万,2071,915683
53,【上海川】川普：我一开口，你币就没了,60.6万,4077,913452
54,【超高能生草rap】胡 说 八 道 布 施 明,52.3万,1774,912695
55,希 望 海 鲜 没 事,83.4万,1003,908441
56,吉良吉影看上了藤原书记的手？——神奇联动系列,44.2万,1642,884048
57,【周淑怡rap】巴 黎 剩 母,88.3万,1605,877159
58,老 八 再 次 竞 选 总 统,83.4万,3217,865767
59,希望卢本伟没事🙏,75.4万,2686,864564
60,【中美合拍】一 代 洋 相 川 建 国,56.0万,1547,843443
61,【全明星】Way Back,33.7万,7047,837793
62,【黑人抬棺】车头一翘，_________,76.8万,2597,835989
63,【CSGO大茄子】白 给 话（中国话）,63.4万,4306,815414
64,学校欠他一座小金人,94.3万,2915,793122
65,法海：没人比我更懂捉妖,69.5万,758,790680
66,梁非凡入驻B站？那就来段鬼畜欢迎一下吧！,103.2万,1630,787309
67,【DIO】面包们，我开通B站帐号了！让我们一起嗨到不行！,57.1万,2069,779963
68,【JOJO】嘻唰唰,32.5万,1073,778493
69,【鬼畜电影】侏罗纪世界（完整版）,30.2万,7659,773735
70,川建国同学，你妈妈拿了两罐消毒液要给你,49.9万,1659,770252
71,天 农 八 部,41.7万,1414,766655
72,【张大仙Rap】全程核能！你能大声呼唤一声我八戒吗？？？,50.2万,2115,758292
73,【全明星】Payphone,32.6万,2161,742220
74,【杨超越rap】干啥啥不行，吵架第一名,62.8万,2408,734221
75,【卢本伟】仙剑开侠传,54.8万,2831,715407
76,【五五开】穷开挂,65.1万,3221,702558
77,【川普】处处吻,53.4万,5517,697749
78,等你♂下课,47.2万,2514,696344
79,【阴阳怪气】淦 ~,32.8万,662,695466
80,【全明星】Despacito,31.9万,3125,694847
81,【布施明】变成Rap God了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,36.6万,1250,687223
82,卢登的回声♫,40.0万,639,682864
83,【川普】曹操（高燃）,49.3万,5957,679768
84,【鬼畜剧】阴阳怪气宫斗大戏（七）,38.5万,3449,679593
85,盗 版 X P 8 8 音 乐,49.8万,854,677038
86,三   国   不   裂,48.0万,2478,670798
87,【卢本伟】something just like this,35.0万,1.1万,663804
88,【杨超越】Believer,50.5万,1850,663760
89,鬼 畜 区 现 状,61.4万,1919,661988
90,【哲学】你要跳♂舞吗？,44.6万,2130,653540
91,LOSER♂,28.3万,1143,644095
92,【循环向】跟着雷总摇起来！Are you OK！,54.0万,1218,640388
93,赌 怪（完整版）,40.1万,7980,630180
94,【川普】卧底多年终究还是暴露了（高能泪目）,55.4万,4884,626200
95,【家有儿女】家有骚话！必须糊 糊穿地心,31.5万,1044,618384
96,【JOJOの奇妙口技】樱 桃 分 你 一 半,32.9万,1036,615669
97,大家好，我是子安武人，我来b站啦doge,66.7万,1010,613881
98,建议改成：G T A 8,46.6万,1599,603452
99,【梦幻联动】我一眼就看出你没人抬,40.4万,1033,601367
100,【川普&局座】笼 中 对,33.6万,1418,581010
