排名,标题,播放量,讨论数,得分
1,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,474.4万,2.8万,10349313
2,毛选朗读（1～5卷） 持续更新中…,138.9万,1.4万,5280345
3,一个人，造出让40亿人震碎的夜晚！,368.3万,3.2万,4936584
4,眼“色”游戏 （2）,279.2万,7.2万,4071200
5,当 滑稽 和其他表情合体,251.0万,1.9万,3847718
6,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,175.0万,2.6万,3688478
7,【醒醒】中华儿女该起床了,115.0万,1.5万,3428181
8,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,159.0万,1.5万,3350441
9,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,364.1万,3.3万,3303202
10,口技大师！,278.3万,7.4万,3183977
11,小翔哥回来了，我们重新开始,424.9万,3.7万,3028188
12,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,351.9万,2.7万,2645551
13,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,165.8万,6.0万,2599515
14,骁话一下：为什么欧洲没有互联网？,302.3万,3.6万,2501171
15,【费玉污】《一剪梅》被删减版本！,189.1万,1.3万,2487512
16,最 强 汤 姆,207.2万,8057,2418712
17,鬼知道我看了几遍！,214.2万,4789,2278594
18,最 强 法 海,183.9万,9046,2244375
19,马化腾曾扮妹子陪聊！【阅片无数53】,301.1万,4.2万,2199266
20,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,174.3万,3671,2150379
21,【童年经典/反派手书】你管这叫童年阴影？！,72.0万,5332,2131633
22,【以衣换衣·第二期】衣 服 换 换 换,276.7万,2.0万,2072714
23,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,244.2万,2.9万,2067347
24,为了做游戏，我花了10年自学程序、美术、音乐、策划,88.8万,1.3万,2066982
25,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,245.0万,1.1万,2058120
26,油管播放量破亿却惨被删除封号的特朗普恶搞视频,283.9万,5744,2039680
27,当  代  网  络  现  状,192.6万,3876,2027700
28,“王 者 荣 耀 全 英 雄 介 绍 ”（共100个）,187.9万,1.2万,1959100
29,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,67.6万,1.8万,1885527
30,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,32.1万,1331,1867269
31,【片片】开播炸裂！小孩子玩弄变态杀人犯，国产悬疑终于能打了！过瘾解说《隐秘的角落》1-6,315.6万,2.8万,1847165
32,世界上BUG最多的搞笑游戏 每局1500个BUG,346.1万,1.0万,1834479
33,4大勺糯米2大块肉，连吃几个都嫌不够,211.7万,1.3万,1813591
34,大  威  天  妈,195.3万,3994,1766243
35,乘风破浪的姐姐-大碗宽面练习室版舞蹈,164.1万,1.4万,1748612
36,【川建国传】请叫我红星队长 3D自制短片 不是封面党,131.2万,4782,1711925
37,【艾叔】4K | 成都麓湖1.5亿豪宅，开游艇的神仙生活是什么体验,175.1万,1.9万,1701718
38,【木鱼微剧场】《红楼梦》（全集）,80.4万,2.5万,1696404
39,LOL最狠海贼拳法 你不打也得给我打的套路[有点骚东西],139.3万,7652,1692132
40,妈妈问我为什么要跪着看手机！,88.7万,1541,1688359
41,当西游记的BGM在中土战场响起。去他的魔戒，我要吹爆这支喇叭...,150.5万,6027,1670214
42,劈腿撕逼抢男人！全程高能！ 三角恋名场景TOP10！,126.7万,2.0万,1664392
43,蜜瓜JK妆！毕业要和姐妹去迪士尼拍照呀！,149.5万,1.2万,1621499
44,应该是最后一期了,126.6万,5.0万,1593803
45,【半佛】应届生求职利益最大化指南,84.6万,7999,1583614
46,50元和2000元的猫有啥区别？2000的逐渐同化！,166.4万,8566,1577827
47,无  限  转  场,72.4万,1421,1574569
48,当有陌生人敲门！打开这个视频！快！,42.8万,587,1567912
49,老王有媳妇儿了！【德华的世界#6】,127.9万,2.4万,1564716
50,体态纠正大师,141.0万,1.7万,1563108
51,别说马赛克了，这些动漫角色化成灰我都认识！【动漫高手02】,168.7万,2.9万,1561668
52,如何拒绝别人,115.0万,2797,1557750
53,《樱  桃  老  丸  子》,106.4万,1622,1550423
54,BLACKPINK 新曲《How you like that》MV公开,221.8万,4.3万,1540621
55,《瘾》原创说唱×国家禁毒日宣传曲,51.2万,1253,1526857
56,能看到第15秒吗？,86.6万,4869,1508265
57,【阿宅专用】是阿宅就来听听这个！,71.4万,3121,1480555
58,与火星的孩子对话（现场版） - 华晨宇,47.6万,9.4万,1457208
59,满分UP主倾囊教你写高分作文！最强攻略！【满分作文攻略01】,34.0万,5141,1453637
60,没 有 人 比 我 更 懂 明 日 方 舟,46.0万,1767,1417118
61,【戴建业】苏轼悼亡妻《江城子》，我每次读都很难受,137.0万,1.2万,1406392
62,欢迎报考浙江大学！！！,228.6万,1.1万,1400568
63,吃了两星期豆腐，废了几十斤豆子，豆腐脑终于可以出摊了~【街头美食在家做】,102.6万,1.4万,1352448
64,【罗翔】亡 匪（王妃）,53.7万,3614,1351452
65,每天一遍，北大相见,74.2万,2060,1346547
66,高考作弊记,81.1万,3157,1322484
67,手机丢了第一件事绝不是报警,68.2万,639,1288328
68,学婊的千层套路,89.2万,3783,1283711
69,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,117.0万,4954,1280652
70,特朗普首次回应B站恶搞视频,185.2万,6743,1277893
71,工资回收计划,133.8万,2.7万,1276834
72,【Minecraft】前方高能！！这期视频将会非常爆肝！上热门必须吃ICE！,37.8万,1792,1244481
73,【鹿鸣x鹿鸣】这个端午，双倍丝滑！双倍快乐,100.9万,676,1241850
74,【warma】怎么办！我现在好怕被2233娘封号,82.1万,6051,1222953
75,【真人GTA】老 年 崔 佛,113.4万,3625,1222736
76,【自制】如何把门禁卡做成你用不起的样子？硬核UP自制带屏幕的NFC名片,63.3万,2443,1220236
77,暴 躁 老 哥,196.4万,8300,1212460
78,【如何正确逼自己学习！！】纯干货/克服拖延/找到状态/学霸养成,37.7万,1556,1210219
79,史上最厚血量，被打了6分钟还活着！？,232.5万,7988,1206593
80,模仿六大平台吃炸鸡，味儿太冲了,149.3万,1.2万,1205927
81,忙碌了2个小时陈师傅决定原地去世,140.6万,510,1200521
