排名,标题,播放量,讨论数,得分
1,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,25.8万,1002,1455169
2,最 强 汤 姆,106.6万,2896,1253418
3,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,98.4万,7300,1213532
4,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,44.9万,9797,1204552
5,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,57.5万,1556,1140770
6,【懂点儿啥】李嘉诚开挂的一生（上）：“统治”香港,96.9万,1.5万,1132490
7,爱一个人，就陪她走一遍儿时的路,50.6万,1.6万,1028638
8,把11个up主的五官拿出来打乱 还能再复原么？,100.4万,2.2万,987240
9,【片片】隐藏结局全解读！国产悬疑封神作！最终真相令人窒息！过瘾解说《隐秘的角落》大结局,100.7万,1.0万,976729
10,火锅大王消失的这段时间发生了什么？,43.1万,2859,817836
11,眼“色”游戏 （2）,57.6万,7357,814948
12,武松打得过这玩意儿？,110.1万,2197,807103
13,为了做游戏，我花了10年自学程序、美术、音乐、策划,32.0万,3548,793721
14,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,65.7万,3123,740318
15,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),58.3万,1.3万,714429
16,5斤鸡腿做韩式炸鸡腿，帅小伙做了满满两大盘吃着太过瘾了！,81.4万,1.1万,713103
17,华农兄弟：听说兄弟在割蜂蜜，去帮一下忙，顺便搞点来尝一下,105.8万,1.4万,686561
18,直男第一次做手工会发生什么？！,53.0万,9048,686292
19,【STN快报第五季01】乔尔的命也是命,43.3万,7170,678424
20,乘风破浪的姐姐-大碗宽面练习室版舞蹈,49.1万,3784,665563
21,【半佛】应届生求职利益最大化指南,35.8万,2466,663853
22,【舞小喵】短裙-Miniskirt❤性感小野猫来袭~,26.7万,426,638720
23,【奇怪的传播学】下行生育率背后的传播学逻辑,34.1万,4691,634380
24,和 风 美 女,35.7万,9828,624725
25,一个人，造出让40亿人震碎的夜晚！,30.1万,3324,611414
26,【黄龄】今天也是越来越《喜欢你》们的一天吖！,46.5万,5340,600245
27,【朱一旦】203 螳螂扑蝉 黄雀在后,87.2万,3860,592440
28,大  威  天  妈,42.5万,960,587809
29,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,35.3万,6474,567629
30,五斤大公鸡练手，媳妇上演霸气厨娘，大sao没有上桌，角落吃过瘾,65.9万,1.0万,566061
31,业界真的要完！2020七月新番推荐,34.1万,2121,547761
32,老王有媳妇儿了！【德华的世界#6】,35.1万,4028,527201
33,【费玉污】《一剪梅》被删减版本！,32.5万,1586,518456
34,【主播真会玩女神篇】101： 淑怡眼球追踪自动瞄准，女流再战科二终克心魔,51.7万,7969,515776
35,模仿六大平台吃炸鸡，味儿太冲了,41.4万,2762,512145
36,“这是我爸”“爸！”,55.6万,1087,501719
