排名,标题,播放量,讨论数,得分
1,【官方MV】Mojito - 周杰伦,1244.4万,13.1万,11996065
2,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,474.4万,2.8万,10349313
3,最 强 法 海,1028.0万,4.1万,9320100
4,Uzi | 大家好，我是你们的枣子哥简自豪，今天正式入驻B站啦！,827.4万,4.5万,9264895
5,【老番茄】史上最骚杀手(第十集),562.8万,6.8万,8463702
6,如何拒绝别人,715.0万,2.1万,7660113
7,《樱  桃  老  丸  子》,654.9万,9439,7555881
8,小时候看笑话，长大后看真实,392.1万,2.8万,7092056
9,【醒醒】中华儿女该起床了,234.8万,3.0万,6475811
10,骁话一下：为什么中日韩一谈合作，钓鱼岛就出事儿？,393.2万,5.8万,5699464
11,【过于真实】天 下 老 师 皆 是 一 家,393.3万,2.8万,5633842
12,毛选朗读（1～5卷） 持续更新中…,138.9万,1.4万,5281216
13,靠谱盘点86:先就到这里吧！我们下期再见！,296.9万,2.9万,5153284
14,小翔哥回来了，我们重新开始,579.2万,6.9万,4927392
15,《Numb》——4K超清  翻唱,538.9万,2.2万,4924757
16,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,228.6万,1.6万,4896855
17,用六十部动漫台词唱出一首《稻香》,157.3万,1.1万,4703556
18,【童年经典/反派手书】你管这叫童年阴影？！,165.1万,1.5万,4694953
19,这个王者明明超强却喜欢捡垃圾吃【龙女动物学15】软甲纲,317.1万,1.5万,4692941
20,【川普】浮夸，是一个卧底最好的掩饰,340.1万,2.5万,4634446
21,被上帝吻过的嗓子,773.5万,3.1万,4423978
22,满级大佬屠杀新手村,502.6万,1.1万,4237874
23,眼“色”游戏 （2）,279.2万,7.2万,4071200
24,耗时..... 算了，白嫖吧!,215.0万,7886,3996299
25,能看到第15秒吗？,318.8万,1.8万,3992384
26,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,100.3万,1.8万,3984977
27,当  代  网  络  现  状,466.4万,9213,3934775
28,电竞运动员Uzi退役独家专访：如果时间还够，很多东西我可以做到,335.5万,4.4万,3852438
29,当 滑稽 和其他表情合体,251.0万,1.9万,3847718
30,手 往 哪 摸 呢 ？,435.3万,4.7万,3742485
31,B站的儿童节礼物：哔哩哔哩视频卫星，把世界拍给你看！,600.4万,3.1万,3710517
32,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,228.5万,1.6万,3702292
33,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,175.0万,2.6万,3688478
34,脱 离 苦 海,325.2万,10.2万,3654426
35,高考作弊记,277.7万,1.3万,3623014
36,【川普】没人比我更懂China！,422.3万,1.8万,3498856
37,壮阔史诗！二战历史年表，超燃影视化剪辑【历史调研室】,115.0万,1.5万,3488382
38,【互动视频】100%算中你的年龄！,330.1万,4.4万,3426685
39,8分钟简单高效瘦胳膊运动，还能练出锁骨、直角肩，消除斜方肌｜亲测一周见效，无器械，无需场地，站着做瘦手臂操！,225.3万,1.1万,3412872
40,相 机 大 战,217.3万,1.1万,3355046
41,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,159.0万,1.5万,3350441
42,情同手足,444.6万,5.7万,3346336
43,每天一遍，北大相见,226.2万,5060,3306672
44,我 摸到了！,325.4万,3.6万,3250786
45,"泰戈尔《飞鸟集》英文版326首全集(英音+美音), 适合朗读和练听力",44.5万,1039,3237690
46,当有陌生人敲门！打开这个视频！快！,90.1万,1362,3236908
47,快给我住手！你喷错人了！！,391.1万,6318,3226113
48,BILIBILI 11周年演讲,319.8万,9.1万,3183974
49,【毕导】建议收藏！如何在毕业答辩上一展雄风，成为答辩之神！,122.1万,7335,3177907
50,【麦长青】真当我“梁非凡”不上B站,452.5万,2.3万,3175696
51,妈妈去世后，就再也没有吃过了…,249.7万,6859,3161517
52,看看他最后是怎么离开死循环的,353.7万,5512,3096796
53,鬼知道我看了几遍！,337.2万,6164,3082205
54,选来选去还是这首歌最合适放学的她,606.5万,3969,3039697
55,油管千万粉大神Kurt入驻b站！,268.0万,1.2万,2956773
56,高 ping 战 士,661.4万,5033,2911823
57,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,213.3万,6654,2890493
58,六 一 儿 童 劫,487.1万,8428,2859097
59,'我  佛  了',265.7万,1.9万,2842246
60,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,45.9万,2152,2802184
61,曾火遍全网的《溯》，你是否还知道？,164.7万,6223,2789786
62,【4k/裸眼3D/无水印】爆肝抠图1350张，该细还得细！,108.5万,1591,2780939
63,换了16套裙子为爱应援！Lo娘也有爱豆梦！,337.8万,1.8万,2749953
64,热水澡,251.8万,1.9万,2746701
65,香港雀巢咖啡粤语&日语动画宣传广告,145.4万,3851,2743472
66,前方高能！！这是真的！# @ % ￥ 燃,298.4万,1826,2718051
67,10分钟下腹部小肚子运动｜高效燃脂、无工具【周六野Zoey】,85.5万,4482,2699802
68,B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,47.6万,1371,2688262
69,当你迷失自我的时候请看下这个视频,223.4万,9557,2661329
