排名,标题,播放量,讨论数,得分
1,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,467.8万,2.8万,10212449
2,最 强 汤 姆,276.3万,1.0万,2927010
3,鬼知道我看了几遍！,175.9万,4161,2004888
4,大  威  天  妈,220.5万,4476,1926431
5,【川建国传】请叫我红星队长 3D自制短片 不是封面党,133.4万,4837,1727536
6,别说马赛克了，这些动漫角色化成灰我都认识！【动漫高手02】,188.2万,3.2万,1642836
7,【童年经典/反派手书】你管这叫童年阴影？！,50.5万,3771,1581770
8,当  代  网  络  现  状,133.5万,2662,1581565
9,如何拒绝别人,111.2万,2695,1520608
10,藏得太深了！我破解了B站做的宣传视频的秘密！,209.1万,8559,1337182
11,业界真的要完！2020七月新番推荐,88.0万,7032,1306034
12,【warma】怎么办！我现在好怕被2233娘封号,92.8万,6438,1298084
13,【鹿鸣x鹿鸣】这个端午，双倍丝滑！双倍快乐,106.3万,698,1269382
14,对不起，我败了！2020年4月新番打脸大总结！,126.2万,1.5万,1187224
15,丈夫因怀疑妻子劈腿，竟和她同归于尽？这部日本人性动画实在是太直击灵魂了！,76.0万,4236,1111475
16,宇智波小少爷想让我告白,48.3万,1902,1070367
17,没 有 人 比 我 更 懂 明 日 方 舟,33.4万,1269,1060443
18,【过于真实】天 下 老 师 皆 是 一 家,49.0万,7623,953225
19,期 末 线 上 考 试 现 状,162.0万,6362,947710
20,【进击的巨人】最强沙画OP！耗时100h！钢铁沙画师控沙术唤醒全体尤弥尔子民记忆！,27.0万,2091,947269
21,建议改成：骚 话 之 王,59.6万,8698,889352
22,【Fate/Grand Order】此为诀别神明,28.9万,722,867727
23,【新海诚式想见你】未来过去，我只想见你,28.2万,7541,825487
24,《崩坏3》动画短片「罪人挽歌」先行预告,81.7万,9596,799494
25,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,21.4万,1174,776333
26,【火影人物史】自来也为何不朽？岸本笔下的封神忍者！,37.2万,3900,772739
27,大威天龙JOJO版,62.1万,758,736260
28,小破站11周年庆 用户纷纷整活送上祝福,59.7万,7926,735791
29,此视频可能会拯救你的视力！,25.4万,583,734722
30,沙之呼吸？沙画动画震撼还原鬼灭之刃封神一战，技惊四座！,20.9万,2268,734616
31,曾火遍全网的《溯》，你是否还知道？,36.3万,1309,720746
32,强到离谱「万物归一者」灭霸诞生，开场秒杀AAO,71.4万,5472,719108
33,耗时..... 算了，白嫖吧!,23.9万,1109,712837
34,前方核能！这才是这个世界巅峰战力！！！,39.3万,941,694384
35,耗时86400秒！！算了，你们白嫖吧！,37.7万,915,693995
36,泳装方舟第二回，123人的泳装大会,19.9万,4535,657004
37,【b站11周年纪念】前方高萌！♥AWSL♥,19.6万,5880,654849
38,致青春一份最美的情书...,17.5万,1098,620632
39,有一种猖狂叫明天早上没课,49.1万,7764,610877
40,Иван Дорн - Дичь,19.4万,760,603739
41,谁是冠军？,56.7万,402,603734
42,早 期 大 雄 征 服 胖 虎 文 献,49.1万,1340,602619
43,【2020毕业季 | 动画毕设作品】绝美毕设！广州美术学院视觉艺术设计学院动画《落凡尘》【授权投稿】,19.5万,973,599962
44,“别 惹 网 抑 云”,59.9万,919,599562
45,【用你的手指和熊猫玩】一条弹幕玩一次,30.8万,3.0万,589108
46,【补番推荐】化解你的焦虑，迷茫与痛苦！冈田制药诚意出品！,20.2万,1263,562373
47,进 来 踩 我 一 下,22.6万,511,542872
48,大古最后一次变身。已经好久了。,49.3万,1786,538653
49,史上最全毛利小五郎分析！他已知柯南真实身份？毛利独自解决案件合集！,33.6万,8090,534285
50,我们明明，都互相喜欢着对方……【宝可梦39】,17.6万,2742,534017
51,【黑猫警长】Everything black meme,19.9万,418,533812
52,胜 负 已 定,37.1万,229,532415
53,辉夜大小姐第三季op？,36.1万,621,530503
54,【互动视频/明日方舟】乌萨斯把妹王（原创立绘+含隐藏角色）,18.2万,1325,525794
55,天津吉良吉影入驻B站,38.4万,867,524395
56,又被诸葛村夫忽悠了,49.4万,961,518189
57,亿万家产说没就没了？？？,43.2万,1855,514438
58,东 北 路 飞,40.4万,765,505191
59,毁童年！盘点博人传十大退群名场景！,41.0万,2441,502522
60,这 才 是 神 仙 打 架！,33.8万,397,498725
61,华生：都别动！他手里有枪！,45.3万,490,485595
62,她模仿声音一直可以的！,20.3万,1402,480904
63,【实力至上主义的教室/二年生篇】第7期：质疑,23.3万,2923,479653
64,【处处吻】你的老婆可太撩了！世界都馋她一吻,26.5万,848,465309
65,渣男一旦想出轨，敢跟女鬼有一腿！《伊藤润二：不想变成幽灵》,39.8万,4518,464863
66,今年的22娘杀伤力更强,18.6万,861,460905
67,【漫评】约定的梦幻岛完结吐槽！从智斗神作到平庸收场，如何评价这部作品？,27.0万,2887,459928
68,老师就是这样给我们划重点的！？,44.7万,546,455414
69,【方舟日常】博士的渣男之路,20.0万,2122,444358
70,前方高能！只需10s！我将从你手中抢走硬币！,22.3万,1225,435154
71,地 表 最 强 唐 僧,33.8万,470,430988
72,当外地小伙转学到四川学校,30.0万,883,430224
73,【6/10B限熟肉】回应中国粉丝的4个变态问题！第一问差点把梦酱嫁出去.....,30.9万,2540,427578
