排名,标题,播放量,讨论数,得分
1,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,482.2万,2.9万,10488012
2,如何拒绝别人,726.0万,2.1万,7756247
3,小时候看笑话，长大后看真实,367.8万,2.7万,6649114
4,【过于真实】天 下 老 师 皆 是 一 家,403.5万,2.9万,5763626
5,【童年经典/反派手书】你管这叫童年阴影？！,167.1万,1.5万,4728200
6,耗时..... 算了，白嫖吧!,217.2万,7977,4034245
7,当  代  网  络  现  状,474.6万,9361,3997318
8,用六十部动漫台词唱出一首《稻香》,126.9万,8430,3816652
9,鬼知道我看了几遍！,348.0万,6415,3174935
10,最 强 汤 姆,276.3万,1.0万,2927010
11,【4k/裸眼3D/无水印】爆肝抠图1350张，该细还得细！,109.2万,1604,2796655
12,香港雀巢咖啡粤语&日语动画宣传广告,146.4万,3874,2757348
13,曾火遍全网的《溯》，你是否还知道？,157.0万,5970,2638675
14,耗时86400秒！！算了，你们白嫖吧！,190.0万,4664,2607614
15,崩坏3×JOJO/琪亚娜的奇妙冒险【OP还原】,93.7万,1921,2465790
16,【2020毕业季 | 动画毕设作品】绝美毕设！广州美术学院视觉艺术设计学院动画《落凡尘》【授权投稿】,89.5万,5103,2416826
17,当你迷失自我的时候请看下这个视频,183.4万,7865,2280292
18,可爱和性感在沙雕面前不堪一击 !,204.3万,3382,2188248
19,吉良吉影大小姐想让我告白~败者食尘！,100.6万,3410,2114311
20,这首《Sway》直击人的灵魂，并拯救了处于低谷期的我！,75.8万,1701,2000319
21,【明日方舟手书 / W&特蕾西娅】维纳斯之死,47.0万,1561,1943174
22,大  威  天  妈,220.5万,4476,1926431
23,女人沙雕起来有多要命？？,138.0万,1736,1887032
24,忍者的时代已经结束,143.4万,2146,1885590
25,《火 影 忍 者》,255.8万,2992,1873864
26,【现状】大 学 返 校 现 状,180.7万,3495,1839257
27,谨以此片献给所有的Violet Evergardener,43.3万,2582,1791810
28,【崩坏3】 德 丽 莎 · 琴 魔,86.1万,3014,1777972
29,魔 性 舞 者,68.9万,2593,1770166
30,这就是对待老板的正确方式！！！,286.3万,3033,1746489
31,地狱级挑战，真的有人可以全认出来嘛？【动漫高手01】,239.3万,2.5万,1741948
32,【川建国传】请叫我红星队长 3D自制短片 不是封面党,133.4万,4837,1727536
33,整 合 把 妹 王,96.1万,5825,1710116
34,劈腿撕逼抢男人！全程高能！ 三角恋名场景TOP10！,128.5万,2.0万,1675465
35,佟掌柜想让我告白,135.7万,2074,1629542
36,地 表 最 强 唐 僧,202.6万,3048,1624572
37,耗尽精力 六连达成！！这次一定，行！,66.7万,2242,1608620
38,曾火爆全网的《Falling Again》，你是否还知道？,70.6万,1957,1573058
39,“ᴰᵒ ʸᵒᵘ ᴸⁱᵏᵉ ᴿᵃⁱⁿ”  “ᴵ ᴾʳᵉᶠᵉʳ ʸᵒᵘ”,60.2万,5.4万,1572469
40,来自神主ZUN的问候视频,131.2万,5541,1527341
41,【JOJO沙画版】肝了30多天！高燃还原猛男必看经典！,54.1万,1869,1521896
42,【明日方舟动画】危机合约-破碎大道（完整版）,44.2万,1206,1495426
43,变态夫妇把美女封进混凝土块，时隔五十年再刨出来《富江·老丑》,147.8万,5653,1490012
44,【4K ⁶⁰ᶠᵖˢ】新海诚，从未让我们失望  𝑻𝒉𝒆 𝒓𝒂𝒊𝒏 𝒂𝒏𝒅 𝒕𝒉𝒆 𝒍𝒊𝒈𝒉𝒕,42.8万,1247,1475597
45,没 有 人 比 我 更 懂 明 日 方 舟,47.7万,1872,1469641
46,佟大掌柜想要我搞对象？？？,93.6万,1591,1461723
47,前方核能！这才是这个世界巅峰战力！！！,96.7万,2755,1453304
48,只攻不防！天下无双！巅峰战力！毁天灭地！！！,60.7万,1772,1389330
49,【辉夜大小姐全员手书】秀知院想要WiFi,52.2万,1118,1367795
50,“这份爱 过于沉重”,46.5万,1435,1342749
51,当外地小伙转学到四川学校,139.3万,5000,1338972
52,藏得太深了！我破解了B站做的宣传视频的秘密！,209.1万,8559,1337182
53,【大威天龙】最 强 帝 骑 哥,95.1万,1460,1336090
54,“老师 您喝绿茶吗”,249.6万,3134,1335566
55,此视频可能会拯救你的视力！,48.8万,1308,1319063
56,业界真的要完！2020七月新番推荐,88.0万,7032,1306034
57,【4K】看吧！这就是我们的二次元！ “Falling Again”,29.9万,2024,1301282
58,“你就放弃了吗”,43.8万,8735,1298425
59,【warma】怎么办！我现在好怕被2233娘封号,92.8万,6438,1298084
60,JO 长 会,77.6万,2077,1279415
61,“  新海诚的雨，足足下了七年  ”,37.9万,769,1279327
62,【鹿鸣x鹿鸣】这个端午，双倍丝滑！双倍快乐,106.3万,698,1269382
63,这 都 是 什 么 祖 安 名 字！！,168.5万,4985,1267149
64,耗时七天七夜，感受这视觉巅峰！这才是视觉盛宴！,60.2万,1974,1263071
65,这 才 是 神 仙 打 架！,116.6万,1783,1246255
66,【方舟全明星】黑角叛逃记,49.9万,2932,1197170
67,被遗失的一集：进击的派大星,101.6万,1070,1185230
68,【定格动画】百度网盘切碎被专业人士抬走【太空沙解压】,51.0万,6854,1180288
69,Everydayonecat正式入駐B站哦 「提琴」No.0139,137.4万,1418,1172209
70,前方高能！让世界感受这场视觉盛宴吧！,85.4万,5147,1165019
71,克苏鲁神话入门，沉入海底8300米后，我看到了地狱的入口《神殿》,120.3万,7310,1161792
72,【汤姆很忙】音画同步率已达99.999999999999999%,69.0万,1675,1149440
73,命运本该如此吗？,55.4万,897,1148316
74,敌方布丁 vs 我方布丁！！为什么我打不中这个人？？,81.4万,1548,1134787
75,恭喜你发现宝藏,43.2万,1480,1130847
76,船新自制动画版《你要跳舞吗》MV,69.1万,1492,1122761
77,爆肝49天 制作纸片定格 迈克尔杰克逊太空步,43.3万,1139,1115101
78,大威天龙东方版,75.4万,2418,1114167
79,全体起立！【进击的巨人最终季】中文预告终于来了，莱纳坐啊！,123.7万,6602,1112526
80,身为一名海贼，会点忍术防身也很正常吧？,111.3万,2180,1112037
81,丈夫因怀疑妻子劈腿，竟和她同归于尽？这部日本人性动画实在是太直击灵魂了！,76.0万,4236,1111475
82,宇智波小少爷想让我告白,48.3万,1902,1070367
83,青梅竹马，终究抵不过门当户对。,73.8万,1758,1067695
84,【新海诚式想见你】未来过去，我只想见你,34.0万,1.2万,1053912
85,【黑猫警长】Everything black meme,35.4万,620,1046210
86,鬼 灭 航 线,45.6万,1346,1040384
87,我愿称之为最强！2020年7月新番导视,75.8万,1.1万,1036753
88,【毕业设计】【动画短片】《GREEN》,39.6万,1285,1032242
89,【火影忍者】带好护额！前方高能！这是来自火影忍者的视觉冲击！！！,55.4万,2410,1012992
90,蛇妖 我要你助我修行,87.0万,1272,1006225
91,《火影忍者》网络声优！为中国高考加油！！！,46.6万,2980,1000274
92,属 于 我 们 的 无 限 大,53.4万,2911,999968
93,上课走神,57.4万,557,999561
94,这东西只有等你毕了业才懂,89.6万,3439,996678
