排名,标题,播放量,讨论数,得分
1,小时候听里面的台词和现在的感觉不一样了,104.1万,1075,965601
2,“玲珑骰子安红豆，入骨相思知不知”,51.1万,567,908976
3,《大理寺日志》超 帅 踩 点 ！,33.8万,715,806724
4,“对不起，我有孩子了”,90.5万,1036,805513
5,喜羊羊原来可以这么燃,30.3万,1194,377926
6,什么叫同人逼死官方的混剪啊？战术后仰【凹凸世界第三季完结篇/极限踩点/无缝衔接/热血/白金】,9.0万,678,307973
7,小时候看过但可能记不起名字的40部动漫混剪，比如封面是？,13.4万,1401,291591
8,刻进DNA里的画面——“这故事，就得从一只鸽子说起了…”【BILIBILI 11周年】,14.5万,416,270897
9,“我应该，也是有用的吧”,20.5万,141,247841
10,臭男人果然都是见一个爱一个！,10.2万,554,222416
11,超高评分9.8，本季度最强国产动画，没人比我更懂吸猫,19.0万,697,215291
12,灰太狼：我颠覆了整个世界，只为换你一次回眸,11.2万,2111,208679
13,唐朝究竟有多开放？小猫咪都能在朝廷当官？,15.4万,577,193087
14,老天师：我高兴就是一人之下；我不高兴，就是一人一下！,18.5万,137,187044
15,我突然变成肥宅，惨遭女儿嫌弃！竟还要拯救世界？知道真相我哭了..【凸变英雄】,14.7万,216,185810
16,小时候看笑话，长大了看真实,10.3万,286,183397
17,小时候以为是喜剧，长大后才发现全是刀子！！！,12.5万,271,180443
18,属于中国人的国产动画！真正的国漫之光！【动漫安利】,14.3万,157,178884
19,信息量爆炸！【灵笼】下半季定档预告逐帧解析,14.8万,407,176253
20,这部国漫让观众爆笑？最沙雕的动画之一！看完都笑疯了！,14.5万,222,170836
21,【西游记版灵笼】灵 笼 的 正 确 打 开 方 式,14.5万,215,161945
22,“猫爷，这周咱们不更新了，准备去哪玩啊”,7.7万,160,158725
23,【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,10.6万,231,158061
24,这大概就是东方之美了,7.7万,178,153227
25,看似子供向却让成年人落泪的9.7分国漫！,11.4万,427,144944
26,恭 迎 昊 天 冕 下 ！,9.7万,596,142142
27,评分9.8！和非正常人汉子住一起是什么感觉？【汉化日记】,11.9万,237,139038
28,有种“逆生长”叫做小鹿姐姐，最后一次主持节目，让人怀念的动画梦工厂还记得吗,12.9万,406,138301
29,没戴帽子的比比东应该就是这个亚子,12.0万,76,134152
30,常年霸占漫画排行第一的作品完结了，连载九年承载无数人青春的《尸兄》落幕了！,10.8万,181,127738
31,奇怪的团长又增加了。,8.3万,300,122973
32,【中国配音演员04】都是怪物系列之山新篇，这些配音竟然是同一个人？,7.6万,1014,122551
33,【凹凸全员】决 战 ！！！,3.4万,176,115725
34,“这一切都离不开那场 甲申之乱”,7.2万,172,112247
35,只要反派长的好，三观跟着五官跑,8.1万,215,111456
36,【大理寺日志/崔七】【同人AMV】October & April‖这份命中注定的爱,3.3万,97,111055
37,解析诸葛青大觉醒，觉醒后有多强（剧透慎入）,8.6万,265,110392
38,“我见众生皆无意，唯遇你动了情”,6.1万,68,109857
39,少卿这么可爱，不如我们……,7.1万,93,108969
40,2020年最惨国产动画黑马，完结赏析，被名字耽误的优秀处女作【滑稽漫谈第24期】,7.9万,507,107400
41,斗破苍穹：美杜莎得知自己怀孕后，羞怒逼婚，萧炎一脸坏笑,10.2万,19,103210
42,“有孩子又怎样，孩子他爸都没了，要不我们…”,7.9万,168,102738
43,终究还是把动漫中的那些话带进了现实啊！,7.7万,49,100030
44,谁说国漫没神曲？第一弹,6.4万,1959,99538
45,大号正在登录中——99%！！！,9.3万,75,98324
46,【吹灭小山河】 这天下，风情千万般，不及你一眼,5.2万,61,97777
47,"""一生娶一人，一诺一卿颜""",6.4万,107,96848
48,一人之下3巅峰打戏真人版 武当蒋师莫cos武当王也 燃爆动漫经典！,5.2万,58,93294
49,【伍六七】小鸡岛端午节龙舟大赛现场直播，没想到他才是岛上最“快”的男人！,7.0万,150,91867
50,这大概就是外国人不懂的中国美了！,6.6万,60,90666
51,这首曾拯救无数人的《你的答案》 你听过吗？,6.2万,531,90197
52,“我见众生皆无意，唯独对你动了情”,4.7万,64,89733
53,看的我热血沸腾，看完你可能要重新认识喜羊羊,5.2万,626,86994
54,小时候以为他会回到我们的身边，长大后发现是我自己太单纯了,6.5万,71,81955
55,在识别啊柒时右上角的头像你注意到了吗？,6.6万,157,80385
56,“我想了十天十夜也想不通”,7.1万,109,79136
