排名,标题,播放量,讨论数,得分
1,“对不起，我有孩子了”,12.4万,143,158286
2,“有孩子又怎样，孩子他爸都没了，要不我们…”,6.7万,145,88212
3,小时候听里面的台词和现在的感觉不一样了,3.8万,33,55845
4,喜羊羊原来可以这么燃,2.9万,226,44723
5,《大理寺日志》超 帅 踩 点 ！,1.1万,38,31864
6,【中国神话宇宙 07】山海经系列猜想，大禹治水！未曾设想的道路！,1.7万,165,31308
7,【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,1.5万,37,22176
8,一人之下第四季主角【一人之下硬核人物志】王路.正道的光.马仙洪.飞,1.5万,272,22145
9,唐朝究竟有多开放？小猫咪都能在朝廷当官？,1.9万,5,22135
10,当玄机家的娃们去摆地摊,1.7万,42,21915
11,【斗罗大陆】118集，胡列娜直接脱衣为闯地狱路,2.1万,6,21710
12,灰太狼：我颠覆了整个世界，只为换你一次回眸,1.1万,192,20839
13,一吻封神！直接吻出了上亿播放量，我也就看了亿遍,1.8万,31,19863
14,没戴帽子的比比东应该就是这个亚子,1.7万,13,19402
15,小时候看过但可能记不起名字的40部动漫混剪，比如封面是？,7878,79,17804
16,雷 狮 不 要 心 动 挑 战！限时1分48秒！你能坚持多久？【凹凸世界/勉强踩点燃向/雷狮个人】,4389,84,17405
17,小时候看笑话，长大了看真实,9861,31,16528
18,小时候以为是喜剧，长大后才发现全是刀子！！！,1.1万,22,16453
19,【凹凸世界】开播四周年直播活动录屏，考生们考试加油！！冲鸭~,6835,410,16184
20,姑奶奶今天就教你什么叫上天入地！人间貂蝉！,8021,10,14839
21,恭 迎 昊 天 冕 下 ！,9885,78,14770
22,“人间不值得，不值你难过”,6692,13,14542
23,【百妖谱】你  在  想  桃  子  ?,2446,37,14439
24,【凹凸全员】决 战 ！！！,3921,10,13775
25,"""一生娶一人，一诺一卿颜""",9345,14,13769
26,你们期待已久的黑狐女王终于上线了，连白月初都拿她没办法,1.3万,3,13249
27,只要反派长的好，三观跟着五官跑,9675,20,13114
28,老天师：我高兴就是一人之下；我不高兴，就是一人一下！,1.2万,7,12904
29,大尺度黑暗向国漫为何停更？原因让人泪目，如今已经被人遗忘！,8777,21,12771
30,【喜羊羊与灰太狼/角色手书】OP高燃向！《羊村守护者3异国大营救》,7802,76,12464
31,“鲜衣怒马少年郎，豆蔻年华女儿情”,6551,22,11989
32,这大概就是东方之美了,6314,15,11882
33,【斗罗奇侠传】用仙剑三的方式打开斗罗大陆！,7673,37,11713
34,什么叫同人逼死官方的混剪啊？战术后仰【凹凸世界第三季完结篇/极限踩点/无缝衔接/热血/白金】,3278,20,11095
35,“我见众生皆无意，唯遇你动了情”,5837,22,10580
36,少卿这么可爱，不如我们……,6440,11,10072
37,实不相瞒，当初我一眼就看出这唐三不是什么好人......,8195,18,10017
38,谁说国漫没神曲？第一弹,6285,142,9833
39,【安雷】堕入黑暗－剧情/踩点/台词/燃向,2298,4,9480
40,看的我热血沸腾，看完你可能要重新认识喜羊羊,5280,64,9164
41,“猫爷，这周咱们不更新了，准备去哪玩啊”,4114,6,8891
42,【大理寺日志/崔七】【同人AMV】October & April‖这份命中注定的爱,2824,11,8811
43,这首曾拯救无数人的《你的答案》 你听过吗？,5732,36,8634
44,【雾山五行/庆祝定档】全程高能版,4802,57,8535
45,这是一个未成年少女该有的战斗力吗？！,7723,8,8467
46,解析诸葛青大觉醒，觉醒后有多强（剧透慎入）,6943,16,8270
47,那兔名场面【十二】大哥，你是了解我的，我给毛子也不给兔子啊,7803,2,8103
48,兔子的千层套路,5216,16,7894
49,斗破苍穹：美杜莎得知自己怀孕后，羞怒逼婚，萧炎一脸坏笑,7762,0,7882
50,武动乾坤第二季预告片,7346,7,7795
51,“喜见你眉秀似山，眼拥星霜”,4408,3,7791
52,我终于发现了少卿是什么品种的猫！,4798,13,7689
53,有种“逆生长”叫做小鹿姐姐，最后一次主持节目，让人怀念的动画梦工厂还记得吗,6774,24,7561
54,“我应该，也是有用的吧”,5548,4,7275
55,笑死我了，这部名字都是抄袭的国漫是有多烂,5648,76,7232
56,常年霸占漫画排行第一的作品完结了，连载九年承载无数人青春的《尸兄》落幕了！,5973,13,7217
57,琪琳花下死，做鬼也风流！！,5750,8,7189
58,火  影  忍  羊,5795,24,7186
59,“你是什么时候 把蛊母种到他身上的”,5850,4,7029
60,现在迎面走来的是我的救命恩人方队——玄机女团！,4414,13,7025
61,云韵生贺同人曲《且往》PV,2976,37,7016
62,老天师的沙雕时刻,4782,13,6985
63,【中国配音演员04】都是怪物系列之山新篇，这些配音竟然是同一个人？,4086,38,6814
64,花花敢调戏王七，崔倍劈死你！！【王七x崔倍】实力宠啊！！,4798,5,6745
65,【渣反】最新预告来咯！师徒齐上阵！还不赶紧锁死！,5034,9,6663
66,“他还没回来，我不想嫁。”,3714,13,6416
67,回顾2019你新娶的几位老婆,4690,14,6411
68,【秦时人物志·盖聂】走过岁月，走过河山，白衣如旧,4179,43,6410
69,【吹灭小山河】 这天下，风情千万般，不及你一眼,3357,7,6237
70,人比地球浪？爸爸跟我小学老师跑了，妈妈却无动于衷！流浪地球#2,5253,8,6225
71,“白头偕老不见得，倒是能共赴黄泉”,4464,11,6190
72,【道德观察/雷安】大赛第四和第五要离婚了？！,2031,46,6179
73,【百妖谱腾根篇】她没对任何人用过蛊，除了我！,5839,3,6143
74,终究还是把动漫中的那些话带进了现实啊！,4533,6,5986
75,【国创动画】玄机奇侠传3,3916,7,5970
76,一人之下3巅峰打戏真人版 武当蒋师莫cos武当王也 燃爆动漫经典！,3534,1,5958
77,临时工实力排名（六）：强到无死角的黑管凭什么不是第一？,5449,10,5947
78,7集播放破亿！均集破千万！7万人评分9.5！故 我在！,5400,11,5933
79,川 粤 火 线 ！,3762,10,5819
80,羡慕这样的师徒恋，子阴鬼母与师尊！,4160,3,5744
81,《十万个冷笑话2》这40个彩蛋和梗你都发现了吗？,4202,11,5732
82,用仙剑奇侠传片头打开超兽武装,3723,4,5729
83,狐妖小红娘全员合唱五周年概念单曲《念念》,3161,34,5692
84,【狼羊抖肩舞完整版】 ”这一次，我可以抖更久！”每日亿遍抖起来！wow~,3953,8,5662
85,高能！国漫中的十大经典台词,3998,47,5648
86,《一人之下》，朗朗上口的名言,4114,9,5556
87,恭喜天水女团喜提新歌《Roly Poly》 撑住10秒不投币算我输,3775,2,5269
88,史上最早官方认可动画 ？？？,4773,46,5243
89,【非人哉】杨戬其实是隐藏的女装大佬？单相思对象是大士！【非人小百科】,5053,2,5233
90,《宇宙星神》各大星神必杀技合辑 一次看到爽！！,3774,39,5122
91,说国漫幼稚的，估计是没看过他们,3163,37,5057
92,【狐妖小红娘】五周年主题曲《念念》（高清）完整版特别纪念曲：万水千山，我们一起去看吧！,2079,79,4961
