排名,标题,播放量,讨论数,得分
1,“两情若是久长时，又岂在朝朝暮暮”,78.3万,1496,1445359
2,小时候看笑话，长大了看真实,92.0万,3768,1441204
3,“和我争 你有资格吗”,112.5万,266,1105463
4,小时候以为是喜剧，长大后才发现全是刀子！！！,117.8万,2401,1046952
5,小时候听里面的台词和现在的感觉不一样了,122.2万,1292,1040093
6,一人之下3巅峰打戏真人版 武当蒋师莫cos武当王也 燃爆动漫经典！,57.1万,995,980029
7,这大概就是东方之美了,45.3万,1444,892681
8,《大理寺日志》超 帅 踩 点 ！,33.8万,715,806724
9,“他还没回来，我不想嫁。”,45.5万,720,787934
10,灰太狼：我颠覆了整个世界，只为换你一次回眸,44.4万,7023,778196
11,这大概就是外国人不懂的中国美了！,57.4万,910,726110
12,终究还是把动漫中的那些话带进了现实啊！,55.0万,496,615940
13,恭 迎 昊 天 冕 下 ！,48.7万,2861,609043
14,“我见众生皆无意，唯独对你动了情”,30.2万,478,596964
15,“一直逃避入世的我 哪有资格谈出世”,26.4万,573,583570
16,少卿这么可爱，不如我们……,41.5万,630,561673
17,你真的看懂了《一人之下》吗？（评论区见～）,15.3万,353,530729
18,老天师的沙雕时刻,43.3万,1226,528607
19,【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,37.5万,720,507258
20,7集播放破亿！均集破千万！7万人评分9.5！故 我在！,55.8万,862,479948
21,史上最早官方认可动画 ？？？,47.1万,5929,479222
22,小时候看过但可能记不起名字的40部动漫混剪，比如封面是？,22.7万,2190,475278
23,“我见众生皆无意，唯遇你动了情”,26.2万,325,472944
24,有种“逆生长”叫做小鹿姐姐，最后一次主持节目，让人怀念的动画梦工厂还记得吗,54.2万,1928,466225
25,老板进精神病院？还请大仙在公司跳大神？这部三年前的国漫良心为何突然暴毙？,45.7万,1661,456535
26,"奥巴马都催更的三体, 到底讲了什么故事？",38.5万,876,438065
27,国漫认真起来能有多NB？！,35.5万,1295,428314
28,这才是风情万种！魅惑众生！只勾你的魂！,22.5万,424,404918
29,谁说国漫没神曲？第一弹,25.4万,8088,398079
30,国创区第一个 4K MAD，年度最佳中国风 ——「千里之外/风灵玉秀」,25.7万,364,391251
31,被喷到下架整改，竟逆袭到了9.7分，值得一看的黑马佳作。,40.3万,343,388047
32,【说童年】一首歌唱完87部童年国产动画，送给你的六一礼物（高燃原创曲）,11.9万,2291,383620
33,喜羊羊原来可以这么燃,30.3万,1194,377926
34,“我应该，也是有用的吧”,30.6万,265,353397
35,【你的狸子】完全一致!奇怪的打开方式增加了?!用你的名字的方式打开【大理寺日志】(附对比版),18.7万,1135,352684
36,看的我热血沸腾，看完你可能要重新认识喜羊羊,20.2万,2823,352082
37,“喜见你眉秀似山，眼拥星霜”,18.2万,284,348505
