排名,标题,播放量,讨论数,得分
1,BILIBILI 11周年演讲,319.8万,9.1万,3183974
2,犬来八荒  | 滴米不漏,112.7万,8458,1091718
3,【娄艺潇】很开心来到B站！送给大家一首温暖的《虫儿飞》~,96.8万,6296,874403
4,Hi，我是THE9成员赵小棠，一个很爱B站的小UP主！,73.4万,8125,872356
5,“你要允许一些人，有安静的青春。”,47.5万,814,854036
6,【婊气群像】老娘当年火的时候你还不知道在哪里！,89.0万,937,849039
7,集体抱团排挤？艾瑞巴迪小组事件全整理,67.9万,7027,755871
8,仙女chuu chloe啊！,166.4万,60,752418
9,明星为什么会吸毒,109.3万,3241,703269
10,《动物圈的问号脸》第3期：某幻君赌上尊严 谁说猫主子不如狗？,170.2万,3.7万,663331
11,最烦人的姐姐出现了？乘风破浪的姐姐｜观影指南Ep.2,60.7万,1.5万,626125
12,【桥本环奈】35个心动镜头挑战!！这才是日系元气美少女,40.0万,1420,600408
13,【青春环游记】郎朗周深的《幽灵公主》绝了！天籁之音+绝美琴声我能循环一万遍,36.7万,5060,589756
14,【TF家族】2020 TF家族夏季运动会,50.2万,8.5万,581771
15,【秦昊】张东升空降直播间  一秒吓退所有观众,83.5万,2108,577586
16,2008年北京奥运会开幕式（高清全记录）,25.4万,2.3万,576714
17,乘风破浪的姐姐们，兴风作浪的狗子们！【UP！大明星】,75.2万,5438,570312
18,[更新628人歌][4K/60帧/合集] SEVENTEEN Left&Right 打歌舞台 直拍 零站,31.2万,1.7万,547482
19,乘风破浪的姐姐，主题曲 9人对比版 张雨绮 蓝盈莹 张含韵 万茜 海陆 王智 钟丽缇 伊能静 沈梦辰 路拍 花絮,68.2万,1719,521883
20,[TSKS]running man.E508.200621.中字,61.9万,2.0万,520919
21,【创造营2020】丁禹兮、郑乃馨《着迷》舞台！性感互撩！,41.9万,3288,514019
22,B站11周年庆，我为大家献上一首喜爱的音乐，哔哩哔哩，干杯！,31.0万,1532,501467
23,【2020 TF家族夏季运动会】饭拍全程（没有射箭 | 非常缓慢更新中）,19.8万,7317,493556
24,【BLACKPINK】'HOW YOU LIKE THAT'打歌+MV+预告合集（持更至200628人气歌谣）,43.0万,2753,484454
25,【刘哔】搞笑吐槽台版土味101《DD52》第二期！僵尸舞大战神婆上身，女团舞蹈下限让人叹为观止！,43.0万,1.5万,423152
26,秦昊喊话李云迪：李云迪，你教我女儿弹钢琴，我陪你爬山。,50.1万,634,411824
27,【不心动算我输】历代女团神级圈粉名场面,18.1万,4924,408216
28,【乘风破浪的姐姐】主题曲“无价之姐”舞蹈合集,41.2万,2078,399618
29,真当何老师不上B站？,42.1万,2332,391907
30,【周杰伦纪录片】第七集：夏日狂想,15.2万,9585,391040
31,【乘风破浪的姐姐】王霏霏孟佳再跳missA出道曲，回忆杀！,39.5万,305,384477
32,史上唯一能借军队开演唱会的歌手，太牛了！就连总统都是他的粉丝,39.9万,551,384367
33,大家好，我是《东宫》小枫 彭小苒，下了忘川，来上B站～萌新UP主报道啦！,33.1万,3748,383698
34,【SBS综艺】Running Man 2020合集开始（更新E509.200628 主题：超能力学校竞赛 ）【1080P】【RM】【TSKS】,41.8万,1.7万,375807
35,【少年之名】张艺兴指导学员跳Love Shot和Monster!太开心了！,37.1万,1172,363847
36,【片片】全是梗！哥哥们如何在女团里翻江倒海？欢乐解说《创造营2020》第五期,38.8万,3730,358509
37,娱乐圈老父亲沙溢，吐槽女星裤衩有点短，节目全程被虐,41.2万,548,358360
38,秦昊：不想演坏人，却无法抵挡好剧本,36.7万,1193,348071
