排名,标题,播放量,讨论数,得分
1,BILIBILI 11周年演讲,75.4万,9466,897810
2,【秦昊】张东升空降直播间  一秒吓退所有观众,33.6万,790,317531
3,揭秘“浪姐”内部鄙视链！黄圣依张雨绮宁静谁地位更高？,25.2万,2196,280212
4,【娄艺潇】很开心来到B站！送给大家一首温暖的《虫儿飞》~,21.9万,1177,269418
5,仙女chuu chloe啊！,26.5万,11,264493
6,《动物圈的问号脸》未播花絮 啊吗粽吐槽中国boy的智商储备不够,21.0万,228,197936
7,犬来八荒  | 滴米不漏,15.2万,659,189955
8,【TSKS】闲着干嘛呢.E48.200627.中字,16.5万,7271,184899
9,Running Man.E509.200628.中字,13.6万,1.1万,148659
10,【TF家族】2020 TF家族夏季运动会,11.2万,2.3万,138318
11,【BFP中字】200626 BLACKPINK   How You Like That COUNTDOWN LIVE,5.2万,2965,134620
12,集体抱团排挤？艾瑞巴迪小组事件全整理,9.8万,755,127183
13,秦昊喊话李云迪：李云迪，你教我女儿弹钢琴，我陪你爬山。,10.3万,142,105109
14,这个好笑程度实在是太超过了 头都给我笑大无语哈哈哈哈哈蔡徐坤存在即偶像剧是罪吗,8.2万,208,103304
15,乘风破浪的姐姐们，兴风作浪的狗子们！【UP！大明星】,9.6万,324,101745
16,【少年之名】张艺兴指导学员跳Love Shot和Monster!太开心了！,9.3万,286,101257
17,《乘风破浪的姐姐》一次公演七宗最：蓝盈莹、黄龄组表演，比金晨、沈梦辰《大碗宽面》要好,9.9万,123,100721
18,秦昊：不想演坏人，却无法抵挡好剧本,9.2万,361,99013
19,【宋亚轩】【苏新皓】这突如其来又令人惊喜的摸头杀，帅帅笑得好可爱啊,4.1万,185,98108
20,【周深/丁禹兮】青春环游记2唇语猜词真要被这两个憨憨笑死了,8.3万,322,93608
21,【不心动算我输】历代女团神级圈粉名场面,3.8万,804,93058
22,【金智秀】金大爷告诉你什么叫六亲不认的步伐,6.9万,82,92872
23,【黄铉辰】吸血鬼般美貌的《Psycho》直拍，一见误终身，我晕了,4.5万,409,92551
24,【许君聪】无情哈拉少！,8.1万,222,92094
25,“你要允许一些人，有安静的青春。”,4.4万,86,91480
26,各大名山景区已换标语  禁止秦昊入内   哈哈哈    看过这个影视的都知道这个梗,9.0万,51,91320
27,崇洋媚外！,8.3万,539,88901
28,【SBS综艺】Running Man E509.200628 主题：超能力学校竞赛 嘉宾：李相烨、姜汉娜 【TSKS】,7.6万,5843,87006
29,JYP制作的新女团NiziU是KPOP还是JPOP..？ /BLACKPINK 世界纪录！ 7月回归的爱豆们！ DenQ,7.7万,2056,84273
30,【青春环游记】贾玲：怎么乐华七子还有个英文名儿？,8.1万,4,84117
31,明星为什么会吸毒,7.5万,155,83980
32,【更新完整版！】虞书欣：除了舅舅，都加油！｜舅侄俩谜之打call方式｜虞书欣给舅舅打call,7.7万,76,83656
33,【乘风破浪的姐姐】得不到的爱情卧室典藏版舞蹈！,6.9万,466,82490
34,"""魔动闪霸""用传统说唱battle！Azi田昌宇《AZI》",7.5万,71,77767
35,热议:老娘出单曲照样牛逼！六月女团大战最后玩家blackpink登场！首日24小时各项成绩汇总！,6.1万,323,77590
36,【隐秘的角落花絮】普普本质：i张东升罢了,7.3万,32,76165
37,【乘风破浪的姐姐】王霏霏孟佳再跳missA出道曲，回忆杀！,7.0万,45,75852
38,秦霄贤唱《红色高跟鞋》—低音炮太好听了,5.4万,153,75194
39,王承渲跟我连线聊天啦！！！！！！（正在按人中，想她请留言）,3.5万,2327,74632
40,徐艺洋妈妈为女儿打call，果然，美貌是一脉相承的，徐艺洋加油，一定要超级自信,7.0万,72,73945
41,2019 ODE TO YOU 日本场 SEVENTEEN 零站,1.3万,344,72355
42,【非正式卧谈】第10期：令人上头的粉丝礼物大赏！,7.0万,2487,70176
43,疯辽……这个视角绝了我好像坐在舞台上看表演一定要点开看完  不看会后悔！！！,1.6万,121,65614
44,「周深」周深李荣浩李晨合唱《至少还有你》 | 奔跑吧花絮,5.4万,170,64909
45,羡慕！中国粉丝太有排面了！【韩网热议】震撼于中国粉丝给BLACKPINK的Lisa回归应援！果真是大陆级别的规模，这应援太惊人了,5.4万,111,62239
46,笑死了！许佳琪、喻言、陆柯燃抽签分房间！哈哈哈哈,5.2万,73,61395
47,2008年北京奥运会开幕式（高清全记录）,2.6万,1994,61291
48,【中字】笑疯！希澈的狗不顾主人只粘着玟星 这大概是史上最有综艺感的狗子了 mamamoo文星伊,5.2万,186,61245
49,【吉克隽逸B站开箱】惊雷！B站竟然送我这种东西！,5.6万,183,59844
50,【秦昊】一个直播直接把脏话读出来的张东升哈哈哈哈哈，伊能静：你别瞎念,5.7万,4,58416
51,【开开reaction】| 乘风破浪的姐姐《大碗宽面》全员Slay！！炸翻舞台！！,5.6万,41,55989
52,普普｜现实里的普普，是个小公主呀,5.0万,47,55908
53,尝试给黄圣依女士洗两波，假哭的事再锤就要反转了。,4.8万,1735,55524
54,【说唱听我的】魔动闪霸&&K.A咔咔：魔动北极星 1080P 纯享版,4.1万,139,53492
55,【乘风破浪的姐姐】导演揭秘reaction③舞台C位陷阱？如何巧妙规避姐姐们C位之争？节目延播秘密大公开！,4.2万,868,53278
56,【Begin Again4】第4季高清全集(持更至E04.200627中字)Henry刘宪华 JTBC音乐综艺中字整合超清《Begin Again Korea》,3.4万,2773,52379
57,【中字】200628 BLACKPINK人气歌谣 'How You Like That '后台采访完整版,4.5万,305,52257
58,虞书欣给舅舅王耀庆快本打call，不是一家人不进一家门,4.9万,45,52120
59,【桥本环奈】35个心动镜头挑战!！这才是日系元气美少女,3.3万,123,51968
60,她来啦，她来啦，她要去向往的生活捣乱啦[,5.1万,2,51038
61,【首秀舞台】BLACKPINK - How You Like That 吉米今夜秀 200627,3.8万,370,50578
62,杨迪提起周深:和周深在成都聊天到半夜三点，感叹周深非常用心写文案,4.3万,155,50470
63,被弄醒了也是软软的西卡啊,4.9万,5,50201
64,【婊气群像】老娘当年火的时候你还不知道在哪里！,3.9万,88,49908
65,Miss A 合体 孟佳王霏霏跳bad girl good girl,3.9万,58,49543
66,【易安音乐社】易安聊天室17——终于爆发！点击即看本集林墨孙亦航重庆话互骂,2.1万,5775,49246
67,【歌手】周深《达拉崩吧》分饰多角！化身勇士打败恶龙救公主,3.1万,305,49225
68,[中字][[REACTION] BLACKPINK - How You Like That｜作为一名BLINK 要用心！,3.4万,329,48958
69,【你好明星xR1SE-何洛洛】：何洛洛男朋友是徐一宁？,2.0万,2460,48894
70,金晨自拍VS其它女明星自拍,4.8万,14,48535
71,秦昊搞笑合集，直男式夸赞老婆，问妈妈：咱家祖坟是不是冒烟了！,4.5万,73,48519
72,乘风破浪的姐姐——得不到的爱情组宿舍日常,4.1万,276,46684
73,【11周年】非正男团跨国庆生 他们最爱的UP主竟然是！？,4.3万,4049,46649
74,【周深】《青春环游记2》第4期 看点：〈暴走唇语〉周深秒猜《达拉崩吧》，杨迪神演绎鲶鱼精笑翻众人,2.8万,477,46083
75,【张艺兴】PD亲自为训练生贴分数，指导《MONSTER》《LOVESHOT》，你们就不该做这个节目，想做幕后PD最低标准有点高《少年之名》CUT,3.9万,185,45362
76,敖子逸见到郑爽打磕巴 张国立尹正调侃,3.9万,63,44761
77,【时代少年团】【TF家族】2020夏季运动会下半场合集（手机大姐我本人又回来啦）,2.1万,359,44531
78,【王嘉尔】这就是街舞3 王嘉尔队长vlog （裤裤子终于开始放物料啦,4.0万,140,43743
79,【快本】下期预告，张东升“我还有机会吗？”,4.3万,11,43159
80,张艺兴剧中演汤唯儿子，汤唯：我跟亚文能生出这么帅的儿子？,4.1万,2,42353
81,花西子&周深新歌|以歌守护日渐失传的东方之音,2.6万,--,41150
82,创3排名洗牌后谁出道最难？王艺瑾nene互换排名虐粉？陈卓璇虎扑封神？徐艺洋能否高位出道？张艺凡该如何发展？三公舞台下【创造营2020reactionep16】,3.6万,1646,40932
83,【华晨宇】在？@你查收《2020快乐ET》邀请函~,1.1万,1297,40737
84,娱乐圈老父亲沙溢，吐槽女星裤衩有点短，节目全程被虐,4.0万,55,40637
85,乘风破浪的姐姐，主题曲 9人对比版 张雨绮 蓝盈莹 张含韵 万茜 海陆 王智 钟丽缇 伊能静 沈梦辰 路拍 花絮,3.8万,81,40237
86,最烦人的姐姐出现了？乘风破浪的姐姐｜观影指南Ep.2,3.5万,583,40230
87,朱正廷从张雨剑口中得知自己被快本邀请，公司却从未告知,3.8万,3,40187
88,4399宿舍抽签分上海的房间 许佳琪心态崩了~,3.9万,8,40076
89,“我从来没后悔那天说了那些话”—陈卓璇 无路可退，逆风翻盘，我知道我有种！！！,2.7万,68,40005
90,BLACKPINK HOUSE 团综 合集 (全12集) 中字,2.1万,678,39688
