排名,标题,播放量,讨论数,得分
1,BILIBILI 11周年演讲,319.8万,9.1万,3183974
2,【麦长青】真当我“梁非凡”不上B站,452.5万,2.3万,3175696
3,【贝爷】探索者们，我开通B站账号了！让我们一起永不放弃！,347.3万,1.4万,2102301
4,【防弹少年团】1080p中字完整 200614 线上演唱会 online concert complete ver. - BANG BANG CON,50.8万,3.5万,1581602
5,【桥本环奈】35个心动镜头挑战!！这才是日系元气美少女,138.9万,4858,1503576
6,全场最佳！姜贞羽《时候》二公直拍！仙女下凡！眼神太杀！创造营2020,158.1万,1.4万,1305099
7,【青春环游记】郎朗周深的《幽灵公主》绝了！天籁之音+绝美琴声我能循环一万遍,70.7万,1.4万,1264354
8,【婊气群像】老娘当年火的时候你还不知道在哪里！,173.7万,2134,1218347
9,【每日减肥动力】进来看韩国女演员的身材管理第三弹!,87.5万,2970,1157745
10,犬来八荒  | 滴米不漏,112.7万,8458,1091718
11,【TF家族】2020 TF家族夏季运动会,69.8万,22.9万,1029994
12,【WNS中字】200608 BTS Dear Class Of 2020 毕业典礼演讲 & 表演 Boy With Luv+春日+小宇宙,35.8万,1.8万,1010910
13,失望！三观扭曲还浑然不知的【跑男】终于知道为什么越来越烂,202.2万,4.2万,1010397
14,【朴彩英】绝美高能！！！千万别点进来，我怕你会爱上这个女人！,56.1万,2100,934563
15,大家好，我是陈坤，我终于找回自己的B站账号了！,198.4万,7986,901245
16,【明星大侦探】这综艺竟然公开搞hs！明侦开车名场面第二趴，车速太快系好安全带！,117.9万,5491,898937
17,教科书级“痞笑”  表情管理高手  韩国最妖孽男爱豆！！,37.9万,1166,874973
18,【娄艺潇】很开心来到B站！送给大家一首温暖的《虫儿飞》~,96.8万,6296,874403
19,Hi，我是THE9成员赵小棠，一个很爱B站的小UP主！,73.4万,8125,872356
20,【麻将馆中字】有点心机又如何 第一弹 2019.09.27 田中みな実 弘中綾香,35.4万,6931,862259
21,【张艺兴】《莲》8D音效炫酷来袭！身临其境感受视觉冲击，听觉盛宴！,45.8万,1568,858191
22,硬核爱豆：网暴都是惯的，有流量是你的福分【UP！大明星】,72.7万,7484,857501
23,“你要允许一些人，有安静的青春。”,47.5万,814,854036
