排名,标题,播放量,讨论数,得分
1,一个人，造出让40亿人震碎的夜晚！,368.3万,3.2万,4936584
2,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,364.1万,3.3万,3303202
3,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,174.3万,3671,2150379
4,【片片】开播炸裂！小孩子玩弄变态杀人犯，国产悬疑终于能打了！过瘾解说《隐秘的角落》1-6,315.6万,2.8万,1847165
5,【木鱼微剧场】《红楼梦》（全集）,80.4万,2.5万,1696404
6,妈妈问我为什么要跪着看手机！,88.7万,1541,1688359
7,当西游记的BGM在中土战场响起。去他的魔戒，我要吹爆这支喇叭...,150.5万,6027,1670214
8,无  限  转  场,72.4万,1421,1574569
9,“你太干净了，你不懂。”,76.7万,982,1152450
10,16个细思极恐的细节，编剧导演简直牛逼到戳天了,105.4万,6134,1150545
11,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,57.8万,1590,1147697
12,每天一遍，防止早恋,92.2万,2365,1047592
13,仅用3分钟直接封神！霸占热搜！尺度爆炸！隐秘的角落到底好在哪儿？,194.4万,4202,1026002
14,“现实永远比童话残酷.”,43.8万,1625,976634
15,前 方 高 甜 ！魔 法 狗 粮 ！,39.1万,1842,938102
16,【隐秘的角落】争取全网最全细节解析，朱晶晶坠楼早有暗示，普普是好人？朱永平不爱朝阳？严良真简单还是早有预谋？一一给你证据答复。,76.2万,4200,870379
17,DYSTOPIA_反乌托邦——2020毕业设计,28.6万,816,817174
18,【刘老师】年度国产剧TOP1肯定是它了！细致解说9.1超高分悬疑剧《隐秘的角落》，谁能比秦昊更适合“衣冠禽兽”的角色？,137.3万,5734,772098
19,我赌你的枪不会唱歌,34.2万,935,766845
20,细读经典 97: 这部电影就是当下美国种族骚乱的注脚,65.8万,9301,749676
21,【老邪解说】《隐秘的角落》全集解析！看完头皮发麻的年度神剧！,96.3万,3972,718577
22,“嗨 同志 您知道斯大林格勒在哪吗 我在地图上找不到它了”,47.4万,2372,699498
23,【虫哥】高颜值男女爱的很随便神剧《我爱河东狮》，故事里发生的一切都很随便~,62.5万,9209,676424
24,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,62.4万,2846,664811
25,手里的泡面瞬间不香了！,98.3万,803,620681
26,袁华，不要再给我打电话了，我怕夏洛误会,67.1万,1373,610966
27,【处处吻】 愣着干嘛 进来白嫖啊,34.9万,711,579157
28,这就是我能想象的海王的样子 ——又纯又野的姐姐,46.9万,254,570638
