排名,标题,播放量,讨论数,得分
1,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,98.4万,7300,1213532
2,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,57.5万,1556,1140770
3,【片片】隐藏结局全解读！国产悬疑封神作！最终真相令人窒息！过瘾解说《隐秘的角落》大结局,100.7万,1.0万,976729
4,一个人，造出让40亿人震碎的夜晚！,30.1万,3324,611414
5,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,40.0万,1417,452208
6,【木鱼】盘点这几年火爆全网的六大名场面,35.8万,4021,375647
7,妈妈问我为什么要跪着看手机！,13.9万,239,309101
8,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,16.6万,355,305516
9,这大概就是外国人不懂的中国美吧！千古风流，尽付漫漫红尘中。,18.3万,451,280393
10,谁能想到戏子的功夫是真的，不是拍出来的。,23.6万,153,259305
11,不要随便欺负女孩子，未来她可能是你的老婆，你就死定了！,24.0万,50,238134
12,“你太干净了，你不懂。”,11.7万,175,220550
13,【刘老师】盘点那些年我们追过的名场面！,17.4万,1394,187262
14,【长工】南极科考站上演谁是凶手的推理案件，细读豆瓣高分烧脑、悬疑剧《头领》 第一季第3集（又名《极地暗杀》）,10.9万,1393,187146
15,《隐秘的角落》最后的秘密:电影感的真面目?干货向No.1解读【中队长拉片笔记】,8.1万,1760,179251
16,魔 法 盛 宴 ！麻 瓜 慎 入！,7.1万,169,178415
17,交梁2 老婆穿上蕾丝，逼老公交公粮，最后孩子救了老公一命,17.2万,146,175678
18,每天一遍，防止早恋,11.4万,291,172436
19,贪婪的尽头,15.5万,663,172337
20,以理扶人：李子柒“变”越南人，越南偷中国文化上瘾了？,15.5万,3535,165761
21,【恶搞】有点疑问的叶问,12.1万,165,165373
22,【刘哔】解说《隐秘的角落》！详细解读朱朝阳黑化之路！,12.8万,1407,155586
23,16个细思极恐的细节，编剧导演简直牛逼到戳天了,10.9万,625,153171
24,【隐秘的角落】争取全网最全细节解析，朱晶晶坠楼早有暗示，普普是好人？朱永平不爱朝阳？严良真简单还是早有预谋？一一给你证据答复。,11.6万,573,149000
25,更黑暗的原著，更绝望的结局。《隐秘的角落》原著剧情对比,10.5万,902,145212
26,消失的19兵团，代号596的绝密行动，希望炎黄后辈血仍未冷！,8.2万,0,142791
