排名,标题,播放量,讨论数,得分
1,妈妈问我为什么要跪着看手机！,435.3万,9316,6633944
2,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,604.8万,1.4万,6045737
3,“罪与罚的无限战争，经此一役，世间再无美利坚！”,207.9万,8398,5004799
4,一个人，造出让40亿人震碎的夜晚！,368.3万,3.2万,4936584
5,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,364.1万,3.3万,3303202
6,我赌你的枪不会唱歌,195.0万,4462,2982786
7,【木鱼微剧场】《红楼梦》（全集）,111.3万,2.9万,2781800
8,这才是虐文女主！！！卧槽！！太美了,259.1万,8465,2711577
9,“此役过后，世上再无美利坚！”,561.4万,1.2万,2649826
10,小性子又爱哭的林黛玉 凭什么是第一女主？林黛玉好在哪里？究竟如何死的？红楼梦的结局是什么样？,112.4万,2.6万,2391710
11,"""他死于天门大开之际，来不及过二十岁生辰“ | 韩烁视角",120.9万,6548,2133952
12,“嗨 同志 您知道斯大林格勒在哪吗 我在地图上找不到它了”,209.1万,8778,2131611
13,自甘堕落的人，给他看看这部片,169.7万,1.1万,2043954
14,【高欲/野蛮/吻戏/混剪】今晚做梦的素材我为你准备好了,129.2万,2609,2037219
15,六月的雨 用沙画的方式打开《仙剑奇侠传1》,73.0万,7816,1891907
16,【更新至154P】【获奖微电影合集】收藏以后慢慢看，全球精品微电影丨短片丨短剧丨剧情片未满，持续更新,39.6万,9349,1868999
17,这就是美国! 这就是哥谭!! 这就是黑暗骑士崛起!!!,136.4万,3218,1860413
18,【片片】开播炸裂！小孩子玩弄变态杀人犯，国产悬疑终于能打了！过瘾解说《隐秘的角落》1-6,315.6万,2.8万,1847165
19,无  限  转  场,89.4万,2014,1837274
20,【甄嬛的一生】她好像赢得满面风光，又好像输得一无所有。,77.0万,3924,1772622
21,当西游记的BGM在中土战场响起。去他的魔戒，我要吹爆这支喇叭...,150.5万,6027,1670214
22,麻瓜慎入！这才是用魔法踩点！！！,70.0万,4311,1665507
23,他们 死在了祖国胜利的前夜,75.3万,1.1万,1653132
24,【Copycat】假如韩烁先穿越进书中改写了剧本 | 连续破车预警 |记得戴耳机| 腹黑心机向踩点| 赠等人的八口木,73.3万,2453,1639836
25,建议改成：花 垣 新 说 唱,82.3万,3544,1613790
