排名,标题,播放量,讨论数,得分
1,iOS 14上手体验,75.9万,4852,742406
2,B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,12.9万,344,688009
3,【小泽】iOS 14体验：桌面插件来了！AirPods Pro超神了,86.8万,1.6万,626300
4,红米X55 荣耀X1 电视对比评测,25.3万,6339,569954
5,"【首发】开箱169元""小米屏幕挂灯""！不输千元挂灯！",41.6万,4241,490346
6,【短的发布会】 你绝对玩过的苹果全新版本，iOS 14桌面小插件领先安卓10年,49.6万,2046,481159
7,「小白测评」昔日霸主 HTC&索尼的没落之路 手机简史12,20.7万,6911,435746
8,AirPods Pro更新了3D环绕立体声？那得先用这个耳机来体验。【值不值得买第436期】,34.7万,6050,433481
9,这款喷子你们一定会喜欢！,48.4万,33,402092
10,"【4K-装机教程】全网最清晰,最详细,而且没有一句废话的装机教学视频",7.4万,441,394271
11,「科技美学」iOS14快速体验 苹果历代界面最大改变,44.8万,8274,392544
12,"这十个软件,让你的电脑舒适度提升1400%",10.5万,237,392354
13,相 机 大 战,24.3万,529,361931
14,【猿】不赚钱，就交个朋友。5366这套配置行不行？,34.0万,2504,350646
15,淘宝上比官网便宜1000多的iPhone11，能买吗？我们连买了5台……,28.5万,2288,328991
16,笔记本性能太差怎么办？只要500元！外接显卡畅玩3A大作！媲美雷电三!【硬件终结者01】,24.7万,1124,320497
17,【ITX电脑改装】藤原豆腐店,17.6万,870,312048
18,两万台苹果新款手机毁于一旦，商家损失过亿，然而真相却是...,32.2万,496,304600
19,这么豪横的档口老板娘第一次见,32.6万,39,300818
20,可能是你见过最硬核调色教程，7分钟成为曲线后期大师（收藏向！曲线工具为例讲解调色原理，你从未听说的曲线调色技巧）,5.5万,404,298833
21,国产海光处理器背的难以启齿，真机实物上手简评，奇葩硬件说。【诗昆君】,23.2万,1245,279923
22,雷军：早上好，我才是米6最强“钉子户”,26.2万,1208,260477
23,52赫兹的鲸,10.4万,204,254045
24,【小白开箱】多年前风光无限，如今堪比山寨机！落魄巨头发新机：酷派cool10,22.2万,2464,252398
25,落月 雪山 云海 瀑布 山川 星空 大海,6.3万,210,251125
26,【酷玩】夏天到了，你的笔记本电脑该清灰了！,9.7万,334,242108
27,"「官方中字」WWDC 2020 主题演讲, Apple 特别活动 - 2020 年 6 月",15.9万,1.2万,236313
28,啥才是真正的水冷,24.6万,23,229841
29,装     机     笑     话,17.9万,258,229700
30,【诚意之作】全职UP主三年，我专门给新手做了一套视频剪辑课 by 极地手记,6.5万,506,225654
31,【影视飓风】手机90分钟短片拍摄挑战,16.5万,2237,224731
32,【苏星河】蚂蚁森林真的是公益软件吗？,14.4万,1284,222365
33,【HotGuys】小米10 Pro、华为P40 Pro与一加8 Pro之国产旗舰大对决！,16.2万,6117,220201
34,【大米评测】越来越安卓？iOS14 体验评测 对比 iOS13,17.2万,1760,214227
35,【装机教程】这可能是你能在网上找到最详细的装机教程,8.4万,180,204189
36,100倍的距离 谁还能远程教你停车入库?,21.2万,38,202240
37,翻盘？11代酷睿i7跑分泄露：4核战平8核锐龙7 4700U，核显性能领先35.6%,19.1万,869,198769
38,〖穷学生装机首选〗性能、颜值、体积、性价比，一个都不能少！！,10.2万,164,195090
39,【享拆】索尼Xperia 1 Ⅱ拆解：质感有余，骚气不足,16.5万,2965,195009
40,注意了买iPad Air或iPad Pro送AirPods2 苹果返校活动归来 这次有点香等等党好吧你们赢了,18.3万,41,190805
41,【装机】2020年中电脑配置推荐,9.9万,514,188143
42,苹果WWDC20全球开发者大会——全程回放,12.8万,4,182428
43,【iPhone SE2】                                             薛  定  谔  的  续  航,12.2万,176,171260
44,装机吗？一键升仙的那种，这电脑有仙气，RGB简直弱炸了,10.3万,676,170955
45,【创意摄影】Jordi2020年的10个创意点子,9.8万,45,169971
46,我升级了iOS14后 Siri觉得自己又行了,15.7万,271,163967
47,科技美学开箱 airpods plus,15.4万,605,160449
48,有线充电和无线充电同时进行会发生什么？,16.3万,162,160069
49,百大UP遇到的音频问题？你也会遇到！【4K硬核教学】,11.5万,680,158397
50,10代酷睿i3-10100、i5-10400上手评测【翼王】,11.8万,1159,156754
51,【零基础手机摄影教程】拿起手机拍电影，华为零基础手机摄影课程开课了！,6.4万,208,156563
52,打造我的游戏房Ep.3 （完结） 梦想屋竣工,7.5万,673,155322
