排名,标题,播放量,讨论数,得分
1,「小白测评」盲人用手机什么感觉？9大品牌无障碍测试 关注视障人群,38.0万,4971,985746
2,用自己设计的ITX机箱组装一台疯狂的高性能分体水冷主机【翼王】,17.3万,2812,334471
3,【食瓜】违反装机法！他怎么能对内存做这种事！？,16.5万,462,190324
4,「科技美学」Surface Book 3开箱体验  | i7-1065G7、32G内存、1660Ti MAX-Q | 猜猜卖多少钱？,16.6万,3813,173681
5,"【首发】开箱169元""小米屏幕挂灯""！不输千元挂灯！",13.3万,696,164792
6,有钱人的玩物还是生产力工具？坑爹的苹果显卡坞维修过程,10.3万,1345,111884
7,【北欧摄影短片】雪山、木屋、森林,3.5万,70,82876
8,【4K】B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,1.6万,36,76515
9,Just ear:泽野弘之联名款 : XJE-MH/nZk,4.7万,167,62367
10,【酷玩】夏天到了，你的笔记本电脑该清灰了！,2.1万,67,56281
11,"【4K-装机教程】全网最清晰,最详细,而且没有一句废话的装机教学视频",1.0万,44,56045
12,52赫兹的鲸,2.4万,50,54656
13,【官方双语】硬盘厂商缘何被起诉#linus谈科技,4.3万,565,53170
14,"这十个软件,让你的电脑舒适度提升1400%",1.4万,34,53124
15,是你吗？我眼中手机爱好者的一生。,2.7万,663,48966
16,可能是你见过最硬核调色教程，7分钟成为曲线后期大师（收藏向！曲线工具为例讲解调色原理，你从未听说的曲线调色技巧）,8854,38,48080
17,安卓11体验以及原生系统介绍,3.9万,102,46503
18,游水神器-SWIMN S1动力浮板上手体验+拆解,1.4万,130,44447
19,4000块买个便携显示器！？败家之眼丧病显示器XG17上手体验,3.3万,372,40949
20,相 机 大 战,2.4万,64,40317
21,【ITX电脑改装】藤原豆腐店,1.9万,118,37288
22,淘宝上比官网便宜1000多的iPhone11，能买吗？我们连买了5台……,2.8万,183,36849
23,英特尔11代酷睿今年发，12代换接口：支持DDR5，采用大小核设计,3.4万,112,36525
24,这种摄影师！简直无法无天！目中无人！,2.1万,359,35952
25,国产海光处理器背的难以启齿，真机实物上手简评，奇葩硬件说。【诗昆君】,2.8万,127,34960
26,笔记本性能太差怎么办？只要500元！外接显卡畅玩3A大作！媲美雷电三!【硬件终结者01】,2.4万,74,33934
27,【装机】2020年中电脑配置推荐,1.4万,61,29319
28,手机电容麦？舒尔MV88麦克风简单评测,1.6万,3,27810
29,百十块的东西，十几万的感觉？,2.7万,64,27400
30,【茶茶】外商安全帽？金百达长鑫颗粒DDR4内存测试报告,2.1万,75,26565
31,【创意摄影】Jordi2020年的10个创意点子,1.4万,8,25908
32,【顾俊】球面超广角镜头如何安装滤镜？,2.2万,304,24384
33,【大家测】高颜值会起飞 红魔5G氘锋透明版开箱,2.3万,343,24001
34,[桌面美学] 有个电竞女友该怎么搭配桌面?,1.5万,158,23833
35,Intel 11代酷睿轻薄本来啦！宏基首发6999元起,2.2万,71,23494
36,卡吧14级8年老人推荐的1千5~4万共22套618配置单+3万字注释,6614,6,22395
37,太大,2.1万,2,22022
38,粉丝14块钱豪赌1080ti拿来给我练练手，人品爆发啦！（智强显卡工作室）,2.0万,37,21902
39,雷军：早上好，我才是米6最强“钉子户”,2.0万,76,21125
40,【装机教程】这可能是你能在网上找到最详细的装机教程,7013,8,20851
41,AirPods Pro更新了3D环绕立体声？那得先用这个耳机来体验。【值不值得买第436期】,1.6万,167,20592
42,中正评测：4699元，机械革命S2Air，轻薄本之Queen？R7-4800H,1.8万,79,20551
43,[荣耀X10]某宝的X10与荣耀专卖店的X10明显差别，快看看你自己的翻车了没有？,2.0万,22,20202
44,你中过几个？,2.0万,5,19912
