排名,标题,播放量,讨论数,得分
1,相 机 大 战,217.3万,1.1万,3355046
2,B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,47.6万,1371,2688262
3,花7万元买下60台手机，看看移动芯片谁强谁弱？！,70.7万,2.1万,1795715
4,【装机】2020年中电脑配置推荐,76.2万,1.3万,1759584
5,卡吧14级8年老人推荐的1千5~4万共22套618配置单+3万字注释,29.8万,1099,1223213
6,10分钟拍大片挑战！[LKs+影视飓风+十音+林海音],69.6万,3.2万,1181160
7,52赫兹的鲸,47.2万,965,1073910
8,落月 雪山 云海 瀑布 山川 星空 大海,23.8万,955,1058891
9,【收藏不亏】2020年大学生笔记本选购推荐全攻略进阶版！15分钟从小白到大神！6.12更新,35.3万,3434,906084
10,【装机教程】这可能是你能在网上找到最详细的装机教程,34.6万,596,852196
11,"这十个软件,让你的电脑舒适度提升1400%",22.4万,527,757286
12,OPPO联名EVA没内味！死忠粉掏出11年前考古机，告诉你什么叫联名！,52.2万,6568,748996
13,iOS 14上手体验,75.9万,4852,742406
14,"【桌面神器】618值得买的10个""桌面好物""！",47.1万,3532,728188
15,「小白测评」年中大盘点 2020上半年什么手机值得买？全价位推荐指南,65.6万,1.0万,708526
16,11款神级软件，让你的电脑体验提升8800%,19.0万,357,679818
17,【爱否评测】千元级人体工学椅横评：如何保护你那年轻的「老腰」？,36.8万,2779,674224
18,【4K 120FPS】超高清！这是这个蓝色星球本来的模样,38.7万,1534,642965
19,【小泽】iOS 14体验：桌面插件来了！AirPods Pro超神了,86.8万,1.6万,626300
20,耗时两年，4k超清星空延时-星动中国,17.4万,1460,607271
21,【收藏向】6分钟让你学会构图，拍照萌新变摄影大师！（手机摄影和相机摄影构图技巧）,13.3万,461,606423
22,空调选购指南 | 先看评测,26.0万,4240,582167
23,这款喷子你们一定会喜欢！,98.0万,68,570384
24,睡前必看，带你坠入ISLANDIA的世界，摄影师Vadim Sherbakov的冰岛奇幻风光短片,16.5万,360,567295
25,【4K 120FPS】你的设备顶得住吗？4K120帧技术演示片,46.9万,3417,563402
26,【小白开箱】耗时两个月！小伙苦苦寻找，终于买到了华为P40pro+的海外特供版！,47.0万,3708,559816
27,【科普】免费的性能提升！一串代码提升40%性能？谣言还是事实？,23.6万,203,548886
28,听说我电脑坏了 华硕ROG给我寄了台4W的电脑,34.0万,2761,532404
29,爷青回！这该死的游戏青春啊～【BB Time第277期】,36.2万,8195,528833
30,【何同学】我用一万行备忘录做了个动画...,40.3万,1937,525362
31,拿到华为P40 Pro+的第一个星期，我们干了些啥？,31.9万,2989,522502
32,「花生説」安卓系统只有MIUI和其他【2020年上半年旗舰系统UI篇】,41.8万,9396,519206
33,叮！3千到3万618装机配置单，总有一套适合你！！【游戏向】,27.4万,7152,516220
34,真智商税？用完这个键盘我裂开了！,64.1万,703,514627
35,【那岩】如果 摆摊 你想卖点啥？出摊,65.7万,2460,512759
36,我猜你一定不会使用iPad的虚拟键盘？,18.8万,1649,512382
37,魅族17 再不买就来不及了 从“比肩苹果”到“珠海小厂”需要几年？ 4K,40.6万,2382,504101
38,新iphonese的取卡针就是一根铁丝……,70.5万,98,497846
39,【短的发布会】米6老矣！MIUI12海外发布会吊打一众后台流氓APP,57.1万,2459,484780
