排名,标题,播放量,讨论数,得分
1,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,32.1万,1331,1867269
2,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,25.2万,5049,1021975
3,【6天减14斤】真实记录，不运动不节食，我的方法！,58.6万,2049,970812
4,【中字】帕梅拉15分钟复古有氧舞蹈操！新手友好！欢乐瘦身！（Pamela Reif）,43.0万,994,961024
5,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,44.2万,3001,910987
6,麻瓜禁入X生而优雅 纯血巫师们的集会,42.8万,1763,800461
7,10分钟超燃脂有氧运动，全身爆汗 | 简易无工具【周六野Zoey】,22.5万,788,789666
8,【减脂必看！】21天高效减脂丨如何规划饮食运动丨调整心态  拒绝复胖,39.3万,631,769388
9,【瘦腿】拒绝大粗腿，全程变化＋方法实录，每天30分钟躺瘦,16.7万,755,705392
10,1天瘦腿安排，我躺着瘦了3CM,15.5万,306,632596
11,最爱的六双百搭鞋子分享~超级日常！,56.5万,1423,621682
12,鼻部变美干货｜为什么别人的鼻子越来越好看，而你的却越来越丑？我关于鼻子的一些思考,24.6万,2220,583825
13,我花36000买了原价100w的假货热玛吉！硬核在线揭秘真假热玛吉！,25.4万,6797,573775
14,20年XO型腿还有救！超详细直腿教程 每天跟练 一个月肉眼见效果,15.0万,257,571371
15,表演系女生教你：为什么电视剧女主的头发永远那么蓬松？,35.8万,732,543843
16,【兔叭咯】住手！别再挤黑头了！祛黑头正确方法原来是这？！,39.1万,382,541235
17,大腿前侧粗壮凸出小腿肚向后突出腿形不直必练一周见效的教程！,15.1万,493,534597
18,【一遍就会】温莎结的系法、搭配心得,14.5万,234,532288
19,11编发大作战 40秒学会京紫薇尔莉特编发,20.0万,95,516457
20,三个动作帮你消除双下巴和颈纹，还你漂亮下颌线,16.6万,292,513913
21,欧阳春晓本人已授权   少女背 直角肩 斜方肌  去头尾  自用侵删,20.1万,578,497924
22,「优质高蛋白」和普通蛋白的区别？｜喝牛奶能补充蛋白吗？,24.5万,872,495545
23,帕梅拉 莱孚 - 10分钟 激发活力训练——有趣的全身运动，帮助击退懒惰 /无器械 (Pamela Reif Official),19.0万,979,492532
24,【张予曦】新晋健身UP主上线！变美变瘦，和我一起吧！,23.1万,587,480737
25,每天5分钟 *告别骨盆前倾，小肚子突出，大屁股*,10.5万,248,465171
26,【清华学长】别买！这些去黑头的产品都是虚假营销！,33.1万,399,458224
27,日本美容师教你正确祛黑头 10分钟告别草莓鼻,15.8万,593,452663
28,杜绝廉价感！5个知识点教你避免穿那些看起来就很便宜的衣服,30.1万,1790,451175
29,辣Lisa和Bella Hadid同款｜ins小众牌With Jéan素人能驾驭吗？163cm53kg 蓝色夏日碎花裙｜网红牌性感穿搭测评,34.9万,758,448083
30,吐血解析缩鼻法！如何针对性修饰鼻翼宽、鼻头大、露鼻孔？找准适合风格！变美干货解析教程不整容缩鼻法，拥有小翘鼻拯救鼻型不好看,15.9万,1615,447171
31,【知乎高赞】如何纠正含胸、驼背、头前伸？,11.9万,131,443489
32,8款夏日手残发型合集| 夏日懒人实用发型 清爽元气每一天,9.1万,227,442642
33,帆布包大合集| 第二弹 |  有腔调的春夏帆布包 & 布兜儿 |  春夏包包合集 | 帆布包,15.9万,227,430967
34,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,23.5万,2381,417878
35,送你女团出道！夏日简易编发教程N.0【一枝南南】,12.2万,532,404022
36,能不能跟同事交朋友？我把你当姐妹，你却背后捅我？,30.1万,1977,400570
37,每天5分钟【30天瘦手臂】一周见效get天鹅臂，带练+讲解帮你告别拜拜肉|消副乳|瘦胳膊|蝴蝶袖,8.3万,241,398125
38,内衣显大第一位？要是选错都白费！全种类夏日内衣推荐,25.3万,1935,393668
39,Pamela帕梅拉一周运动计划｜新手友好（每日分P）,13.9万,487,392046
40,9年了，这依然是最佳的精神氮泵,43.6万,58,391008
41,【sakura】180+高个子女生jk制服穿搭分享/凌晨逛gaiVLOG,33.7万,480,378082
42,睡前「鸡尾酒式瘦脸法」瘦咬肌、去面部水肿、正体态，堪比整容！,8.9万,287,363788
43,【干货】腰粗胯宽屁股大？微胖女孩必看显瘦20斤的挑裙子大法！,15.6万,835,360857
44,英气十足的古装发型,18.5万,120,357699
45,瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,21.4万,2616,356540
46,宋祖儿化妆师给我换头！烂脸女孩变身当红小花出道？【易烫】,19.2万,2237,351434
47,耗时1个月！还原中国少数民族创世神话,13.8万,894,351373
48,十分钟教你打造男生日常出门妆！|约会|男生素颜妆|男生口红色号|MAC柜哥|,18.4万,989,345164
49,【一介粗人】不，你不驼背,16.0万,171,343600
50,想瘦小腿别乱练！科学高效纤细小腿！走路也能轻松瘦【槿酱】,7.8万,341,343421
51,这样图片的衣服千万别买！132斤前大码服装店主又来揭秘啦,24.6万,462,343293
52,"大家好，我是捷克""谐星""大KK，我正式入驻B站啦！（结尾有彩蛋哦~）",29.3万,1244,335279
53,越沉肩，斜方肌越大｜瘦肩膀科学排雷避坑,11.3万,788,333332
54,【JK+LO】又来了！3周目的卡点变身！超多裙子总有你爱的？内含JK、Lolita、地球人|皮卡小可爱,20.6万,597,325861
55,体态大师：气场女王2020改善驼背、头前伸、斜方肌大、瘦背、瘦手臂、脖子拉长,10.5万,336,323862
56,女扮男装约会是种什么体验？？,21.3万,1894,320170
57,这就是仙女裙吗？普通身材探店网红小裙子！时尚噩梦！,25.7万,2.2万,319164
58,「侧腹训练」解决腰部两侧赘肉，打造性感人鱼线,9.9万,44,318084
59,【ALEX】一夜狂掉3万粉！是被陷害还是另有隐情？我真是要吐了,29.7万,2056,316326
60,初入职场必备的通勤穿搭,21.7万,566,312873
61,颅顶低真的是颜值bug吗？？,24.2万,910,308749
62,【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,22.9万,1705,307864
63,国际教练告诉你为什么哪都能瘦就是不瘦腿【瘦腿系列一】,10.8万,153,306259
64,腌入味？学生气奶味体香如何养成|清新少女感,20.1万,367,298239
65,我只讲今生，不讲来世,17.0万,278,295935
66,【尤尤娜】180cm高个子夏日也想做法式甜甜少女|淘宝平价服饰购物分享 法式穿搭 学生党穿搭 夏日甜美穿搭,22.7万,621,295780
67,【醜】超！干！货！cos下睫毛教程 | 总有一款适合你 | 简单易懂 一看就会！！！（内附偷懒式假双教学）,4.9万,171,293393
