排名,标题,播放量,讨论数,得分
1,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,25.8万,1002,1455169
2,【兔叭咯】住手！别再挤黑头了！祛黑头正确方法原来是这？！,20.6万,--,323874
3,把「圆肩」当「驼背」，越纠正，斜方越大,5.8万,467,238646
4,为什么你不上镜？,14.0万,281,213808
5,【一遍就会】温莎结的系法、搭配心得,5.5万,86,210820
6,每天5分钟 *告别骨盆前倾，小肚子突出，大屁股*,3.9万,64,180030
7,1天瘦腿安排，我躺着瘦了3CM,4.1万,38,159220
8,【中字】帕梅拉15分钟复古有氧舞蹈操！新手友好！欢乐瘦身！（Pamela Reif）,6.4万,153,153628
9,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,6.4万,406,141031
10,这就是仙女裙吗？普通身材探店网红小裙子！时尚噩梦！,11.4万,7077,139101
11,74岁老太的惊天巨变，你敢相信吗！,11.1万,271,132956
12,芦荟灌肤 好可怕,12.8万,145,129264
13,【减脂必看！】21天高效减脂丨如何规划饮食运动丨调整心态  拒绝复胖,5.9万,71,124813
14,【OO】普通缅甸人 VS 保守缅甸人,8.7万,2836,114589
15,小时候超喜欢耳朵两边挽两个环的发型，感觉特别温婉百搭呢！,6.5万,166,108820
16,【JK+LO】又来了！3周目的卡点变身！超多裙子总有你爱的？内含JK、Lolita、地球人|皮卡小可爱,6.8万,251,108732
17,【去后背痘痘】推经改善内分泌 三个有效方法,7.2万,37,103745
18,日本美容师教你正确祛黑头 10分钟告别草莓鼻,3.3万,114,93178
19,20年XO型腿还有救！超详细直腿教程 每天跟练 一个月肉眼见效果,2.5万,25,93007
20,表演系女生教你：为什么电视剧女主的头发永远那么蓬松？,5.4万,258,89534
21,关于我的24个问题 | 理想型？留学经历？爱用品分享！Q&A,7.2万,284,88924
22,10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,4.2万,289,88911
23,【清华学长】别买！这些去黑头的产品都是虚假营销！,5.8万,63,88280
24,总共48双！NB600元超份量闷包开箱！,5.9万,670,84248
25,内衣显大第一位？要是选错都白费！全种类夏日内衣推荐,5.2万,347,81953
26,好日系一帅哥，猛男换头,5.0万,133,81378
27,这些网红单品千万别买！梨形身材省钱攻略|雷品吐槽,6.3万,373,80444
28,老佛爷用美人计搞垮圣罗兰？时尚圈第一帅哥圣罗兰那些不为人知的八卦《圣罗兰 Yves Saint Laurent | 第二章》SLP 老佛爷,4.5万,386,76025
29,欧阳春晓本人已授权   少女背 直角肩 斜方肌  去头尾  自用侵删,3.1万,96,75491
30,不是吧这位朋友,7.3万,26,75236
