排名,标题,播放量,讨论数,得分
1,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,100.3万,1.8万,3984977
2,【中字】大象腿有救了！帕梅拉15分钟瘦腿训练，紧实大腿内外侧！（Pamela Reif）,111.6万,4315,3911618
3,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,228.5万,1.6万,3702292
4,8分钟简单高效瘦胳膊运动，还能练出锁骨、直角肩，消除斜方肌｜亲测一周见效，无器械，无需场地，站着做瘦手臂操！,225.3万,1.1万,3412872
5,10分钟下腹部小肚子运动｜高效燃脂、无工具【周六野Zoey】,85.5万,4482,2699802
6,睡前「鸡尾酒式瘦脸法」瘦咬肌、去面部水肿、正体态，堪比整容！,59.6万,1963,2552030
7,大腿前侧粗壮凸出小腿肚向后突出腿形不直必练一周见效的教程！,70.7万,2283,2422240
8,20年XO型腿还有救！超详细直腿教程 每天跟练 一个月肉眼见效果,57.1万,1163,2178610
9,不打针不手术练出完美下颌线！仅靠舌头就能科学改善下巴后缩，凸嘴，双下巴，口臭| mewing真的管用么！,121.8万,3831,2093835
10,鼻部变美干货｜为什么别人的鼻子越来越好看，而你的却越来越丑？我关于鼻子的一些思考,95.1万,1.1万,1971482
11,日本美容师教你正确祛黑头 10分钟告别草莓鼻,68.3万,1923,1942527
12,毕业生找工作到底有多坑？我被坑了好几次！亲身经历教你如何避坑！,122.1万,5596,1872966
13,欧阳春晓本人已授权   少女背 直角肩 斜方肌  去头尾  自用侵删,85.8万,3053,1860144
14,Pamela帕梅拉一周运动计划｜新手友好（每日分P）,69.3万,2632,1786221
15,屁股，是被你自己坐！扁！的！（P2 跟练解决）,49.5万,2330,1673576
16,【知乎高赞】如何纠正含胸、驼背、头前伸？,42.6万,563,1650376
17,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,119.6万,1.2万,1644035
18,【干货】腰粗胯宽屁股大？微胖女孩必看显瘦20斤的挑裙子大法！,83.7万,5009,1614108
19,我只讲今生，不讲来世,118.1万,2090,1505230
20,【6天减14斤】真实记录，不运动不节食，我的方法！,95.2万,3369,1491051
21,干货！低成本漫画手养成/手部美白、拯救手部粗糙暗沉｜最全手部护理！白到发光,39.4万,785,1489654
22,纯干货！拯救大脑门 颅顶低 发量稀少 ｜秃头少女自救指南,37.4万,871,1483931
23,10分钟徒手整容 ，改善显老颧骨颧弓！柔和面部轮廓！可可的有效化妆技巧01,41.2万,2466,1467214
24,帕梅拉 莱孚 - 15分钟高强度腹部训练  - 无器材 (Pamela Reif Official),42.2万,2577,1463264
25,从170逆袭到185cm，逆天改命增高15cm的秘诀,110.0万,5619,1406162
26,「优质高蛋白」和普通蛋白的区别？｜喝牛奶能补充蛋白吗？,70.2万,2758,1336141
27,瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,106.7万,1.3万,1303008
28,体态大师：气场女王2020改善驼背、头前伸、斜方肌大、瘦背、瘦手臂、脖子拉长,47.6万,1819,1296644
29,【新手友好】我瘦了65斤！花了5W从私教学来的全身燃脂运动！坚持3周，必有效果！,29.7万,3376,1292532
30,蔡徐坤5套万元造型 小伙平价复刻 真变帅了？？,158.7万,9.4万,1261174
31,【茶茶】邓文迪：做情妇拿美国绿卡，用冷冻精子生子抢遗产，半个时尚圈都是她闺蜜，最强撩汉女性？,158.5万,2.2万,1255489
32,高中生日常妆容分享｜简单易学素颜妆,80.2万,5345,1242513
33,跟拜拜肉say拜拜！8分钟站着坐着瘦手臂，避免增大斜方肌，1周见效！告别拜拜肉麒麟臂！,28.7万,704,1240024
34,杜绝廉价感！5个知识点教你避免穿那些看起来就很便宜的衣服,110.4万,6698,1226935
35,11编发大作战 40秒学会京紫薇尔莉特编发,49.3万,223,1216165
36,在床上就可以做的10分钟全身燃脂训练,37.9万,2313,1190367
37,干货！背后长痘，鸡皮肤怎么办？6分钟教你科学养出光洁美背美腿,36.5万,1789,1175616
38,【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,121.3万,1.0万,1170759
39,【医学博士】618你不会还在买这些赔钱货吧？！I 最科学的防雷指南,84.7万,9986,1156790
40,麻瓜禁入X生而优雅 纯血巫师们的集会,64.6万,2631,1154369
41,绿茶亲身示范！我这样拍，朋友圈点赞多了3倍！,77.8万,8128,1151850
42,【艾琳】最有效七分钟小腿燃脂运动 + 拉伸 | 免费18天在家瘦小腿计划,42.1万,1142,1144233
43,生物角度拯救脂肪胸(男性雌化胸)【科学拆解15】减脂增肌注意,69.3万,613,1141442
44,康复专家手把手教学，「石原里美」式下颌线！（P2完整跟练）,65.4万,9732,1126314
45,【清华学长】干货！缩小毛孔的方法来咯！,75.3万,713,1112323
46,[Healing Times]粉色少女心击杀 | 美妆发烧友必看｜PINK趴体狙击❤Destroying Cosmetic With PINK Products,64.9万,1.5万,1109595
47,【100%亲测有效】大腿前侧突出|小腿后侧突出|膝超伸，全面拯救大粗腿，摆脱小腿粗壮|大腿前侧凸出|骨盆前倾|小腹突出|梨型身材,30.5万,1279,1106522
48,肿眼泡 圆脸  无滤镜无打光 普通女大学生日常妆容分享  平价彩妆便宜好用 ！！！,72.1万,1278,1077763
49,「侧腹训练」解决腰部两侧赘肉，打造性感人鱼线,35.6万,228,1038405
50,一条毛巾改善富贵包，学点肌动学改善富贵包,37.1万,227,1025708
51,【长江以南】温柔杏色妆容｜新手也能画的人畜无害妆容,61.8万,1590,1021531
52,国际教练告诉你为什么哪都能瘦就是不瘦腿【瘦腿系列一】,38.5万,614,998812
53,【中字】Ballet Beautiful 美丽芭蕾第三套  瘦腿提臀,50.8万,5128,966138
