排名,标题,播放量,讨论数,得分
1,世界上BUG最多的搞笑游戏 每局1500个BUG,346.1万,1.0万,1834479
2,LOL最狠海贼拳法 你不打也得给我打的套路[有点骚东西],139.3万,7652,1692132
3,应该是最后一期了,126.6万,5.0万,1593803
4,老王有媳妇儿了！【德华的世界#6】,127.9万,2.4万,1564716
5,能看到第15秒吗？,86.6万,4869,1508265
6,【Minecraft】前方高能！！这期视频将会非常爆肝！上热门必须吃ICE！,37.8万,1792,1244481
7,【真人GTA】老 年 崔 佛,113.4万,3625,1222736
8,暴 躁 老 哥,196.4万,8300,1212460
9,史上最厚血量，被打了6分钟还活着！？,232.5万,7988,1206593
10,荒野乱斗x名场面,154.7万,7461,1148300
11,【散人】孙美琪疑案：嬴雪儿 高能转折 老胡同七杀投毒案,35.0万,1.6万,1020804
12,王老菊教你杀牛仔01&02,92.2万,1.4万,939711
13,《赛博朋克 2077》最新实机游玩，玩法揭秘【老戴在此】,114.2万,1.5万,937718
14,【LPL春季赛TOP0合集】：一盘老菜！,83.4万,6162,932076
15,【嘟督】给你总结下《最后高尔夫2》到底讲了啥！！！,40.2万,4693,908608
16,看完这波，我把我家电饭煲吃了,181.0万,1260,907203
17,【老E】这是什么3A级阴间剧情？,112.4万,4066,906453
18,【UZI】我的往事：爹的摩托车竟追不上我的拖把？,75.5万,5263,883344
19,当代年轻人现状,109.9万,4983,878871
20,《赛博朋克2077》官方预告片 —— 差事,96.5万,2108,874537
21,【敖厂长】打枪游戏竟被我玩成了猛男乱斗！？,124.3万,5151,871987
22,【剧本杀】百万UP主们勾心斗角（上）,86.4万,2.2万,850754
23,不要“做“挑战（番外篇）,99.9万,4071,838505
24,【中国网游史67】腾讯都救不活的《新流星》，到底遭遇了什么？,59.5万,2654,831895
25,真是好身手【水无月菌】,61.9万,2384,825969
26,纯黑《最后生还者2》第二期 最高难度迅猛式攻略解说,48.0万,9404,796915
27,【老番茄】史上最骚杀手(第十集),57.1万,3350,788447
28,就造个房子，我硬是造出了音游的感觉,28.2万,1192,741644
29,今年夏天 MC必火,42.4万,5073,723152
30,【干员评测 早露】 开荒boss杀手！幼儿园里的胖虎！原始时代滑膛炮！【闪电评测 第12期质量加强版】早露专精3【明日方舟】,43.8万,2726,711852
31,【互动游戏】剧情高能！一起失踪事件，揭开游轮血腥面纱…【打泥泥】,40.4万,1.3万,709343
32,“100%无限连”技巧，学会这个赛季末还能再上一波分,47.2万,1986,706229
33,【逗鱼时刻】第257期 海盗的时代降临了,119.2万,1.2万,706146
34,前方高能！！这是真的！# @ % ￥ 燃,43.9万,335,691377
35,天才小伙竟然复刻了“爱情公寓”的桌游,61.5万,636,680307
36,【STN快报第五季01】乔尔的命也是命,43.3万,7170,678424
37,薇恩重做！纪念Uzi退役！Vayne改名为Uzi【永恒射手简自豪】加入峡谷,74.2万,1497,677508
38,零物资!挑战在只有海的世界生存下去 P7【我的世界】,30.9万,6371,672169
39,继可杰后台事件，虎牙吕德华差点又开到了后台,97.8万,1671,658237
40,【爷青回】万万没想到，白客、叫兽新剧来了！四集连播看过瘾,102.0万,2127,657917
41,无加成usp单刷巨人城.......,42.4万,2204,649212
42,徐老师来巡山271：爆炸果实虽好，可不能贪杯哦！,96.4万,3795,647848
43,耗时3天！攻略史上最难的“求生”游戏之路！#方舟生存,62.5万,9182,638369
44,【C菌】《最后生还者2》剧情向实况【完结】(慎入),62.6万,4.4万,638022
45,你能无伤通关怪物猎人世界吗？,34.4万,5665,637655
46,火 力 少 年 王,48.3万,9117,636390
47,5V5 Moba宝可梦游戏！腾讯天美工作室制作手游《Pokemon Unite》亮相宝可梦新作发表会！,80.9万,4187,616177
48,劲爆！国家终于要对外挂下手了！游戏环境将被净化,72.6万,3249,612049
49,【大仙全家桶】你和王者之间到底相差什么？,57.3万,4587,609796
50,最后生还者2玩后感,70.5万,5793,609313
51,我的世界坏掉了！！！,20.9万,3245,598790
52,【主播真会玩主机篇】112：小桀林克马造倒霉蛋，彗星美国末日逆转结局,70.7万,4107,584804
53,聚印象TOP秀34：Shy博朋克！源计划薇恩硬核打击,35.5万,910,575518
54,【小本】第一次相亲竟被摸屁股,31.3万,2939,558414
55,史上最渣的材质包？当MC所有东西都变成1x1分辨率！还能获得胜利吗？,58.0万,2007,550829
56,寇丹：王者荣耀S20战令奖励来了！猪八戒喜提新皮肤,63.9万,3970,538185
57,恋 爱 对 对 碰,52.1万,2461,534932
58,多功能自定义房间工具：5v5训练模式，血月杀，魄罗大乱斗，启动！,26.8万,165,527124
59,杆菌先骂为敬：最后生还者2，喂屎之旅！,43.0万,2080,524111
60,进 化,58.2万,1752,507926
61,扒一扒为什么最后生还者2会是这样？,31.6万,6977,504205
62,耗时1个月，画出3米长《魂斗罗》第一关！,29.1万,443,499852
63,我能去打职业了吗？,58.5万,960,498654
64,夭折了，小钰采访Rookie，竟然被Rookie嫌烦了，这也太甜了吧,53.8万,2686,495038
65,靠谱盘点86:先就到这里吧！我们下期再见！,26.4万,1600,490993
66,【Minecraft】不眠不休90天2160小时！我们用方块创世界！世外之岛——洛洲！！,27.5万,690,487706
67,做完这道题，高考考场来相见！,22.5万,2992,487151
68,梦泪马超神威新皮肤首秀，特效炫酷手感火热，一人打出54%输出,50.0万,3365,478730
69,【英雄联盟】Rookie：你怎么问题这么多？,50.4万,2165,475469
70,剧本与叙事如何杀死了《最后生还者:第二章》【ITde talk】,21.5万,2981,474428
71,【全网第一】和剑圣对居 耗时200小时 苦心力作 全boss拔刀处决（剑心版只狼）全网第一个和剑圣一心对居的4k视频诞生！,28.6万,1437,471372
72,【崩坏3测试服】雷之律者：龙背上的律者，回想芽衣这几年的日子啊...,43.7万,8089,468954
73,【那些令人难忘的BOSS战】第二十九集·生化危机7篇,28.4万,4068,464219
74,众所周知 腿越细踢人越疼 手臂越细 打人越疼 你们老婆打架真厉害,22.9万,292,462382
75,啊？这！这就是长城吗！,29.7万,2395,459412
76,【明日方舟】如果不能理解她们，至少可以给予拥抱。,23.6万,3350,456826
77,当你误入苦力怕窝,18.3万,240,456305
78,【不止游戏】你敢信？最常见到的“火箭筒”竟然不是火箭筒啊！,29.7万,3793,454463
79,王者荣耀重复名,18.1万,352,453751
80,科技使人膨胀，骄傲使人进步。,27.3万,3538,450259
81,建 筑 鬼 才,40.5万,3246,448835
82,"LOL三件新装备介绍：坦克版魔切,守护者变装备,aoe回血辅助装！",52.8万,2641,447361
83,最适合和基友和女朋友开黑的免费游戏上线了！画风建模特别可爱，女孩子的最爱,27.2万,276,444156
84,外国玩家用高尔夫球杆抡爆最后生还者2光盘，重现游戏中经典桥段,40.2万,438,439074
85,你 身 上 有 她 的 香 炉 味,32.5万,404,439052
86,Fun言趣语2020第九期：保护全世界最可爱的LWX,31.4万,2735,433738
87,【电影级/极限画质/少女前线4周年】Awaken 觉醒,12.2万,535,431475
88,老是觉得玩王者太累？那就让按键集合用一只手玩！,39.9万,1587,431343
89,让你回归，但没让你强势回归！（4K）,50.3万,896,429507
90,【Helltaker】 游戏原声 和天使Azazel一起摇摆吧！,29.6万,151,428232
91,没有比这更惊险的偷床了！,27.4万,1218,427620
92,“你没被The Shy扎过，你不懂”,45.5万,917,422344
93,【荣耀梯度排行】v28_新赛季在即，揭秘最佳上分英雄！,22.3万,3715,422334
94,当菜鸟误入顶分局却在关键时刻力挽狂澜【CSGO】,26.6万,2491,422066
95,日服《明日方舟》第六章「局部坏死」动画PV,31.0万,235,412000
96,【师生对线】拖 堂 现 状,30.3万,2216,411910
97,这四个up主 好有文化！ (第三期),39.6万,1570,411895
98,CSGO这些难以形容的彩蛋,34.7万,1244,411019
99,测一测：你和《明日方舟》哪位干员最搭？,23.0万,5506,407788
100,正 道 的 光 ！一 把 扣 99 分？,48.0万,94,407369
