排名,标题,播放量,讨论数,得分
1,【STN快报第五季01】乔尔的命也是命,43.3万,7170,678424
2,和 风 美 女,35.7万,9828,624725
3,老王有媳妇儿了！【德华的世界#6】,35.1万,4028,527201
4,【真人GTA】老 年 崔 佛,35.2万,668,481761
5,世界上BUG最多的搞笑游戏 每局1500个BUG,46.2万,773,444065
6,不要“做“挑战（番外篇）,36.3万,1049,400236
7,我的世界坏掉了！！！,14.2万,1628,399843
8,【嘟督】给你总结下《最后高尔夫2》到底讲了啥！！！,17.6万,1502,386256
9,应该是最后一期了,33.7万,3010,383058
10,【电竞星快报】看好了，这个复仇之矛我只教你一次 （第二季22期）,21.7万,2489,334998
11,【大仙全家桶】万血项羽瞬间蒸发！双抗清零，人人都可打真伤,30.1万,2697,316117
12,【煮鸡时刻 第二季】第52期 笨贼阿飞传授防盗教学 奇兵寅子上演人间大炮,29.6万,2523,315174
13,一学就会！C4炸弹快乐阴人流！自爆卡车套路！轰炸机套路！,18.9万,1412,304517
14,当你在召唤师峡谷中发明了扔标枪的坦克,24.1万,620,293816
15,真是好身手【水无月菌】,19.0万,401,260895
16,“你没被The Shy扎过，你不懂”,25.1万,392,255878
17,"塔姆即将重做：W和R互换,新W可击飞敌人Q命中敌人可回血,新大招可800米外吞人!",23.7万,180,227407
18,一个人也能做出来好游戏？内谁谁谁进来学做游戏了【是大腿TOP10#114】,16.0万,2144,226110
19,【LPL夏季赛】6月27日 ES vs FPX,23.4万,2765,222436
20,【互动游戏】剧情高能！一起失踪事件，揭开游轮血腥面纱…【打泥泥】,13.1万,2582,221581
21,史上最高野生仙人掌,16.6万,890,208098
22,史上最厚血量，被打了6分钟还活着！？,17.8万,477,205435
23,《荒野乱斗》代言人公布，超人气偶像LISA来啦！,18.2万,411,202807
24,【亚某爆料时间】王者发布会，五周年原创皮肤爆料!,17.9万,1515,198625
25,王者欢乐秀：隔着十万八千里被反甲反死！鲁班：是不是玩不起？,18.5万,708,197048
26,【沙雕GO!】玩游戏嘛 最重要的就是开心~#01,15.0万,1308,175222
27,王者荣耀五周年限定：裴擒虎武术主题皮肤来了！震惊长安第一拳！,17.3万,375,174764
28,Doinb复盘ig比赛怒锤桌子：杀谁都可以，但是为什么要去惹shy哥呢？,17.7万,133,172415
29,厄加特 机制大改，新版三星厄加特一秒一拉，更加快速 1吃9 ！,14.4万,585,163138
30,IG完整语音：泡芙想拿滑板鞋，教练：输了就休息两天；The shy:上路随便打！,16.3万,62,161054
31,徐老师来巡山271：爆炸果实虽好，可不能贪杯哦！,14.5万,288,149952
32,现 在 的 赛 尔 号,12.1万,427,148543
33,能看到第15秒吗？,6.5万,418,136897
34,燃烧吧大局观26：职业选手3大必修神技，学会就离战神不远了！,11.0万,406,134481
35,【熟肉】【毒舌老外】【gigguk】我花了一千美刀在手游上抽老婆,8.3万,1496,126804
36,我的世界:没有了工作台 你能活多久？#趣味生存,10.1万,4763,125066
37,笑笑西卡德云色 2020.6.27 有了绿龙的孙哥，味道也对了,12.0万,4538,124199
38,[MC动画]而事实是：,7.6万,138,122791
39,【老E】这是什么3A级阴间剧情？,10.7万,174,122453
40,【舍长】死亡率最高的恐怖游戏？—GO HOME（回家） 试玩,4.9万,642,119330
41,黄冈出人才比如我  喻文波面无表情说出最装杯的话,11.4万,77,118682
42,你不可能玩过的新法师,9.4万,263,117940
43,Doinb称赞米勒解说水准：解说的重点应该是“解”，而不只是“说”,11.5万,137,116273
44,用精分女友的身体做出精神污染游戏，其成果让98%的人痴迷！,8.1万,1096,116214
45,【Fate/Grand Order】创世灭亡轮回 由伽·刹多罗 黑色最后之神,8.8万,1142,115459
46,一秒点64次鼠标的“外挂”玩家,9.0万,454,115219
47,《明日方舟》全新动态立绘「不灭日光」宣传PV,8.5万,86,115102
48,宝哥被这几个水友笑死了，简直是龟兔赛跑！,11.3万,93,113786
49,跟  我  对  线  你  会  失  去  自  信,10.8万,440,113387
50,《最美-LPL》,7.8万,330,110401
51,主播炸了超神篇341：王纪超泽拉斯顶尖抢男爵，jjking血魔流1V4,10.7万,218,110099
52,FPX x BMW Fun友会 预告片,8.7万,416,105283
53,【风笑试玩】西部自爆怪丨Colt Canyon 试玩,8.3万,397,104529
54,【英雄联盟】蒙多重做草稿技能已泄露！科学怪人既视感 究极缝合怪？,10.1万,87,102613
55,腾讯公布首款主机游戏技术DEMO《代号：SYN》，设定为赛博朋克背景下的FPS游戏,9.4万,529,100138
56,开挂输了就算了，你喷自己干嘛？,8.7万,197,99705
57,这个穿西装的一看就不会打野,9.7万,38,99458
58,【steam每日资讯】夏季大促！满减攻略-三十款游戏推荐|只狼|泰坦陨落2|巫师3|古墓丽影暗影|港诡实录|怪物猎人世界|绝地求生|DOOM|steam情报局,8.2万,492,97749
59,《赛博朋克 2077》最新实机游玩，玩法揭秘【老戴在此】,8.2万,714,96595
60,你 身 上 有 她 的 香 炉 味,6.4万,69,96504
61,王老菊教你杀牛仔03 & 04,7.0万,771,96037
62,宝哥听说大坤坤出了好的辟邪玉！立马语音大坤坤：邮寄给我吧！,9.5万,94,96004
63,【公主连结】B站年度大会员礼包竟然可以领两回？10块钱年度大会员？,8.3万,14,95796
64,史上最拽儿子教他爹做爹,6.7万,151,95676
65,看完这波，我把我家电饭煲吃了,8.1万,36,94614
66,纯黑《最后生还者2》第二期 最高难度迅猛式攻略解说,5.9万,740,94394
67,云顶之弈S3：4海盗全员三星，肝了10天297场节目效果拉满,7.1万,191,94195
68,theshy的龙抬头丶算学会了吗,9.3万,0,93780
69,【直播集锦】与AI比运气的下场,6.0万,573,93422
70,炫神挂bzzb的机，直接被bzzb举报：天天挂机，谁都要惯着你？！,8.9万,1396,92397
71,【散人】孙美琪疑案：嬴雪儿 高能转折 老胡同七杀投毒案,3.8万,1043,90568
72,天才小伙竟然复刻了“爱情公寓”的桌游,6.3万,58,88284
73,【桀哥多人图#665】这波有情报，那这波稳了,7.5万,498,87489
74,大司马卡牌表演绝活“飞尸”在死亡一瞬间将尸体转移到不为人知的地方,8.0万,2313,86711
75,【老番茄】史上最骚杀手(第十集),5.9万,294,85983
76,暴 躁 老 哥,7.2万,150,85345
77,永久冲锋形态，这才是真正的觉醒关羽,7.4万,145,84085
78,裴擒虎喜迎五周年限定皮肤，免费送的武术主题新皮肤,8.0万,75,83796
79,用地雷当诱饵，射杀美国排雷工兵，中国玩家的阴险战术有多坏？,7.8万,71,83525
80,LOL塔姆史诗级重做，W和大招互换，Q技能新增回血效果！,8.2万,32,83325
81,【别人的世界】地下村庄,3.2万,623,82912
82,【剧情活动ED】小小甜心冒险家・「リトルアドベンチャー」,4.8万,170,82725
83,感受瞬侧身的暴力！熔炼车间 1.21中 ----试车房.真香,6.6万,379,82687
84,跳票 剧透与差评 《最后生还者2》坎坷的发售之路,4.6万,1832,82480
85,【疾风大爷】爷爷带孙女玩游戏，上单被打爆叫打野，孙女：我得先帮我爷爷！,7.7万,525,81754
86,【合集】零物资！挑战在只有海的世界生存下去【我的世界】,4.4万,494,80835
87,【余小C】听说狗熊好打诺手？三分单杀两次 观众：这么C 着急下班？,7.6万,791,79334
88,LOL最狠海贼拳法 你不打也得给我打的套路[有点骚东西],5.2万,185,79083
89,《嘴强青铜》这样的队友你羡慕吗？,7.1万,348,78536
90,【4K中配无消音】《赛博朋克2077》全新无和谐预告——差事,5.9万,99,78471
91,量子跃迁锤石：竟能永久卡在地图边缘！凯隐：我也想学！,6.3万,295,77928
92,考    前    演    习,5.4万,100,77736
93,“三倍速流“马超：上线3分钟怒拿对面5个头，牵个小明两枪一个,6.6万,1378,75783
94,哪些四星干员后期也很强？不要被星级迷惑了双眼,4.8万,541,75597
95,王者荣耀重复名,2.9万,38,73836
