排名,标题,播放量,讨论数,得分
1,眼“色”游戏 （2）,279.2万,7.2万,4071200
2,当 滑稽 和其他表情合体,251.0万,1.9万,3847718
3,【醒醒】中华儿女该起床了,115.0万,1.5万,3428181
4,口技大师！,278.3万,7.4万,3183977
5,小翔哥回来了，我们重新开始,424.9万,3.7万,3028188
6,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,351.9万,2.7万,2645551
7,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,165.8万,6.0万,2599515
8,马化腾曾扮妹子陪聊！【阅片无数53】,301.1万,4.2万,2199266
9,【以衣换衣·第二期】衣 服 换 换 换,276.7万,2.0万,2072714
10,油管播放量破亿却惨被删除封号的特朗普恶搞视频,283.9万,5744,2039680
11,“王 者 荣 耀 全 英 雄 介 绍 ”（共100个）,187.9万,1.2万,1959100
12,4大勺糯米2大块肉，连吃几个都嫌不够,211.7万,1.3万,1813591
13,【艾叔】4K | 成都麓湖1.5亿豪宅，开游艇的神仙生活是什么体验,175.1万,1.9万,1701718
14,蜜瓜JK妆！毕业要和姐妹去迪士尼拍照呀！,149.5万,1.2万,1621499
15,50元和2000元的猫有啥区别？2000的逐渐同化！,166.4万,8566,1577827
16,当有陌生人敲门！打开这个视频！快！,42.8万,587,1567912
17,体态纠正大师,141.0万,1.7万,1563108
18,《樱  桃  老  丸  子》,106.4万,1622,1550423
19,欢迎报考浙江大学！！！,228.6万,1.1万,1400568
20,吃了两星期豆腐，废了几十斤豆子，豆腐脑终于可以出摊了~【街头美食在家做】,102.6万,1.4万,1352448
21,高考作弊记,81.1万,3157,1322484
22,手机丢了第一件事绝不是报警,68.2万,639,1288328
23,特朗普首次回应B站恶搞视频,185.2万,6743,1277893
24,工资回收计划,133.8万,2.7万,1276834
25,【如何正确逼自己学习！！】纯干货/克服拖延/找到状态/学霸养成,37.7万,1556,1210219
26,模仿六大平台吃炸鸡，味儿太冲了,149.3万,1.2万,1205927
27,忙碌了2个小时陈师傅决定原地去世,140.6万,510,1200521
28,当杠精去面试会怎么样，面试官都被气笑了……,167.6万,1065,1187147
29,陪 我 玩！,145.1万,1859,1164560
30,我们的五年——B站五年员工纪念视频 2020版,84.7万,1.1万,1138864
31,【祝大家端午安康】我小时候吃过的传统笋壳粽子，你那有吗？,168.0万,3.1万,1120750
32,实地暗访特朗普纽约酒店，疫情下美国酒店业有多凉？,240.2万,2.1万,1117519
33,妻子车祸当场丧生，丈夫不愿独活走入燃烧的车里殉情,165.3万,6860,1091724
34,当代网络现状,83.0万,2041,1090296
35,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,39.7万,2686,1032261
36,你尽管点赞！物理老师那边我去解释！,117.6万,5873,1022100
37,中 国 新 说 唱 总 决 赛 第二季,99.3万,1129,1020312
38,富婆之歌完整版,77.1万,384,1003481
39,把11个up主的五官拿出来打乱 还能再复原么？,100.4万,2.2万,987240
40,妈妈知道我怕鬼，所以她走后从来没来过我梦里,80.4万,1461,960206
41,11岁男孩表演木偶舞，展示完美的肌肉控制力和超强身体柔韧性，反转手臂那一刻真的吓到我了,82.7万,1921,954026
42,伪造一场文艺复兴，梦回90年代,87.2万,963,943709
43,第一视角！猫头装相机拍一天，看完我不做人辣！！！【花花与三猫】,81.1万,8644,937149
44,武松打得过这玩意儿？,147.4万,3231,935121
45,同学，请不要在天上飞来飞去,140.1万,614,932165
46,这粽子是什么神仙颜值？里面藏了一整只花也太美了吧！,85.6万,3810,930397
47,从抵制中国制造到中国手机在印度脱销——印度封国的第九十一天,136.3万,1.2万,929256
48,适合【一人食】的八个创意小食谱,49.1万,1253,921996
49,印度人“抵制中国”上推特热搜，结果被中国商人收割智商税  印度网友：禁止套娃！！,189.6万,6668,921466
