排名,标题,播放量,讨论数,得分
1,爱一个人，就陪她走一遍儿时的路,50.6万,1.6万,1028638
2,把11个up主的五官拿出来打乱 还能再复原么？,100.4万,2.2万,987240
3,火锅大王消失的这段时间发生了什么？,43.1万,2859,817836
4,眼“色”游戏 （2）,57.6万,7357,814948
5,武松打得过这玩意儿？,110.1万,2197,807103
6,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,65.7万,3123,740318
7,5斤鸡腿做韩式炸鸡腿，帅小伙做了满满两大盘吃着太过瘾了！,81.4万,1.1万,713103
8,华农兄弟：听说兄弟在割蜂蜜，去帮一下忙，顺便搞点来尝一下,105.8万,1.4万,686561
9,【朱一旦】203 螳螂扑蝉 黄雀在后,87.2万,3860,592440
10,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,35.3万,6474,567629
11,五斤大公鸡练手，媳妇上演霸气厨娘，大sao没有上桌，角落吃过瘾,65.9万,1.0万,566061
12,【主播真会玩女神篇】101： 淑怡眼球追踪自动瞄准，女流再战科二终克心魔,51.7万,7969,515776
13,模仿六大平台吃炸鸡，味儿太冲了,41.4万,2762,512145
14,“这是我爸”“爸！”,55.6万,1087,501719
15,星巴克任意杯被大家玩坏了,61.5万,220,480090
16,男人的快乐可以有多简单1,38.9万,105,438149
17,威慑性太强，2020年印度军力威慑宣传视频（害怕）,45.4万,2663,434615
18,不卖给帅哥。,42.1万,878,431050
19,18岁在清华相遇，7年后我们结婚生子，校园爱情毕业不分手。,25.9万,1366,408633
20,口技大师！,28.0万,4956,408545
21,经验分享｜这么漂亮的女朋友我是怎么追到的？,33.4万,2138,387011
22,拼多多0元砍到华为手机送给大家，标价2020元，分享成功经验！,31.1万,5891,371296
23,建议保送清华,33.9万,345,369766
24,情 侣 旅 游 现 状,36.3万,5211,368068
25,在家看片犯法吗？,36.9万,555,358993
26,每次出去男朋友都怕我走光，真贴心！,40.6万,34,347739
27,一个人带动了整个寨子的经济,32.6万,52,344503
28,【醒醒】中华儿女该起床了,11.1万,1287,343314
29,？？？？？,21.5万,115,331039
30,人类早期驯服野生无人机的珍贵影像,27.7万,1234,322967
31,我的家庭影院分享,20.8万,3734,317897
32,朴实无华的白切牛腩，看着确实平平无奇，但牛肉原味完整得到展现,21.7万,434,315605
33,老木匠把10块钱的电风扇，做到1000块钱，这就是工匠精神,25.6万,628,313102
34,我一定要烧宁波大学,27.5万,100,301956
35,油管播放量破亿却惨被删除封号的特朗普恶搞视频,22.0万,460,297139
36,体态纠正大师,22.0万,1232,292519
37,这位同学醒来后多尴尬啊！,32.2万,24,291861
38,当杠精去面试会怎么样，面试官都被气笑了……,21.5万,160,283438
39,东北腔能毁了一切网络骚话,26.2万,424,282156
40,老   男   童   了,24.8万,140,278862
41,在英国跟大姑连麦 隔空做巨大肉龙！空口吃肉 超香！,20.8万,4388,273364
42,触手关服后主播真的自由了吗？颠覆三观的操作看完后毛骨悚然。,22.3万,963,271296
43,建议改成：思维导图,23.7万,16,265160
44,下着大雨房车里吃火锅，暴风雨马上要来了，这下急坏了,24.5万,762,264345
45,现实中复刻大司马反物理学进球！难度有多高？,21.5万,855,263147
46,夜深了，把想吃的都吃个了遍，好爽！@野食小哥,21.0万,3151,262956
47,第一视角！猫头装相机拍一天，看完我不做人辣！！！【花花与三猫】,19.3万,1159,260331
48,所有人期待的（杀破狼）巷战他来了！干！干！干！,19.4万,345,258922
49,有条件的话，给她卖一辆吧，感动哭系列,25.3万,156,254333
50,过来，我告诉你为什么我被拴着,25.5万,44,253131
51,男子醉酒呕吐掉脑袋，民警3公里外找到头颅,23.0万,540,239199
52,【老疯杨】曾被虐至放弃自己…,16.5万,471,238869
53,瞬间让男生崩溃的16秒钟,23.0万,400,236125
54,如果电影里的反转梗没完没了,16.2万,241,230265
55,去会所到底是你高兴还是技师高兴？,24.3万,11,227988
56,吸毒明星为什么不可以复出,16.8万,622,227537
57,张大仙的搞笑视频合集： 如果时光能倒退十年，你会选择哪种人生？,19.1万,1583,226259
58,武汉端午热似火炉，市民东湖游泳避暑，狗子们被迫跳湖生无可恋,21.4万,687,225065
59,手打20000下，一斤猪肉做成700张皮，肉包肉你吃过吗？,16.6万,526,223675
60,【老杨与猫】猫爸第一次见满月小奶猫,15.4万,236,223225
61,看完这个你有什么想法？,23.8万,6,221093
62,日本黑社会的说话是怎样？（ヤクザが使う日本語とは？）,15.4万,569,219510
63,我是张伟丽，B站我来了！,16.6万,1281,218156
64,老婆把我的车给卖了！,23.0万,54,216530
65,【Hamzy的今日份吃播】：今天吃炸鸡拌饭～！★ 凉凉的海带黄瓜汤～超好吃～！,20.7万,1125,215192
66,高考作弊记,10.8万,407,215158
67,印度人“抵制中国”上推特热搜，结果被中国商人收割智商税  印度网友：禁止套娃！！,19.3万,556,215000
68,朴实无华盖面,20.6万,967,207861
69,试吃对比价格相差20倍的潮汕大响螺和普通大海螺有什么区别？,19.7万,1311,203715
70,"漂亮的皮囊千篇一律,有趣的灵魂万里挑一",17.0万,57,202083
71,华农兄弟恰饭翻车，网友直呼不愧是村霸,20.1万,60,202058
72,在上海市中心，花3千元和5万元能租什么样的房子？,16.8万,4027,197720
73,让我们重新开始战斗吧！,19.2万,127,197130
74,作为外国人，我为在中国平台犯下的错误而道歉,15.3万,676,195856
75,这女朋友买东西送的吧,19.9万,10,193994
76,“你没穷过，你不懂”,11.5万,393,193296
77,建 议 改 为？,19.5万,65,190202
78,婚后男人噩梦,19.3万,29,188516
79,《樱  桃  老  丸  子》,10.0万,143,186987
80,#Eveonecat 「洗baby」「Baby Wash！」No.0137,11.8万,153,185099
81,本 尊 出 现,17.5万,333,183673
82,当 滑稽 和其他表情合体,8.9万,698,183111
83,马化腾曾扮妹子陪聊！【阅片无数53】,14.5万,901,182719
84,阴 兵 借 道 2,18.5万,70,180853
85,18岁大一男生和女友开房，缠绵后猝死,17.8万,158,178785
86,为什么我叫自己毛妹？是因为毛很多吗？东欧Q&A,15.2万,1423,178439
87,交警深夜拦下玛莎拉蒂女司机 车内不忍直视给她披上警服,18.4万,60,177881
88,我是世界上最了解我弟的人,16.9万,264,176191
89,种点西瓜容易吗,18.1万,42,175837
90,周淑怡被长沙男粉丝狙击，小伙骑的车都倒了属实带明星,17.4万,250,172228
