排名,标题,播放量,讨论数,得分
1,《樱  桃  老  丸  子》,654.9万,9439,7555881
2,【醒醒】中华儿女该起床了,234.8万,3.0万,6475811
3,小翔哥回来了，我们重新开始,579.2万,6.9万,4927392
4,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,228.6万,1.6万,4896855
5,眼“色”游戏 （2）,279.2万,7.2万,4071200
6,默契挑战！！,510.8万,11.6万,4052937
7,当 滑稽 和其他表情合体,251.0万,1.9万,3847718
8,手 往 哪 摸 呢 ？,435.3万,4.7万,3742485
9,脱 离 苦 海,325.2万,10.2万,3654426
10,高考作弊记,277.7万,1.3万,3623014
11,【互动视频】100%算中你的年龄！,330.1万,4.4万,3426685
12,我 摸到了！,325.4万,3.6万,3250786
13,当有陌生人敲门！打开这个视频！快！,90.1万,1362,3236908
14,快给我住手！你喷错人了！！,391.1万,6318,3226113
15,妈妈去世后，就再也没有吃过了…,249.7万,6859,3161517
16,看看他最后是怎么离开死循环的,353.7万,5512,3096796
17,选来选去还是这首歌最合适放学的她,606.5万,3969,3039697
18,高 ping 战 士,661.4万,5033,2911823
19,六 一 儿 童 劫,487.1万,8428,2859097
20,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,351.9万,2.7万,2645551
21,4斤重的烤羊腿！没见过世面的姐姐直接抱着啃...,438.6万,9313,2624867
22,当法官要看你浏览器记录时【阅片无数50】,442.9万,3.7万,2609940
23,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,165.8万,6.0万,2599515
24,【作文】那些写进作文里的神仙开头,61.4万,691,2420221
25,追男生硬核攻略教学  轻轻松松 从入门到精通,120.9万,2.4万,2406723
26,油管上超火的美国熊孩子模仿特朗普表演,375.1万,8103,2341585
27,中 国 新 说 唱 总 决 赛 第二季,340.0万,3264,2328148
28,“你是我此生最大的浪漫”,296.1万,1.3万,2287977
29,我偷偷盖了个树屋！,169.7万,1.0万,2265502
30,#钟美美#钟美美所有作品合集(时长53分钟),97.4万,2.7万,2211009
31,那些写进进作文里会让老师震惊的句子【狗头】保命,42.2万,952,2188050
32,为啥费玉清《一剪梅》突然欧美爆火？不懂雪花飘飘梗会被嘲笑！,399.0万,3.2万,2176443
33,适合【一人食】的八个创意小食谱,135.6万,3682,2142174
