排名,标题,播放量,讨论数,得分
1,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,44.9万,9797,1204552
2,【懂点儿啥】李嘉诚开挂的一生（上）：“统治”香港,96.9万,1.5万,1132490
3,为了做游戏，我花了10年自学程序、美术、音乐、策划,32.0万,3548,793721
4,直男第一次做手工会发生什么？！,53.0万,9048,686292
5,【半佛】应届生求职利益最大化指南,35.8万,2466,663853
6,【奇怪的传播学】下行生育率背后的传播学逻辑,34.1万,4691,634380
7,和中国一样大的太阳系模型！太阳系竟是如此空洞广阔！,26.2万,1988,403856
8,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,28.6万,2242,381069
9,印度疯狂抵制中国制造？背后的逻辑是这样的。。。,28.9万,2817,358516
10,【睡前消息134】有人为“合村并居”批评山东，我想为山东说两句,28.4万,1.1万,348174
11,沉迷“吸毒”的动物，千万不要吸毒,28.4万,639,287210
12,【戴建业】小学生都会背的《春晓》和《如梦令》，你真的读懂了吗？,15.5万,3490,252718
13,她把300个节育环制成饰品展出，美丽背后是荒唐与屈辱,17.0万,523,249373
14,毛选朗读（1～5卷） 持续更新中…,7.1万,825,241949
15,【油管热议】李子柒端午粽子视频被韩国人举报而导致下架？,21.4万,299,215810
16,【新海诚风格】教你将普通照片P成新海诚二次元风格！！！（干货分享）,4.1万,109,194863
17,学婊的千层套路,10.5万,459,189700
18,【自制】马格努斯效应飞行器 ，一般人都看不懂的飞机,16.3万,536,181825
19,印度网友疑惑：为什么中国人不抵制印度商品？中国网友在线真诚解答，听完他心态崩了..,15.4万,479,176418
20,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,8.3万,837,176040
21,【避雷】日本留学净是坑？中介不会告诉你的五件事,9.1万,1136,174326
22,情侣开房你管得了吗？,16.0万,262,168238
23,"[科普]为什么下雨天睡觉,会让人觉得特别舒服?",12.8万,442,167093
24,一不小心倾家荡产？创业开店选址避坑指南【蜡烛】,6.4万,389,166818
25,张召忠说2 第7期 事故频发的印度海军,14.5万,1124,155856
26,4个月吸毒花了几十万，害人的笑气竟然不算毒品，就在身边【禁毒日专题】,9.4万,885,152605
27,【Mo精选】最深度的EVA致敬CG - 导演完全版《EVA超·现实》【正片+幕后】 by SOMEI | C4D制作,3.8万,176,151258
28,【美丽乡村】本片建议降维观看！怕贼惦记，叔给自家果园装上防盗,12.8万,2094,149302
29,那些半句封神的句子|你知道另一半吗？,6.8万,133,148752
30,【迷瞪】23款插座横向评测，大牌翻车集锦,6.3万,399,147834
31,"《资料分析》《数量关系》行测,王永恒【超厉害】公安联考，国考，省考，言语理解,科学推理,申论,判断推理,公考面试,公务员面试，结构化面试，公安专业科目,名师公考",15.0万,169,146744
32,【浪浪】为什么你买的保险无法理赔？,8.7万,268,141918
33,【短片】快 速 装 填,13.5万,10,137065
34,【牛顿】姐姐背后的资本逻辑,8.8万,1486,136751
35,【实验艺术】让从来没有接受过新式学校教育的老人完成一幅画作,8.6万,151,135339
36,二战前夜，大国博弈：张伯伦与绥靖政策【历史调研室09】,7.5万,965,131023
37,在YouTube上的中国军队宣传片,10.6万,442,125763
38,南街村“向着‘共产主义集体村’目标前进！”,5.4万,490,125569
39,示威游行中出现民粹主义，德国冒出极端右翼新纳粹组织,11.0万,300,120800
40,印度为什么总是要搞我们？,9.7万,887,119365
41,你真的对这个世界做好准备了吗？丨ztalk,5.5万,846,115957
42,真到发疯？专业解读郑爽到底这么想的｜女明星与心理｜解说撕逼综艺天花板花儿与少年第二季,8.9万,1333,113694
43,毛囊里的异形，这是一期看了头皮会发麻的视频,7.6万,1808,111854
44,中国天眼遇暴雨成了汤锅？成功泄水主要靠两点，选址就用了整13年【中国天眼】,10.2万,78,106257
45,【麦长青x戏里戏外】聊一聊23年前我出演的《天龙八部》，当时的我……,6.9万,1031,102151
46,"二货自封""皇帝”，满朝文武14人，被三名民警一举歼灭。",7.8万,1407,101007
47,【建议收藏】将文件伪装成任意图片-文件伪装术,2.4万,67,99508
48,人类为何不能吃人肉,8.5万,167,94765
49,【乌鸦校尉】美国黑人曾距共产主义只有一步之遥？,5.4万,496,94477
50,知道这些后 我戒掉了游戏,6.3万,874,93977
51,戴建业：社会上面临的教育焦虑是孩子的不幸,5.5万,528,90874
52,【武林外传】燕小六的结局究竟有多讽刺,8.6万,63,89455
