排名,标题,播放量,讨论数,得分
1,骁话一下：为什么中日韩一谈合作，钓鱼岛就出事儿？,393.2万,5.8万,5699464
2,毛选朗读（1～5卷） 持续更新中…,138.9万,1.4万,5281216
3,这个王者明明超强却喜欢捡垃圾吃【龙女动物学15】软甲纲,317.1万,1.5万,4692941
4,B站的儿童节礼物：哔哩哔哩视频卫星，把世界拍给你看！,600.4万,3.1万,3710517
5,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,175.0万,2.6万,3688478
6,壮阔史诗！二战历史年表，超燃影视化剪辑【历史调研室】,115.0万,1.5万,3488382
7,"泰戈尔《飞鸟集》英文版326首全集(英音+美音), 适合朗读和练听力",44.5万,1039,3237690
8,【毕导】建议收藏！如何在毕业答辩上一展雄风，成为答辩之神！,122.1万,7335,3177907
9,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,45.9万,2152,2802184
10,别让浑浑噩噩毁了你的生活！百万粉up主的时间管理心得分享！,104.8万,7073,2524312
11,【自制】如何把门禁卡做成你用不起的样子？硬核UP自制带屏幕的NFC名片,149.1万,7326,2481358
12,【半佛】为什么公司要对员工工资进行保密？,213.2万,5926,2479035
13,表白利器  马赛克拼贴照片制作  有字幕,66.9万,346,2463847
14,那些半句封神的句子|你知道另一半吗？,133.7万,3116,2407220
15,【戴建业】同学们我来B站了！今后一起聊聊诗词吧！,135.3万,4.0万,2338446
16,【罗翔vs半佛】专家没有灵魂？知识要广还是要精？,240.7万,2.8万,2279960
17,【鬼谷说】龙兽争霸（其五）：让恐龙再次伟大,86.7万,6954,2173780
18,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,244.2万,2.9万,2067347
19,为了做游戏，我花了10年自学程序、美术、音乐、策划,88.8万,1.3万,2066982
20,扒开漂亮国的底裤，用事实告诉你，他到底有没有平等和自由【玄铁说】,184.2万,6.2万,2035802
21,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,67.6万,1.8万,1885527
22,世上有几人能活到这短片结束？,98.5万,3.6万,1868440
23,选眼镜框有个公式你知道吗？,96.3万,1692,1792729
24,【英文听力练习600句】彻底提高您的英文听力水平,29.6万,3277,1653365
25,全球衰退年代，年轻人的机遇与艰辛,84.2万,1.1万,1559746
26,汇总一下那些小众却惊艳的成语｜知识文化积累,34.6万,1971,1540090
27,【高考数学】看懂这张纸至少131分！清华学长带你押题（2020国I）,39.9万,1568,1521543
28,满分UP主倾囊教你写高分作文！最强攻略！【满分作文攻略01】,34.0万,5141,1453637
29,从第7秒开始一直“卧槽”到结束,142.8万,4348,1431029
30,干货! 成绩全A的UP主讲述留学生常走的五条弯路!,61.8万,4229,1426031
31,外交天团：反击开始,95.7万,7963,1289486
32,过目不忘！开考前5分钟就能背完的短句（附解析+例句哦）【纸条摘抄】,28.8万,3453,1284109
33,学婊的千层套路,89.2万,3783,1283711
34,10年内，高考答案的强规律性【北清学长亲传】,36.6万,2162,1272750
35,1991年苏联解体，看当时的新闻联播如何报道这一历史性时刻,214.6万,5448,1271126
36,搜索效率提升200%！8个小技巧助你快速查资料，妈妈再也不担心我的学习了~【蜡笔小干货01】,29.4万,966,1249083
37,如何反驳精神资本家？,82.1万,5228,1215200
38,女孩第一次来月经浑然不知，路人看到后，有人脱下了自己的外套（社会实验）,229.0万,6470,1214321
39,痒到怀疑人生？被汗疱疹和荨麻疹支配过的同胞们看过来，皮肤科医生手把手教你解决,72.4万,4436,1167267
40,【阅网无数】你下载的“小电影”都被这个网站记录了！,40.1万,129,1166497
41,YouTube 上亿播放量的宣传片：我是中国军人！,112.9万,0,1150547
42,我国五大战区如何划分？哪个战区实力最强？西部战区距离印度最近,127.2万,4605,1149100
