排名,标题,播放量,讨论数,得分
1,乘风破浪的姐姐-大碗宽面练习室版舞蹈,164.1万,1.4万,1748612
2,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,117.0万,4954,1280652
3,姐姐无处不在，姐姐无人不爱,60.4万,474,755598
4,【椰汁兔】Up&Down 上和下 性感风撩你一下～,41.7万,190,752641
5,炫目特效,39.4万,754,747254
6,【猛男版】新 宝 岛,60.3万,3052,703760
7,【兔总裁】想做你的公主❤幻想童话IZ*ONE,50.4万,523,657757
8,【官方】张艺兴《莲》舞蹈版视频,36.0万,5293,648151
9,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,55.2万,1570,646298
10,【舞小喵】短裙-Miniskirt❤性感小野猫来袭~,26.7万,426,638720
11,【夏酥酥】 ice-cream  ❤,31.6万,199,601811
12,徐艺洋《怪女孩》直拍！僵尸哥特风！太绝了！,51.2万,1.5万,587492
13,【糖小V】优雅小黑裙❤️Dumhdurum-Apink,23.0万,197,566565
14,【4K】重庆大学毕业生版《YES! OK! 》青春有你之毕业纪念视频 外国语学院的研究生小姐姐带来的舞蹈！,63.3万,2367,549798
15,4K*10cm高跟蹦迪《无价之姐》李宇春【乘风破浪的姐姐】主题曲【紫嘉儿】,50.3万,521,535267
16,不要心动❤️我要开始表白了【欣小萌】,37.4万,1694,527685
17,【几兔灰】Hot lssue - 徐穗珍【竖屏】,25.5万,161,510863
18,"""Say So""四人编舞，复古蒸汽波校园初体验:)，Doja Cat ft. Niki Minaj",31.4万,377,485567
19,【雨乃】       ♥️  风  月  ♥️,23.8万,298,460372
20,蛇舞S妖娆曼妙肚皮舞小姐姐-欧洲联赛,30.8万,389,444080
21,【十六】AOA-Short Hair【短发也可以性感和可爱】,20.0万,145,431910
22,换了16套裙子为爱应援！Lo娘也有爱豆梦！,34.3万,781,421280
23,打破偏见的男生双人舞 MoodDok让人脸红心跳的Urban编舞Idea686！,12.7万,354,357935
24,【莉莉子】AOA 猫步轻俏 就算入睡也一定会梦到我,13.1万,120,357862
25,【腸粉】挑战一口气跳完防弹所有主打歌曲副歌 自己挖的坑 哭着都要填完 拍摄防弹出道7周年翻跳后续實錄,13.3万,1478,354447
26,【卡卡】♦囍♦一尺一恨,13.3万,675,347621
27,让桥本环奈大火的舞蹈视频,35.2万,78,345211
28,BLACKPINK  练习室舞蹈 合集 已更！,22.4万,2096,333490
29,想知道天鹅的秘密吗❤西四❤Secret Story of the Swan~幻想童话【IZ*ONE全曲翻跳】,17.2万,569,330844
30,❤老 师 大 人 是 女 仆❤,19.1万,257,318727
31,创造营2020 | 第三次公演舞台《怪女孩》原版编舞Demo，暗黑哥特风舞蹈，炸到令人头皮发麻！,19.6万,774,315402
32,【小仙若】shake it ！冬日也要活力满满！,27.4万,370,307248
33,喵~打包好的小猫咪要收养吗？白丝袜真的太勒肉肉了!【小埋体操】,19.8万,157,297410
34,女孩子要帅一定要跳蒙族,15.2万,338,294926
35,【蔓蔓】这就是纯欲风吗-黑长直性感出击！《短发》short hair,10.3万,146,293171
36,【菌子】竖屏蹦迪！Thumbs Up！性感秘书♥在线蹦迪！,14.2万,124,292291
37,【咝小喵】双倍魅惑❤️虎视眈眈❤️【星辰】,10.5万,186,277333
38,【小巫】国风旗袍❀咏春·七朵❀春知晓梦不觉恰似你我那年……,8.9万,376,275759
39,小米印度销量破亿广告舞,27.1万,491,267479
40,荷兰国家芭蕾舞团演绎“安全社交距离芭蕾舞”,15.9万,152,265970
41,【阿呆】IZONE最新回归《幻想童话/Secret Story of the Swan》,14.6万,101,257830
