排名,标题,播放量,讨论数,得分
1,乘风破浪的姐姐-大碗宽面练习室版舞蹈,49.1万,3784,665563
2,【舞小喵】短裙-Miniskirt❤性感小野猫来袭~,26.7万,426,638720
3,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,24.1万,522,307925
4,【卡卡】♦囍♦一尺一恨,9.1万,325,230433
5,姐姐无处不在，姐姐无人不爱,13.9万,59,194688
6,【张晋的视频】听说你们想看，被迫营业的舞一个,16.8万,539,194036
7,【几兔灰】Hot lssue - 徐穗珍【竖屏】,9.3万,44,160570
8,【中信银行信用卡中心】超还原书记舞，不看错亿！,13.5万,143,150864
9,BLACKPINK新歌《How You Like That》副歌教学 镜面分解【Ellen和Brian教学】,4.7万,134,129935
10,【乘风破浪的姐姐】李宇春《无价之姐》完整版舞蹈！阔少编舞,11.6万,102,128661
11,炫目特效,5.5万,69,115955
12,不要心动❤️我要开始表白了【欣小萌】,7.8万,203,112425
13,商场无人偷偷蹦迪 进来围观Thumbs Up长腿御姐在线蹦迪教学【轩哥】,5.0万,22,107065
14,想知道天鹅的秘密吗❤西四❤Secret Story of the Swan~幻想童话【IZ*ONE全曲翻跳】,7.0万,87,102966
15,【猛男版】新 宝 岛,7.2万,324,101504
16,【小巫】国风旗袍❀咏春·七朵❀春知晓梦不觉恰似你我那年……,3.9万,32,100597
17,女孩子要帅一定要跳蒙族,4.6万,84,89463
18,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,5.1万,143,78439
19,【Lisa Rhee】How You Like That翻跳,3.9万,116,75074
20,BLACKPINK新歌(How You Like That)欧尼练习室镜面慢速舞蹈教学,2.3万,9,72260
21,【椰汁兔】点击领取你的夏日限定女友❤️怦然心动,2.5万,38,71172
22,BLACKPINK最新回归曲How You Like That LISA实力翻跳,4.1万,117,70436
23,【小鹿】竖版竖版！可爱与性感并存-Hot Issue,2.6万,13,70164
24,你爱大海，我爱过你♥竖屏极致体验-so crazy,1.7万,20,65275
25,减肥舞健身有氧舞蹈《你要跳舞吗》尊巴版尊巴舞Zumba舞蹈教学减肥操燃脂操健身操瘦身操减脂操健身舞蹈减肥塑形产后瘦身有氧运动简单舞蹈暴汗原创编舞高效燃脂广场舞,2.5万,125,65190
26,【咝小喵】白丝女仆喵❤️恋爱循环【星辰】,1.5万,67,64023
27,【麻衣】浪人琵琶 竖屏旗袍更动人,1.7万,39,60776
28,火箭少女101跳《无价之姐》！孟美岐、杨超越也乘风破浪的姐姐？,5.1万,64,53644
29,打破偏见的男生双人舞 MoodDok让人脸红心跳的Urban编舞Idea686！,1.8万,50,52441
30,甜 ღ 圆 ღ 纯                                 【紫颜】【勾指起誓】,2.1万,99,51690
31,KIKI//翻跳 一口气跳完Blackpink心头爱副歌part,2.5万,39,47667
32,"""Say So""四人编舞，复古蒸汽波校园初体验:)，Doja Cat ft. Niki Minaj",3.0万,21,46761
33,【夏酥酥】 ice-cream  ❤,2.9万,16,46451
34,让桥本环奈大火的舞蹈视频,4.3万,8,46266
35,AOA-excuse me ‘你帅气我美丽 我们一看就是天生一对’,8983,13,44998
36,【ONeeCrew】Blackpink_how you like that练习室速翻+背面镜面版,3.0万,9,44301
37,【十六】AOA-Short Hair【短发也可以性感和可爱】,2.5万,9,40950
38,你能用手指来演绎Michael Jackson吗？,3.1万,133,39547
39,【慕】Despacito,1.8万,62,39362
40,【清晨】是你的黑丝小猫吗~❤猫步轻俏(Like a Cat),8217,57,37859
41,4K*10cm高跟蹦迪《无价之姐》李宇春【乘风破浪的姐姐】主题曲【紫嘉儿】,2.8万,45,37464
42,换了16套裙子为爱应援！Lo娘也有爱豆梦！,2.9万,48,37208
43,【查理蹦蹦】迷惑舞蹈鉴赏,2.8万,125,36086
44,【莉莉子】AOA 猫步轻俏 就算入睡也一定会梦到我,1.7万,6,35805
45,【BLACKPINK - How You Like That】舞蹈分解教程合集 镜面,1.1万,7,35787
46,宣美《pporappippam》舞蹈版预告 [BE ORIGINAL],3.2万,20,35530
47,Blackpink新曲How you like that全网最快Dance Break速扒翻跳 拽出天际疯狂踩点,2.8万,3,34103
48,[舞蹈翻跳] BLACKPINK - How You Like That (Dance Cover),2.7万,42,33661
49,BLACKPINK  练习室舞蹈 合集 已更！,2.0万,130,31174
50,【小仙若】shake it ！冬日也要活力满满！,2.6万,27,31097
51,【官方】张艺兴《莲》舞蹈版视频,1.7万,113,30281
52,【线条君】爆肝700+帧的 Thumbs Up，凭我这个腿长可以排在舞蹈区第几名？,2.1万,22,28024
53,【蔓蔓】这就是纯欲风吗-黑长直性感出击！《短发》short hair,1.2万,6,27773
54,还记得就是这个练习室，直接把我从韩圈拉了过来，孔雪儿也是我的小墙头！！都给我看！！,2.2万,12,27532
55,【岛岛】  EXCUSE ME  打扰一下， 请问缺秘书嘛？,5839,6,26523
56,肉感才是王道 nice body！【羊羊羊】【星辰】to 鸭鸭,7725,34,24926
57,【奈子】一直看着我吧♡恋爱循环♡,6704,38,24071
58,Blackpink新歌《How you like that》实力翻跳 | 盗版女团成员练习室直拍 | 两小时挑战中心位翻跳,1.8万,20,23870
59,鞠婧祎-恋爱告急 【练习室】【竖屏】,1.6万,8,23469
60,【糖小V】优雅小黑裙❤️Dumhdurum-Apink,1.1万,6,23174
61,【兔总裁】想做你的公主❤幻想童话IZ*ONE,1.7万,3,22986
62,整个活,2.1万,2,22177
63,【4K】重庆大学毕业生版《YES! OK! 》青春有你之毕业纪念视频 外国语学院的研究生小姐姐带来的舞蹈！,1.9万,53,22115
64,Red Velvet IRENE最新练习室公开！《Don’t -Start Now》200626 编舞老师Ins更新,1.4万,34,21821
65,【SNH48 GROUP】炙热的我们-第5场《大艺术家》舞台版,1.3万,330,21655
66,真实的索兰节VS虚假的索兰节（会长VS长崎大学突风祭）,1.7万,66,21315
67,【竹熊】Siren性感人鱼4K♥你会陷入危险哦,5386,18,21298
68,BDF 2020宅舞接力    彩虹节拍   33人云接力   【摘星舞蹈接力】,1.4万,45,21297
69,【頎三73】囍 ❁于黑夜出嫁 做你的新娘❁,9086,27,21132
70,二次元办公室尬跳-广场舞神曲《酒醉的蝴蝶》，醉不醉你说了算！！,1.7万,29,20682
71,wiggle wiggle--hello venus。可能是最难看的翻跳,9625,15,20582
72,【瘦不了猫】☀彩虹节拍☀健身舞up挑战二次元广场舞，人工雨刷器真香~！,1.7万,63,20144
73,【座山雕】lamb 丝 袜  拉 太 高 是 什 么 体 验,1.2万,7,19881
74,【安兜生贺】流★群/Meteor Stream☆做我的伴星吧♥,4593,139,19804
75,【富婆七奈】醒醒上课啦！你的老师～成人礼-Nine Muses,1.2万,16,19374
76,《乘风破浪的姐姐》主题曲【无价之姐】舞蹈教学（超详细）,9766,5,19349
77,【雨乃】       ♥️  风  月  ♥️,1.2万,14,19109
78,减肥也要听BTS！ 坚持每天15分钟BTS有氧减肥健身操 让你瘦成一道闪电(So What/Boy With Luv/Dionysus/DOPE),8415,13,19004
79,粉红色的性感～【Babe】【泫雅】【伢伢】【韩舞翻跳】,1.2万,8,17941
80,【十元酱】和广场舞阿姨battle《酒醉的蝴蝶》，阿姨都甘拜下风？,1.5万,43,17880
81,【徐娇】Pizzicato Drops ～五周年～,1.2万,13,17840
82,双马尾❤️点开心动❤️《Boogie Up》,8083,6,17746
83,喵~打包好的小猫咪要收养吗？白丝袜真的太勒肉肉了!【小埋体操】,1.2万,10,17669
84,老板见打系列《单眼皮女孩》客服小姐姐版,1.3万,34,17620
85,【安逸】肉肉水手随时待命❤so crazy！,9049,1,17529
86,张艺兴Lay跳爱射宝loveshot,1.6万,0,17255
87,夏天少不了SISTAR啊！,5695,8,16759
88,BLACKPINK How You Like That舞蹈翻跳，这速度好快啊,9840,22,16413
89,【酒醉的蝴蝶】想要和妈妈做朋友，妈妈看了和我绝交,1.2万,77,16387
90,【EXO应援歌曲连跳】【全成都巡演第三场龙泉驿万达站】EXO出道八周年全球应援活动纯EXO歌曲连跳(KPOP random dance 成都随机舞蹈秀）,9907,193,16352
91,【Natsu夏日】【4K】 MissA - Goodbye BABY,4454,11,15768
92,【咬人猫X露露】今天不上班！跳猛男版！新 宝 岛！,1.4万,13,15681
93,【孝曦曦】韩国第一代女团劲舞辣妹组合Baby.V.O.X《Xcstasy》｜韩舞翻跳,6220,28,15424
94,痛  苦  面  具,1.4万,8,15195
95,科学长高的动作！俄罗斯芭蕾舞者带你拉伸腿部线条,3000,0,15191
96,[文心]SING女团《烟雨笑》❤️侗寨录舞初体验❤️翻跳国产女团第24弹,4846,22,14752
97,【小薇君】短裙-AOA ♥ 竖屏版 封面内容不一样！千万不要过来啊！,8273,5,14396
98,【正义xPk.男女双跳】囍~B站最强quan编舞!我有情，我有泪，也曾无悔~错过后已是莫然~或相拥不相视~,6888,11,14373
99,创造营2020 | 第三次公演舞台《怪女孩》原版编舞Demo，暗黑哥特风舞蹈，炸到令人头皮发麻！,8478,9,14308
100,【跳跳舞蹈教学】青春有你2主题曲《YES！OK！》舞蹈教学，全网最快完整版教学【YES!OK! 一起绽放】,7668,8,14303
