排名,标题,播放量,讨论数,得分
1,换了16套裙子为爱应援！Lo娘也有爱豆梦！,337.8万,1.8万,2749953
2,炫目特效,144.3万,2986,2472446
3,别爱我，没结果，除非花手摇过我,331.0万,1.7万,2334950
4,乘风破浪的姐姐-大碗宽面练习室版舞蹈,164.1万,1.4万,1748612
5,打破偏见的男生双人舞 MoodDok让人脸红心跳的Urban编舞Idea686！,59.0万,2276,1638877
6,女孩子要帅一定要跳蒙族,122.1万,2765,1560262
7,【猛男版】新 宝 岛,201.9万,1.1万,1498947
8,【酒醉的蝴蝶】想要和妈妈做朋友，妈妈看了和我绝交,129.9万,1.0万,1448290
9,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,117.9万,5088,1295515
10,【官方】张艺兴《莲》舞蹈版视频,63.1万,1.9万,1287038
11,【舞小喵】Nice Body~点击进来领取 绝世好身材,75.5万,829,1271397
12,【小诺】真 爱 杀 宝 贝 ！,129.7万,1570,1071480
13,清新夏日限定❤️你最最最重要！【欣小萌】,91.8万,2652,997853
14,广 场 舞 大 妈 大 闹 B 站,114.6万,6810,989748
15,【SUNMI_宣美】又跳了《nobody》《24小时都不够》，你们喜欢吗,107.1万,3551,887040
16,【椰汁兔】就此沉溺在你甜美的谎言之中..《Alone》,56.1万,292,877374
17,粉红色的性感～【Babe】【泫雅】【伢伢】【韩舞翻跳】,60.8万,491,863865
18,尝试在大街上跳酒醉的蝴蝶，看路人反应......,113.3万,3346,847981
19,BLACKPINK  练习室舞蹈 合集 已更！,70.7万,7783,842827
20,又美又野，攻气冲天，谁看了不叫一声姐姐？喻言《 a little bit 》全开麦直拍,66.5万,3.2万,837555
21,【党妹】你最最最重要！花絮大放送,121.1万,3421,822517
22,这大概就是从此君王不早朝的原因吧~,57.9万,1107,734613
23,【十元酱】和广场舞阿姨battle《酒醉的蝴蝶》，阿姨都甘拜下风？,86.8万,2904,704606
24,【男子五人】用韩团的方式打开《酒醉的蝴蝶》【精 神 小 伙】,57.9万,2399,691263
25,b站舞区up主们30年后的样子【酒醉的蝴蝶】西四x爱丽丝,66.4万,2882,687120
26,【小巫】魅惑短发有撩到你吗？AOA-Short Hair【4k60帧极致体验】,33.2万,800,669617
27,让桥本环奈大火的舞蹈视频,113.7万,329,667082
28,赵小棠初舞台《五毒》练习室！Solo版中国风来了！你觉得如何？,42.5万,2631,665048
29,看 不 看 啊,37.5万,321,656156
