排名,标题,播放量,讨论数,得分
1,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,159.0万,1.5万,3350441
2,BLACKPINK 新曲《How you like that》MV公开,221.8万,4.3万,1540621
3,《瘾》原创说唱×国家禁毒日宣传曲,51.2万,1253,1526857
4,【阿宅专用】是阿宅就来听听这个！,71.4万,3121,1480555
5,与火星的孩子对话（现场版） - 华晨宇,47.6万,9.4万,1457208
6,被上帝吻过的嗓子,145.3万,3970,1081978
7,在宜家做一首BAD GUY，宜家GJ！（补投）,46.3万,6223,1050340
8,【黄龄】#乘风破浪的姐姐# 主题曲《无价之姐》浴室版来啦！,149.6万,1.6万,1047807
9,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),107.7万,2.0万,1012444
10,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,70.3万,1588,1001133
11,我把高考必背历史做成了一首歌！,32.2万,2164,943415
12,特朗普连任应援歌《让美国保持伟大》正式MV,111.7万,7008,867231
13,满级大佬屠杀新手村,60.9万,1442,812676
14,《Numb》——4K超清  翻唱,55.4万,1853,785863
15,【祖娅纳惜】 麓海为王【他们跟我说，要海妖吟唱！】（阴阳师-铃鹿御前同人曲）,26.3万,2108,762661
16,清唱，他不爱我,52.9万,1174,747416
17,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,46.8万,795,731383
18,【古筝】Only My Railgun —— B站十一周年快乐！,32.6万,2374,731213
19,【架子鼓】燃爆！鬼灭之刃op《紅蓮華》-LiSA|和服甩起来真是太困难了- -.,65.1万,1042,729741
20,【Animenz】紅蓮華 - 鬼灭之刃 OP 钢琴版,24.7万,2015,713478
21,BLACKPINK 最新回归《How You Like That》MV 先行曲完整版震撼空降,78.1万,5857,712675
22,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,38.9万,1070,698567
23,还原度99%的守护甜心op《心灵之蛋》翻唱，一开口就有内味了,21.6万,3077,647933
24,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,25.5万,632,555630
25,黄圣依唱的同名歌曲黄圣依，歌词高能哈哈哈这才是她真正的实力吧,66.2万,6471,538980
26,【翻唱】杀手皇后_Ayase_covered by 黑爱,22.7万,322,524268
27,【喀秋莎】同志们！伏特加！乌拉！！!,35.5万,997,522713
28,【经典】周杰伦全MV 【191P】,36.9万,6118,505605
29,女团舞《Psycho》李大辉×崔普闵×黄铉辰×尹产贺 cover,31.7万,2909,492715
30,[8D环绕] 残酷天使的行动纲领 | 新世纪福音战士 EVA | 高桥洋子 | 戴耳机欣赏 [原声带],14.6万,329,490812
31,2020高考加油！《赴梦》夸克APP高考国风主题曲,19.0万,3117,470081
32,BLACKPINK最新回归曲How You Like That打歌舞台合集(更至200628),36.1万,4148,469397
33,最强自夸王！！！！！,30.9万,6309,468802
34,7首你曾听过而不知其名的梗曲,33.9万,1252,468484
35,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,15.9万,1889,468111
36,本人最喜欢的一版《想见你想见你想见你》 王俊凯 帮唱星火飞行器 好好听！！！！,31.1万,1263,456082
37,泪崩！火箭少女101全体穿婚纱唱《Light》！,34.3万,2557,453119
38,【Vitas女装】b站11周年生日快乐！尝试了女装，你们喜欢吗？感谢大家的支持,31.9万,3526,450895
39,V神Vicetone新歌《Animal》MV！这胖子看着怎么这么眼熟！？,44.3万,1214,437897
40,前方高能！骄傲的“东风快递”兵哥哥来了！,31.2万,1412,437190
41,'我  佛  了',27.0万,1647,436662
42,成都街头 含泪演唱《曾经我也想过一了百了》但 那只是曾经。,25.9万,384,436157
43,将诗唱成歌！王源演绎《读山海经》惊艳全场,21.7万,1.8万,433773
44,当街头响起花京院处刑曲《高洁的教皇》,37.7万,445,433623
45,【原创动画MV】永远的十七岁 | 国风虚拟偶像,19.8万,571,433621
46,他永远都不知道他这首歌在QQ飞车里有多火,32.6万,1495,426168
47,bilibili十周年纪念影片《干杯》,23.5万,2504,422428
48,解散前最后一场！火箭少女101杨超越最后一次为《卡路里》注入灵魂！！！,47.8万,858,418829
49,the real suger baby已知最高画质,29.8万,147,415362
50,【考试必背，听完语文+5分】《琵琶行》【战斗吧歌姬XVirtuaReal】,10.3万,1274,408019
51,火箭少女解散居然出现神级现场，仿佛我是歌手舞台！全开麦实在太棒了,29.7万,3008,407454
52,【蔡依林】节目组错放原音 可是老娘就是要真唱真跳,48.4万,284,402851
53,如果把【黑人抬棺】做成中国风音乐,21.1万,2126,399261
54,赖美云《女孩与王冠》——每个勇敢的女孩都自带王冠，请让我唱给你听,15.4万,3243,394505
55,小时候的你真的听懂someone like you了吗？长大后再听已然成为曲中人......,24.3万,213,393157
56,【花丸晴琉＆鹿乃】チューリングラブ《Turing Love》翻唱【花寄女生宿舍】,12.3万,645,393024
57,【WNS中字】200626 BTS (防弹少年团) 'Stay Gold' Official MV,15.9万,3741,389635
58,炸裂戏腔/唢呐竟然被我干翻了《囍》初投稿【念小酱】,12.6万,923,370076
59,好听到头皮发麻！儿童震撼合唱《See You Again》,16.4万,819,360806
60,魔动闪霸《对手》（超清版）,28.2万,692,353590
61,好帅两女的合唱yellow♪性冷淡高中生X性感酷御姐【瘫君X汄天人】,12.8万,195,348193
62,【(G)I-DLE】KCON:TACT高清舞台 Oh my god + Latata + LUV U + LION + 后台 舞台全场,19.7万,3368,347705
63,听说日本假唱犯法，所以才逼出这6个神级现场？每首都能血洗乐坛！,27.1万,1013,343646
64,Giao哥开演唱会了？由于没啥才艺，竟然硬生生“giao”了2个小时！,38.6万,853,342240
65,我直接在厕所唱LOSER！！！！！！,22.6万,1280,340976
66,震惊!!不会真的有人能翻唱《Loser》吧?!,24.4万,564,339380
67,【Ayasa】《辉夜大小姐想让我告白 第二季》OP《DADDY!DADDY!DO!》,17.6万,303,331061
68,毕业快乐。青春里的《知足》cover.五月天,25.8万,516,329227
69,《野草》：我把16篇鲁迅写成了一首歌,13.1万,192,327300
70,【毛不易/周深】合唱《无问》<向往的草台>其他选手直呼要退赛,19.9万,3088,323417
71,SamTsui's Music | 《一剪梅》爆红欧美？一起“北风萧萧，雪花飘飘”,22.8万,1016,322452
72,梁博《昼夜本色》第四集：日落大道,12.7万,3367,313914
73,【湊あくあ】愛をこめて花束を【翻唱】,9.3万,1057,312362
74,【王者之歌】王者荣耀·100英雄群像献礼歌《百战成诗》,16.4万,1.1万,306687
75,央视伴舞把Gai整笑了……,31.7万,441,299847
76,《等一分钟》完整版,28.1万,653,298308
77,婊气冲天 话题焦点Queen JENNIE绝美《SOLO》舞台1080p现场版＋多角度直拍 Gaon Chart颁奖礼,19.0万,1114,297479
78,【金泰妍】TAEYEON CONCERT - THE UNSEEN 泰妍第四次个人演唱会首尔场全场中字,8.0万,7401,295408
79,这是一首唯一在任何音乐软件都要收费的歌！,22.4万,377,294735
80,[30covers] HOW YOU LIKE THAT / BLACKPINK / 男声翻唱！最强最快最高质量了解一下！粉墨听了都想立刻出新专辑！,12.2万,961,286212
81,2019最火热单宇宙大串烧,10.8万,134,285624
82,【转载】用四台计算器演奏《黑人抬棺处刑曲》,20.6万,1550,282781
83,【1080P修复合集】周杰伦2000~2011发行MV 1080P修复版合集,9.7万,1859,282302
84,Henry刘宪华领衔韩星演唱Coldplay《Viva La Vida》嗨翻全场！Crush李秀贤郑承焕李素罗,18.8万,1100,282080
85,YG你太慢啦，粉丝已经把MV做出来了，《How You Like That》饭制mv合集,21.8万,456,280017
86,日语版《想见你想见你想见你》翻唱【鹿乃】,13.1万,332,279653
87,京 都 蒸 気 少 女,17.3万,113,279634
88,逮虾户 Deja vu ！中英双字幕MV,17.2万,1203,279187
89,BILIBILI MACRO LINK 2020 云live 宣传PV1,21.6万,922,276530
90,十几年的好兄弟结婚，唱了首偶像杰伦 《简单爱》，祝虎哥新婚快乐！,25.7万,1264,275760
91,【Mitchie M】初音未来《买买买》【舞蹈视频】,8.3万,299,275235
92,【蓝光演唱会】BLACKPINK ARENA TOUR 2018 //日本大阪京瓷巨蛋演唱会蓝光DVD全场,7.3万,2163,273528
93,小姐姐街头演唱《偏爱》开口脆的声音，完全不输原唱！,25.6万,792,272735
94,我的粉丝随便哼几句就是一首歌！,14.6万,1641,272369
95,BLACKPINK《How You Like That》MV+舞台合集 (更新至200628～),23.7万,865,272020
96,【陈以桐】本人入驻B站啦！一首原创曲送给B站小伙伴,23.4万,839,271506
97,【钢琴】戴上耳机！《处处吻》钢琴超还原完美演奏版 前方高能！,13.9万,177,266719
98,【BLACKPINK】这现场实力不火都难！老娘穿韩服照样可以Slay全场！How You Like That高能附体翻唱来袭！,21.1万,623,260109
99,太虎了！ 把《左手指月》升16个key翻唱？萨顶顶老师对不起（滑跪）,14.2万,775,256238
100,乘风破浪的姐姐王霏霏孟佳Miss A时期的经典舞台,25.2万,711,255876
