排名,标题,播放量,讨论数,得分
1,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),58.3万,1.3万,714429
2,【黄龄】今天也是越来越《喜欢你》们的一天吖！,46.5万,5340,600245
3,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,21.2万,482,477473
4,【Animenz】紅蓮華 - 鬼灭之刃 OP 钢琴版,14.3万,712,366307
5,BLACKPINK 新曲《How you like that》MV公开,25.6万,4340,342484
6,震惊!!不会真的有人能翻唱《Loser》吧?!,23.1万,514,320235
7,【湊あくあ】愛をこめて花束を【翻唱】,9.3万,1057,312362
8,【喀秋莎】同志们！伏特加！乌拉！！!,17.2万,440,274430
9,【官方MV】Mojito - 周杰伦,12.0万,779,188197
10,【BLACKPINK】这现场实力不火都难！老娘穿韩服照样可以Slay全场！How You Like That高能附体翻唱来袭！,13.7万,297,171156
11,【小缘翻唱】最后の私,6.3万,558,168636
12,【三无】RUMOR【ポリスピカデリー】,6.2万,299,168284
13,BLACKPINK最新回归曲How You Like That打歌舞台合集(更至200628),11.7万,1351,167766
14,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,6.4万,485,158942
15,女团舞《Psycho》李大辉×崔普闵×黄铉辰×尹产贺 cover,9.3万,557,148764
16,BLACKPINK《How you like that》全球初舞台！美国吉米秀开场！,11.5万,1318,148556
17,【古筝】Only My Railgun —— B站十一周年快乐！,6.7万,310,142141
18,被上帝吻过的嗓子,10.4万,275,134565
19,若能化作彗星【本家演唱】/ 春卷饭 (中文字幕),2.6万,261,133060
20,BLACKPINK新歌《How you like that》用钢琴弹是什么感觉？,8.5万,121,128302
21,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,6.5万,208,124221
22,我把高考必背历史做成了一首歌！,4.5万,252,122213
23,清唱，他不爱我,7.5万,134,116174
24,《时候》翻唱，谁能比老娘更做作！！！,6.2万,981,116036
25,神仙Remix！Henry刘宪华一人一乐队《Dance Monkey》+《Attention》Loopstation！疯狂循环！,5.9万,1832,108427
26,[30covers] HOW YOU LIKE THAT / BLACKPINK / 男声翻唱！最强最快最高质量了解一下！粉墨听了都想立刻出新专辑！,4.3万,239,103382
27,【鏡音リン】爱情劣等生【かいりきベア】,2.8万,181,94842
28,【双笙＋囧菌】这样佯装洒脱的我（双向喜爱系列之白月光 续）,3.4万,263,94527
29,【毛不易/周深】合唱《无问》<向往的草台>其他选手直呼要退赛,6.3万,634,94166
30,【祖娅纳惜】 麓海为王【他们跟我说，要海妖吟唱！】（阴阳师-铃鹿御前同人曲）,3.7万,148,92117
31,bilibili十周年纪念影片《干杯》,5.0万,483,91141
32,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,5.2万,85,90515
33,【BLACKPINK】【4k超清版】【无水印收藏级】官方MV合集（已更至'how you like that'）,2.7万,129,85215
34,《瘾》原创说唱×国家禁毒日宣传曲,3.2万,50,83596
35,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,4.9万,49,83470
36,街头唱《鬼灭之刃》主题曲《红莲华》嗨爆了!!!粉丝喜笑颜开!!!,5.0万,857,79358
37,特朗普连任应援歌《让美国保持伟大》正式MV,5.9万,380,77562
38,【Kin】解决高音挤扯（一） - 之辅助肌肉代偿介绍 Vog.9,1.9万,935,76423
39,【阿宅专用】是阿宅就来听听这个！,3.9万,116,76093
40,各位看官再来听听这戏腔版《大碗宽面》合您胃口吗？,5.0万,115,76004
41,《Numb》——4K超清  翻唱,4.8万,153,75864
42,满级大佬屠杀新手村,4.9万,116,74191
43,【BLACKPINK】最新蚝油代言！《蚝油来袋/How you like that》韩语KTV版空耳教学中文音译字幕 粉墨回归主打MV,4.3万,157,71156
44,【BLACKPINK】英文版How You Like That释出！有生之年朴彩英Rap并与珍妮合唱？这版英文填词绝美速翻不容错过,3.4万,251,71066
45,【米津玄师/live/LOSER】loser日中字幕现场版-八爷：来，跟我一起摇滚~！,4.0万,99,70871
46,【BLACKPINK】她们不累么？刚直播完就来B站晃悠的内陆墨墨子新歌翻唱,3.7万,173,68166
47,【经典】周杰伦全MV 【191P】,4.7万,452,66154
48,【洛天依原创】她失去的重要的东西【雨狸、依溪禾】【霾AXIS】【哥特金属】【PV付】,1.6万,89,65398
49,像风一样自由,5.5万,64,62982
50,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,2.0万,222,59774
