排名,标题,播放量,讨论数,得分
1,【官方MV】Mojito - 周杰伦,1244.4万,13.1万,11996065
2,《Numb》——4K超清  翻唱,538.9万,2.2万,4924757
3,被上帝吻过的嗓子,773.5万,3.1万,4423978
4,满级大佬屠杀新手村,502.6万,1.1万,4237874
5,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,159.0万,1.5万,3350441
6,油管千万粉大神Kurt入驻b站！,268.0万,1.2万,2956773
7,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,213.3万,6654,2890493
8,'我  佛  了',265.7万,1.9万,2842246
9,热水澡,251.8万,1.9万,2746701
10,清唱，他不爱我,298.9万,8736,2607140
11,【真童年】一秒落泪？ 洛克王国BGM 串烧 编曲键盘演奏,104.9万,1.8万,2067718
12,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,159.4万,2707,2041807
13,成都街头 含泪演唱《曾经我也想过一了百了》但 那只是曾经。,179.5万,3446,2029554
14,好听到头皮发麻！儿童震撼合唱《See You Again》,84.0万,3271,1816133
15,【经典】周杰伦全MV 【191P】,170.3万,2.5万,1745201
16,《明日方舟》EP - Reversed time,101.6万,7430,1742528
17,【某幻/中国BOY】电子羊,116.0万,7638,1699931
18,BLACKPINK 新曲《How you like that》MV公开,277.4万,4.7万,1683986
19,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,56.2万,7664,1630751
20,《瘾》原创说唱×国家禁毒日宣传曲,51.2万,1253,1526857
21,电音大神棉花糖Marshmello来啦！和我一起回顾热血中国行吧~,173.0万,1.2万,1513607
22,【阿宅专用】是阿宅就来听听这个！,71.4万,3121,1480555
23,I LOVE YOU - 筷子兄弟,152.1万,1.7万,1463417
24,【摇滚合奏】一代人童年的英雄：迪迦奥特曼5首音乐无缝串烧（片尾曲演唱）,51.0万,6256,1455621
25,【祖娅纳惜】海底（灵魂没入寂静  无人将你吵醒）,59.5万,1971,1448669
26,【黄龄】#乘风破浪的姐姐#浴室版《芒种》来啦！,210.5万,1.8万,1445080
27,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,63.8万,2166,1444817
28,【东京喰種/周深】神仙合唱！B站首个周深&TK合唱《unravel》版本！左右声道《Unravel》自制AMV,59.2万,3221,1403668
29,如果把【黑人抬棺】做成中国风音乐,88.9万,7610,1399873
30,神曲天后龚琳娜的《下山》来了！一人hold六声部，国家队神仙演绎,100.8万,3784,1364511
31,【4K】全网最秀最好听的 DANCE MONKEY - Peter Bence （Piano Cover）,68.0万,1042,1325741
32,【钢琴】戴上耳机！《处处吻》钢琴超还原完美演奏版 前方高能！,74.3万,2087,1315902
33,【王者之歌】王者荣耀·100英雄群像献礼歌《百战成诗》,76.4万,4.2万,1273447
34,【海伊原创】好字唯之【忘川风华录】,42.6万,2951,1255769
35,日语版《想见你想见你想见你》翻唱【鹿乃】,51.9万,2651,1232967
36,《野草》：我把16篇鲁迅写成了一首歌,47.2万,723,1207852
37, 【古筝】千本樱——你可见过如此凶残的练习曲,89.7万,5859,1180924
38,【Animenz】名侦探柯南 主题曲 钢琴版,56.7万,2534,1176616
39,【40mP】恋愛裁判 Love Trial【初音ミク】,37.1万,2093,1175507
40,《入海》bilibili X 毛不易 | 跃入人海，各有风雨灿烂,62.6万,8283,1175451
41,芒种 翻唱,59.6万,3234,1172073
42,好帅两女的合唱yellow♪性冷淡高中生X性感酷御姐【瘫君X汄天人】,44.3万,630,1166504
43,【unravel】原唱大佬在家唱unravel！TK from 凛として時雨「Home Live」,39.4万,1891,1140082
44,他永远都不知道他这首歌在QQ飞车里有多火,127.8万,5403,1123369
45,【讽刺】This is America,175.2万,3209,1122580
46,【1080P修复合集】周杰伦2000~2011发行MV 1080P修复版合集,41.9万,8562,1116584
47,【4K 60FPS】迈克尔·杰克逊《Smooth Criminal》MV,46.2万,1707,1112341
48,还原度99%的守护甜心op《心灵之蛋》翻唱，一开口就有内味了,37.4万,5220,1108785
49,听说日本假唱犯法，所以才逼出这7个神级现场！每首都能血洗全网,120.6万,5470,1105798
50,周杰伦封神的十大神级金曲（地表最强画质）,64.9万,9691,1105148
51,2019最火热单宇宙大串烧,45.7万,594,1104479
52,【WNS中字】200605 Still With You by Jung Kook 田柾国,43.1万,6436,1091688
53,【三无】蒸汽金鱼【原创曲】,36.7万,1795,1046406
54,【泠鸢翻唱】夏天的风1988（回见！我去八十年代了！）改编：羊真闲,48.0万,1960,1040008
55,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),115.2万,2.0万,1025153
56,【B站毕业歌】20所高校联合唱响《入海》| 北方高校版,83.0万,8977,1018904
57,Ladygaga+BLACKPINK最新合作曲Sour Candy 完整版公开,105.3万,1.3万,1017395
58,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,70.3万,1588,1001133
59,Everyday I'm...,62.7万,4491,997581
60,孙燕姿出道20周年直播 LIVE 官方1080p,44.4万,7672,996867
61,永恒不朽的经典《We are the world》，每次听都是震撼心灵的盛宴,49.0万,1279,993419
62,《一路向北》让过去的伤感飘在夜风中,74.6万,1986,993405
63,燃炸！Henry刘宪华路演一人一乐队版5SOS《Young Blood》Loopstation！Live！,62.9万,1.3万,990998
64,【钢琴】《地下城与勇士》dnf十首经典BGM联弹 女鬼剑的演奏时间,84.2万,5124,953022
65,【气突苏】菊次郎在苏联,64.2万,2057,950989
66,我把高考必背历史做成了一首歌！,32.2万,2164,943415
67,周杰伦-《最后的乌兹》致-uzi，致永远滴神,94.4万,2556,912676
68,【BLACKPINK】天哪！！！我终于找到这场了，我太爱这张的打歌服 - Don't know what to Do,79.8万,3616,907039
69,江苏卫视618超级晚 毛不易《易燃易爆炸》+《凤凰于飞》,53.0万,1.1万,904408
70,【ずっと真夜中でいいのに。】要好好学一下哦【MV+制作花絮】,32.1万,741,898932
71,【米津玄师/live/LOSER】loser日中字幕现场版-八爷：来，跟我一起摇滚~！,52.4万,2199,893380
72,你听过克苏鲁Rap吗？【SAN值不足者谨慎观看】,41.6万,3244,888935
73,iu顶级现场,53.9万,1063,882345
74,峡谷百战成诗诵 可忆裳曾赠何人？《百战成诗》填词版 X 143款皮肤群像 及 登场时间,28.2万,3833,878099
75,听说日本假唱犯法，所以才逼出这6个神级现场？每首都能血洗乐坛！,85.7万,4101,876021
76,这是一首唯一在任何音乐软件都要收费的歌！,86.9万,1451,874843
77,【登乐V计划】主题曲 Real me 打破定义 你就是你想要的样子！,31.2万,5584,874778
78,特朗普连任应援歌《让美国保持伟大》正式MV,111.7万,7008,867231
79,你知道琵琶也可以弹funk吗？看琵琶小姐姐翻弹指弹吉他曲，颠覆你想象！,46.6万,1153,844659
80,我直接在厕所唱LOSER！！！！！！,60.7万,3693,840949
81,治愈系日文版《好想爱这个世界啊》翻唱 「华晨宇」,41.9万,3538,829365
82,「Tough Love 严厉的爱」（后妈茶话会）The Villains Lair 恶棍巢穴(Ep.2)【PattyCake】,38.9万,1416,825134
83,就是他！让网易云评论区全是卧槽的人！,74.9万,1.1万,819921
84,你们要的火力全开终极版！大剧院几千万的音响全开听黑人抬棺是什么感受？！,45.3万,2568,816251
85,1分48开始嘶吼高能！国人无修音翻唱林肯公园《Faint》,54.6万,1543,798751
86,人 型 音 响,45.4万,4304,792210
87,唢呐 生日快。。。嗯？？？,61.8万,3099,790031
88,制服小哥哥用笔演奏《Love Story》-Taylor Swift  (Penbeat cover),42.3万,3071,786150
89,魔动闪霸《对手》（超清版）,82.2万,2004,770341
90,让粉丝只押韵接歌词，把歌做成了连续剧？！,40.0万,4423,767951
91,公 主 连 结 广 东 服 OP,57.1万,1030,763693
92,【花少北】谁才是最强尴尬王！！！！！！,39.6万,3156,761685
93,你是第一个带我进女厕所的,133.4万,676,744964
94,一个夏天清凉的梦。《那女孩对我说》cover.,75.4万,1976,742941
95,这首毛主席时代的歌，现在没人再这样唱了！,56.3万,1748,739769
96,全网最清晰迈克尔杰克逊Michael Jackson1995年MTV现场Dangerous经典机械舞危险舞蹈高清修复版太空步侧滑步mj珍贵视频,46.1万,1446,734363
97,全中国“跑操”都这歌？网友：一度以为是校长自己录的，太洗脑了,102.6万,1.5万,733873
98,建  议 改  成：王 的 掰 头,38.1万,1.1万,732961
99,SamTsui's Music | 《一剪梅》爆红欧美？一起“北风萧萧，雪花飘飘”,56.9万,2971,731233
100,【架子鼓】燃爆！鬼灭之刃op《紅蓮華》-LiSA|和服甩起来真是太困难了- -.,65.1万,1042,729741
