排名,标题,播放量,讨论数,得分
1,【费玉污】《一剪梅》被删减版本！,211.0万,1.4万,2663704
2,最 强 法 海,192.0万,9341,2299397
3,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,258.6万,1.2万,2123045
4,神仙打架,125.3万,8098,1325631
5,每天一遍，北大相见,68.2万,1877,1270800
6,【罗翔】亡 匪（王妃）,38.2万,2276,934882
7,【华农兄弟】一剪没,67.2万,3968,929012
8,吉良吉影看上了藤原书记的手？——神奇联动系列,44.2万,1642,884048
9,雪⚡花⚡飘⚡飘,59.4万,3250,769109
10,【杨超越】吵架第一名,61.6万,3308,760044
11,【张大仙Rap】全程核能！你能大声呼唤一声我八戒吗？？？,50.2万,2115,758292
12,up主把摆摊名场面们做成了一个沙雕鬼畜,49.3万,1084,741535
13,【杨超越rap】干啥啥不行，吵架第一名,62.8万,2408,734221
14,【杨超越】Believer,50.5万,1850,663760
15,每天一遍，遁入空门,53.1万,561,604224
16,当茄子拿起AK47,46.1万,159,574339
17,【派大星的独白】一个关于正常人的故事,31.1万,2547,555909
18,执着的骚猪,28.9万,436,548386
19,大家好，我是沈腾，今天我入驻b站了（狗头）,68.3万,866,525871
20,王 雷 炸 鱼,34.6万,513,503342
21,"雷宝——内置""林北""王雷语音的人工智能",24.2万,1198,502918
22,最 强 茄 海,33.4万,463,478105
23,油管上超火的特朗普的鬼畜,39.9万,3011,472535
24,【特朗普】一想祖国我就 Wu~ 欲语泪先流,29.5万,2170,462512
25,【王雷】祖 安 卖 鱼,31.4万,245,456477
26,百 家 争 鸣,34.3万,1249,453329
27,简 简 单 单 の 高 考,30.2万,1093,450825
28,起飞诶飞,22.9万,320,430869
29,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,32.3万,2921,427175
30,雪花飘飘最嗨版本,33.7万,1185,421652
31,【无情哈拉少rap】没 有 一 个 正 常 人,30.7万,288,404246
32,建议改成：中 美 日 合 拍,23.3万,1632,404009
