排名,标题,播放量,讨论数,得分
1,最 强 法 海,27.0万,1192,451767
2,【费玉污】《一剪梅》被删减版本！,21.9万,1096,358846
3,希望鬼畜区没事,17.7万,271,301478
4,神仙打架,17.4万,1075,277840
5,【杨超越】斗地主第一名,14.5万,688,211946
6,【对王之王】小伙阿强,16.4万,523,194523
7,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,13.6万,987,183928
8,【大司马】马 动 闪 霸,10.5万,209,157577
9,执着的骚猪,7.0万,110,141383
10,每天一遍，北大相见,6.1万,147,115859
11,当茄子拿起AK47,7.6万,21,108236
12,王 雷 炸 鱼,6.7万,83,101967
13,被期末考试耽误的歌神 ♪一言不合就开唱♪,6.4万,399,100527
14,【杨超越】干啥啥不行，好汉歌第一名,7.6万,252,98062
15,大家好，我是奥巴马，从今天开始，我也正式入驻B站了！,8.5万,92,97098
16,每天一遍，遁入空门,7.3万,72,96508
17,【罗翔】一检没,5.5万,215,94262
18,建议改成：你你你你要消毒吗？,5.2万,237,93068
19,祖安康熙 亡国宣言,5.0万,500,85175
20,【全明星】Walk Thru Fire,3.0万,654,80705
21,【menhera酱】没时间解释了，有一个胡桃那样的可爱女友是什么体验！,3.1万,90,73423
22,【仝卓·高考】盗将行,3.7万,88,72433
23,【曹操】曹操行,3.6万,83,72226
24,听 陈 哥 的 话,5.4万,82,67856
25,【全明星】天真烂漫机能 おちゃめ機能 （Holo摇）,2.6万,145,67006
26,Windows X（ue）P（iao）冰雪节限定,3.6万,73,66272
27,【王雷】祖 安 卖 鱼,4.1万,23,64192
28,【派大星的独白】一个关于正常人的故事,3.5万,237,64005
29,"雷宝——内置""林北""王雷语音的人工智能",2.9万,156,60910
30,【王雷卖鱼】暴躁王雷，在线说唱,4.2万,120,60257
31,卢本伟玩极限运动被爆蛋合集！,3.5万,445,58970
32,粑 青 天,3.2万,91,55640
33,【秦国配音】赌狗,3.5万,238,54477
34,吸tiu蛙,4.4万,45,54413
35,【特朗普】一想祖国我就 Wu~ 欲语泪先流,3.3万,262,54188
36,【特朗普】loser 一个卧底的独白,2.5万,149,52888
37,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,3.8万,312,52452
38,淡黄色长裙该判什么罪？,3.8万,48,50336
39,建议改成：中 美 日 合 拍,2.8万,186,50250
40,【明日方舟】古米料理★准备完毕★,2.5万,46,48843
41,吉良吉影看上了藤原书记的手？——神奇联动系列,2.2万,89,48707
42,【李云龙】旧梦一场（高能泪目）,2.7万,210,47357
43,【英雄联盟】主播们的千层套路,3.8万,72,47066
44,知名rapper朱广权新单《已到达目的地》X 自动驾驶,4.1万,72,46777
45,雪⚡花⚡飘⚡飘,3.2万,125,46588
46,第一守卫旭旭宝宝,3.3万,56,46144
47,【鬼畜电影】侏罗纪世界（完整版）,1.8万,342,45591
48,【嘻游记】第五集 芜湖收徒,3.1万,119,45248
49,【阴阳怪气】B站有善口技者,2.7万,126,44718
50,建议改成：致 命 节 奏,3.0万,41,44100
51,全 网 最 奢 侈 主 播,3.9万,6,43097
52,【王者荣耀】诸神之战,3.1万,101,42860
53,【杨超越】Believer,2.8万,60,41846
54,【罗翔rap】法外狂徒张三的独白(全程押韵),2.5万,48,41436
55,雷霆嘎巴(情人节限定),3.6万,2,40592
56,当卢本伟拿起AK47,3.1万,17,40525
57,众所周知  恋爱后的女人智商如....,2.4万,110,40120
58,百 家 争 鸣,2.8万,79,38845
59,【老番茄】史上下巴最长的UP主,2.9万,33,38692
60,【六小龄童】浮夸——大圣的前世今生,2.4万,114,38577
61,油管上超火的特朗普的鬼畜,2.9万,181,38501
62,油管上一个亿的特朗普的鬼畜，xswl。,2.9万,306,37953
63,张三罪大滔天 弄得百姓怨声载道,2.3万,21,36673
64,【朱广权rap】开车了网友们！,2.5万,156,36484
65,【派大星】loser-粉色的失败者,1.6万,55,35134
66,【杨超越/周淑怡】希望老板没事,2.6万,39,34844
67,【LexBurner/老番茄】下 巴 分 你 一 半,2.0万,85,34218
68,孙笑川都干了哪些坏事？,2.3万,46,33404
69,【周淑怡rap】巴 黎 剩 母,2.4万,36,33257
70,【豹乳】我有胸了！！！,2.6万,25,33158
71,刀哥怒斥群臣不刷礼物,1.9万,65,31150
72,ZBC大战奥利给之无情哈拉少,2.2万,43,30702
73,简 简 单 单 の 高 考,1.9万,68,30595
74,【LexBurner】名侦探 嗷呜~啪！,1.6万,76,30580
75,【罗翔】有何不可,2.3万,54,29828
