排名,标题,播放量,讨论数,得分
1,最 强 法 海,1028.0万,4.1万,9320100
2,【川普】浮夸，是一个卧底最好的掩饰,340.1万,2.5万,4634446
3,【川普】没人比我更懂China！,422.3万,1.8万,3498856
4,每天一遍，北大相见,226.2万,5060,3306672
5,大家好我是周淑怡，今天正式入驻B站啦！一首《拍桌少女》送给大家！,580.1万,5.1万,2490083
6,【特朗普】没有人比我更懂模仿！,237.3万,4635,2390096
7,每天一遍，遁入空门,313.5万,3583,2253516
8,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,245.0万,1.1万,2058120
9,【派大星的独白】一个关于正常人的故事,147.6万,1.4万,1946103
10,ZBC大战奥利给之无情哈拉少,175.3万,3385,1851777
11,执着的骚猪,103.1万,1741,1685783
12,【华农兄弟】青花瓷(请华吃),89.9万,6592,1664526
13,【罗翔】亡 匪（王妃）,67.8万,4335,1652364
14,建议改成：致 命 节 奏,183.0万,2707,1651273
15,【曹操】曹操行,79.0万,3983,1630515
16,【特朗普】loser 一个卧底的独白,72.9万,3958,1412638
17,战  茄 （完整版）,72.3万,1.1万,1407978
18,爆笑虫子2,102.2万,3635,1370533
19,【川普】正道的光（建国的光）,121.0万,7867,1348890
20,地 摊 阵 线 联 盟,161.6万,1976,1330297
21,【两个神经病】祖 安 医 生,120.0万,2397,1326407
22,【明日方舟】黄铁行动的高光干员们,58.6万,1179,1322805
23,【全明星】布拉格广场,90.6万,2890,1318494
24,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,148.6万,1.4万,1290948
25,他就叫卢本伟！,80.1万,3405,1287765
26,王 雷 炸 鱼,125.5万,1858,1280511
27,如果不是真的喜欢，谁愿意当舔狗？,162.3万,3297,1253008
28,【高燃泪目】没有人比我更懂无间,83.8万,5563,1240133
29,油管上超火的特朗普的鬼畜,165.2万,6051,1228329
30,【大威天龙】腚 力 练 习 僧,93.7万,2316,1226434
31,【仝卓·高考】盗将行,101.1万,2932,1208513
32,神仙打架,107.8万,7023,1197247
33,你想和爹妈唠嗑吗？,60.4万,1558,1187132
34,油管上一个亿的特朗普的鬼畜，xswl。,148.6万,1.2万,1174335
35,【王者荣耀】诸神之战,117.8万,5142,1170229
36,【鬼畜战争大片】拯救带兵鲲鲲：终极之战（完结篇）,58.9万,8670,1147318
37,建议改成：取 消 后 摇,115.0万,1694,1142265
38,希 望 家 人 没 事 儿,75.4万,2855,1129373
39,【大威天龙】法海上非诚勿扰,89.4万,5068,1122893
40,刘备：我跟罗贯中很熟,88.1万,2328,1100843
41,【王雷】祖 安 卖 鱼,110.6万,946,1098082
42,建议改成：中 美 日 合 拍,71.5万,5257,1086585
43,【DNF】你好，再见,69.9万,1475,1074723
44,对不起老师，我错了,175.8万,5605,1072363
45,等你♂下课,69.4万,4054,1044687
46,建 议 改 为 ：让 惊 喜 飞,57.7万,2754,1043675
47,up主把摆摊名场面们做成了一个沙雕鬼畜,75.4万,1761,1022386
48,起飞诶飞,64.8万,929,1018290
49,特朗普演示喝消毒液后被抬走,190.6万,6087,1018141
50,今天我再次奢侈一把！,141.2万,1151,1011222
51,【超高能生草rap】胡 说 八 道 布 施 明,56.2万,1881,990356
52,【川普】青花瓷（高能泪目）,54.8万,6584,971374
53,【布施明】变成Rap God了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,48.5万,1725,963745
54,孙笑川都干了哪些坏事？,85.3万,2134,932239
55,希 望 海 鲜 没 事,85.9万,1020,919829
56,【中美合拍】一 代 洋 相 川 建 国,61.4万,1695,919563
57,【全明星】Way Back,36.4万,7719,918950
58,【上海川】川普：我一开口，你币就没了,60.1万,4016,908999
59,【周淑怡rap】巴 黎 剩 母,87.4万,1597,870837
60,"雷宝——内置""林北""王雷语音的人工智能",46.6万,2328,868073
61,川 普 连 任 失 败,83.1万,3204,864781
62,【黑人抬棺】车头一翘，_________,80.0万,2762,862497
63,希望卢本伟没事🙏,74.3万,2649,856858
64,吉良吉影看上了藤原书记的手？——神奇联动系列,42.0万,1553,844106
65,【CSGO大茄子】白 给 话（中国话）,65.6万,4376,840503
66,法海：没人比我更懂捉妖,73.7万,808,829971
67,【阴阳怪气】淦 ~,37.6万,769,796029
68,学校欠他一座小金人,94.1万,2910,792588
69,梁非凡入驻B站？那就来段鬼畜欢迎一下吧！,103.1万,1629,786897
70,天 农 八 部,42.4万,1451,777450
71,【JOJO】嘻唰唰,32.2万,1068,773811
72,【DIO】面包们，我开通B站帐号了！让我们一起嗨到不行！,56.3万,2043,773502
73,【卢本伟】仙剑开侠传,59.9万,3159,773388
74,川建国同学，你妈妈拿了两罐消毒液要给你,48.8万,1606,757266
75,【张大仙Rap】全程核能！你能大声呼唤一声我八戒吗？？？,48.9万,2067,744597
76,【川普】曹操（高燃）,54.1万,6545,739835
77,【全明星】Payphone,32.4万,2144,737939
78,【鬼畜电影】侏罗纪世界（完整版）,28.4万,7317,731959
79,【杨超越rap】干啥啥不行，吵架第一名,61.7万,2371,726484
80,【五五开】穷开挂,67.5万,3275,723731
81,卢登的回声♫,41.6万,687,712806
82,【川普】处处吻,54.4万,5665,710879
83,鬼 畜 区 现 状,67.6万,2040,706384
84,【全明星】Despacito,32.3万,3194,704315
85,盗 版 X P 8 8 音 乐,49.7万,853,676641
86,【鬼畜剧】阴阳怪气宫斗大戏（七）,38.1万,3434,674727
87,【卢本伟】something just like this,35.3万,1.1万,669641
88,三   国   不   裂,47.6万,2465,664625
89,【JOJOの奇妙口技】樱 桃 分 你 一 半,34.9万,1111,656620
90,【家有儿女】酒醉的蝴蝶,50.4万,1211,656028
91,【哲学】你要跳♂舞吗？,44.1万,2117,648658
92,【循环向】跟着雷总摇起来！Are you OK！,54.8万,1212,648517
93,【全 员 迫 害】B站知名up主们的日常,34.4万,655,647335
94,赌 怪（完整版）,41.2万,8322,645847
95,【川普】卧底多年终究还是暴露了（高能泪目）,56.6万,4974,637604
