排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,293.5万,1.8万,6750309,586350333,BV1Rz4y1Q7tg
2,一个人，造出让40亿人震碎的夜晚！,399.8万,3.5万,5368051,3433092,BV1zp4y1U7Z5
3,毛选朗读（1～5卷） 持续更新中…,140.0万,1.4万,5180267,611501677,BV1e54y1B7WF
4,眼“色”游戏 （2）,321.2万,7.7万,4351261,5970160,BV1LV41167aW
5,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,666.7万,4.0万,4185525,8047632,BV1yt4y1X75B
6,当 滑稽 和其他表情合体,257.9万,2.0万,3934214,437549884,BV1Hk4y1z7GA
7,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,180.6万,2.6万,3771933,2200736,BV14g4y1v7Ks
8,口技大师！,324.3万,8.0万,3422179,546195,BV1Df4y1174h
9,【醒醒】中华儿女该起床了,116.9万,1.5万,3397237,2331173,BV1m54y1Q7eQ
10,最 强 汤 姆,315.7万,1.2万,3250304,20530305,BV1Rv411B787
11,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,387.5万,2.8万,2835495,280793434,BV16v411B73n
12,【费玉污】《一剪梅》被删减版本！,224.4万,1.5万,2768467,375375,BV1Mz4y1X7Nj
13,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,187.3万,6.4万,2761659,285571498,BV1pD4y1Q7gd
14,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,47.9万,2869,2650533,369750017,BV14A411i7v2
15,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,108.3万,2.5万,2641855,79577853,BV1Cp4y1U7fp
16,名作扎堆！背水一战！2020年7月新番导视！,177.2万,3.2万,2605064,777536,BV1R54y1i71G
17,骁话一下：为什么欧洲没有互联网？,314.0万,3.7万,2554553,10330740,BV11a4y1h7wd
18,为了做游戏，我花了10年自学程序、美术、音乐、策划,109.4万,1.5万,2441286,580207,BV11T4y1J7Lk
19,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,144.8万,3823,2393439,41149747,BV1qz4y1X7ss
20,最 强 法 海,196.7万,9720,2353024,96070394,BV1pi4y147tQ
21,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,294.4万,3.2万,2308121,517327498,BV1xT4y177Kq
22,马化腾曾扮妹子陪聊！【阅片无数53】,311.6万,4.2万,2244105,14110780,BV1e54y1B7W6
23,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,98.0万,8249,2235211,85318798,BV1SA411v7zD
24,油管播放量破亿却惨被删除封号的特朗普恶搞视频,312.3万,6200,2185553,12394995,BV1Ea4y1Y7Bi
25,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,269.3万,1.3万,2172867,89338806,BV18T4y1J7dT
26,爱一个人，就陪她走一遍儿时的路,125.1万,4.2万,2155476,353539995,BV1454y1z7NE
27,【半佛】应届生求职利益最大化指南,122.7万,1.0万,2136132,37663924,BV1st4y197pq
28,【以衣换衣·第二期】衣 服 换 换 换,286.6万,2.0万,2107434,52250,BV1Jv411B7kZ
29,大  威  天  妈,240.9万,4902,2059779,50844167,BV1mi4y1G7Rn
30,“王 者 荣 耀 全 英 雄 介 绍 ”（共100个）,197.8万,1.2万,2055887,38760181,BV18K4y147i4
31,不要笑挑战❌新故事王✔,147.0万,1.8万,2009778,562197,BV1ek4y1q7WM
32,乘风破浪的姐姐-大碗宽面练习室版舞蹈,211.4万,1.8万,2002785,388130012,BV1VD4y1S7ho
33,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,55.6万,2434,1919630,30502823,BV1xV41167qm
34,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,143.6万,3036,1900743,346749212,BV1pv41167CH
35,世界上BUG最多的搞笑游戏 每局1500个BUG,361.1万,1.1万,1876850,10558098,BV1cz4y1X7TT
36,妈妈问我为什么要跪着看手机！,100.2万,1796,1854576,420689937,BV1Nk4y1z7G2
37,【片片】细节爆炸！还珠格格里藏着杀人秘密！不愧是9分神剧！过瘾解说《隐秘的角落》7-9,250.5万,2.0万,1797078,10119428,BV1Nz411v71T
38,鬼知道我看了几遍！,146.4万,3458,1778107,434030665,BV1tp4y1D7B1
39,老王有媳妇儿了！【德华的世界#6】,158.8万,2.7万,1751730,13354765,BV1bD4y1Q7LF
