排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,名作扎堆！背水一战！2020年7月新番导视！,177.2万,3.2万,2605064,777536,BV1R54y1i71G
2,不要笑挑战❌新故事王✔,147.0万,1.8万,2009778,562197,BV1ek4y1q7WM
3,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,34.2万,1260,1215655,30502823,BV1xV41167qm
4,【特效向】全明星の向死而生篇,47.6万,5403,1138247,22770727,BV16z411e7F4
5,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,250.4万,4565,1069463,8047632,BV1yt4y1X75B
6,"""杜海皇""之死",120.8万,1.2万,979427,5970160,BV1bC4y1877x
7,张召忠说187：美国200个生物实验室遍布全球，搞什么猫腻？,52.8万,1.4万,931293,33683045,BV1Ap4y1S7ko
8,【明日方舟 | 手书】狂人的懺悔錄【W】,17.3万,437,912742,1350751,BV15a4y1e7Kw
9,从印度下架59款中国软件到德里酒店抵制中国客人 越来越离谱的印度封国第九十七天,86.4万,5261,861543,300159010,BV1kK411n7iX
10,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,36.1万,1040,765311,41149747,BV1qz4y1X7ss
11,【李佳航】大家好，B站我来了！,74.8万,5833,681277,598628761,BV1kk4y1q74Y
12,律师评价《隐秘的角落》: 深度解析朱朝阳犯了多少罪？【正经法律】,60.2万,3933,630933,503481919,BV1Ap4y1S77N
13,重庆最辣小面？的车司机：这就辣得离谱！我。。。。,55.8万,7099,621084,99157282,BV1754y1z7Rb
14,最 强 汤 姆,39.4万,1621,619246,20530305,BV1Rv411B787
15,碳水炸弹狂欢！第一次吃100元两碗的面，我的嘴角竟流下了瀑布…,46.1万,1.0万,594044,29329085,BV1PC4y1h7jr
16,【Helltaker】爆火油管的致幻风❤️Take Me!  ❤️★ MiatriSs,19.0万,282,592543,106336753,BV1QK411n7dW
17,禁食390天，感谢你们一路的支持，我结核终于治愈了,45.7万,3838,541949,470810968,BV1Ug4y1v7nN
18,名场面预订了、笑死我了,61.3万,419,520137,558275338,BV1Bt4y197hZ
19,朋友之间传播淫秽信息一般不按犯罪处理,44.2万,1.5万,506236,67141499,BV1kv411B7VM
20,看完整个人都扭曲了……,40.6万,2325,479915,421848021,BV1JV411679S
21,十八岁的赵薇到底有多惊艳，收情书都是按麻袋算的！,49.1万,737,472772,414008647,BV19p4y1U7QU
22,人类：你这外星人是想笑死我吗？,48.4万,311,468132,170088482,BV1zz411e7ar
23,这么完美的男人确实很难遇到,41.2万,551,465733,344677344,BV1HC4y1a7BN
24,就喜欢这种长得好看还没脑子的,47.2万,579,465264,43979779,BV1Bz4y1X7FC
25,试吃999元一桶的冰激凌，三种新奇吃法哪种最好吃？,52.7万,5440,464264,2920960,BV1PZ4y1u7YE
26,又是一个无 眠 夜。,27.6万,717,464025,27756469,BV1YC4y187Hb
27,美国枪支销量暴增80%，深入枪店采访美国人为何囤枪？,46.5万,3096,463689,176037767,BV1vi4y1G7Lu
28,【基德】为什么中国洪水越治理，经济损失越大？这是一种光看数据很容易导致的误区,32.2万,2501,459022,510856133,BV1eD4y1Q7Bt
29,精神小姐姐地铁站热舞,41.3万,717,456603,900171,BV1af4y117Rj
30,「小白测评」盲人用手机什么感觉？9大品牌无障碍测试 关注视障人群,19.3万,1652,455901,8969156,BV1qg4y1v7zT
31,刚刚！黄之锋、罗冠聪、周庭突然宣布退出“港独”组织“香港众志”,57.2万,1654,455240,483787858,BV1A5411Y7ph
32,暗访莆田鞋卖场 |  店家：阿迪耐克专营店也在这拿货 2块钱可变正品包装,46.1万,917,455227,473495962,BV1Xz411e7XQ
33,厨师长的厨具和配件终于全部到齐了，先简简单单整理一下,50.4万,3585,442493,290526283,BV155411Y7gU
34,最 强 法 海,24.9万,1404,435490,96070394,BV1pi4y147tQ
35,真正的底层，深圳三和人力市场，挂逼面3元一碗,48.8万,1566,433131,35847683,BV1R54y1i7Gp
36,武松打得过这玩意儿？,32.0万,946,415765,496783876,BV1mT4y1J7iG
37,我在B站逛黑老大的家,40.0万,1145,412825,472807480,BV1SK4y147fW
38,“抠门”父亲只让女儿吃稀饭馒头,24.6万,396,405617,439004951,BV1ZK411n7vM
39,串串配烧烤，大sao第一次尝试本地宵夜大排档，一个人的量真过瘾,45.5万,1788,405605,390461123,BV1DT4y1J7vA
40,实拍抽真空神器去黑头的全过程，吸出来的瞬间强迫症看爽了！@油兔不二字幕组,48.9万,194,403638,15967711,BV1cD4y1S7BM
41,我竟然当了表演老师？！,37.7万,4698,402404,808171,BV1A5411Y747
42,为什么狮子和老虎会害怕我的拖鞋,32.6万,985,391066,590490400,BV1ig4y1v7RH
43,【醒醒】中华儿女该起床了,12.5万,1698,390008,2331173,BV1m54y1Q7eQ
44,买一台98寸超巨大电视来玩游戏是什么体验？！震撼我实习生！！,35.7万,2630,388867,52250,BV12p4y1U76o
45,【半佛】B站的价值究竟在哪里？,29.8万,6223,387296,37663924,BV1b54y1z7RL
46,我用人工智能修复了百年前的北京影像!!第2期[民俗乐队，街边地摊与剃头匠]【60FPS彩色4K】,26.2万,2002,385771,176003,BV1ga4y1e77T
47,好不容易在一个城市买了一套房，可是空调费是25元每度，真都没人管管吗？,45.3万,628,382931,494098566,BV1La4y1e7va
48,有一种默契，叫做大家都是成年人~,28.3万,511,375085,124574179,BV1xV41167wG
49,祖 安 大 妈,34.3万,291,365349,3380239,BV1DK411p7rT
50,伊之助深情演奏鬼灭OP《红莲华》抒情版,24.8万,2436,362330,320491072,BV1vf4y1177S
51,【老邪吐槽】林允狂飙眼技！逆天吐槽尬出天际的《蜗牛与黄鹂鸟》,33.5万,5462,359882,154021609,BV1YC4y1876o
52,梦     幻      联      动,30.3万,146,359449,294059122,BV1ea4y1Y7CM
53,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,6.4万,577,353612,369750017,BV14A411i7v2
54,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),27.9万,2490,351598,86469984,BV1SC4y1a7jo
55,在法语里H基本是不发音的，那他们都是怎么笑的？他们知道中国有个城市叫呼和浩特吗？,29.1万,452,350688,8662074,BV1XZ4y1M7kf
56,【赵律师普法】翻墙上网到底违不违法？,34.5万,1661,348924,587408733,BV1zf4y1174K
57,【卡卡】♦囍♦一尺一恨,13.7万,901,347766,2400404,BV1pz4y1X7pC
58,骗女朋友拍2万块的婚纱照！女朋友说终于美了一回！,19.5万,1791,342582,285571498,BV1Ui4y1G7RA
59,她把300个节育环制成饰品展出，美丽背后是荒唐与屈辱,22.2万,802,340701,4543111,BV1ek4y1q7oR
60,DECO*27 - 二息歩行 (Reloaded) feat. 初音未来,7.7万,357,340283,177291194,BV1d54y1i78m
61,【SUNMI_宣美】我的新歌MV来啦！带给你们夏日的“菠萝冰棒”,20.0万,1488,336348,544368017,BV1QZ4y1M7ca
62,口技大师！,26.3万,3166,335801,546195,BV1Df4y1174h
63,“中国，不是吓大的。“,32.7万,634,335128,20165629,BV1LK411H724
64,《老炮儿联盟》：厂长+Faker王炸组合，米勒这都能输？不会吧！不会吧！不会吧！,15.5万,6563,333782,353224849,BV1Ez411v7Ko
65,【睡前消息135】夸黑人牙齿白，到底算不算歧视？,29.2万,7262,333589,54992199,BV1bv411B7NK
66,澳大利亚被“抄家” 友华议员：我什么都没做错,34.6万,1001,327110,10330740,BV1N5411Y76W
67,隐秘的角落隐藏结局，看完我人傻了,30.4万,361,327007,883968,BV1UZ4y1H7Vz
68,名词解释：磕炮、福利姬、异体骨、情降、杀猪盘、白马王子综合症 | 女孩别怕的女性安全小课堂,21.6万,2442,326923,26079128,BV1Za4y1Y76A
69,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,15.2万,272,323100,23307992,BV1Dt4y197dr
70,“我以为，我抓住了……”,34.0万,456,321747,490345780,BV14A411i76o
71,【片片】隐藏结局全解读！国产悬疑封神作！最终真相令人窒息！过瘾解说《隐秘的角落》大结局,28.2万,3023,321550,10119428,BV19k4y1q7e7
72,逆天好用！50元以内堪比大牌的超平价彩妆分享，低至6元！,9.6万,5428,309177,39922227,BV1bT4y177Bb
73,【隐秘的角落||朝阳东升】自己按门铃自己听,13.9万,282,307301,14176873,BV1Dp4y1U7zC
74,大  威  天  妈,20.4万,426,305841,50844167,BV1mi4y1G7Rn
75,无广！花3天测评20多种懒人速食食品！开水一冲就是一顿饭！到底哪款好吃又合适！,20.2万,1280,297272,107486042,BV1EA411e7dj
76,在家也能做出和酒楼里的一样好吃的炒面，面虽好吃，可别心急去吃,18.3万,713,297088,415479453,BV1Zi4y1G7po
77,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,24.3万,856,296161,17223352,BV1VK4y1s7Wd
78,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,22.5万,1258,292488,517327498,BV1xT4y177Kq
79,情 侣 旅 游 现 状 (2),21.8万,8537,290015,113362335,BV1AZ4y1p77L
80,只要你够自信，你就是明星,26.6万,65,285073,574431471,BV1Sf4y1278s
81,希望鬼畜区没事,17.3万,287,284147,14426615,BV1g54y1z7YH
82,【黄龄】今天也是越来越《喜欢你》们的一天吖！,24.6万,890,283394,345630501,BV12p4y1U7Xe
83,【瞎β操作】雷达哥雷达失灵,26.3万,915,283178,47291,BV1Cv411B7SP
84,把真人变成2次元角色？小众变装文化探秘<包罗万象7>,18.3万,8470,282830,125526,BV1Jf4y117eg
85,【LPL夏季赛】6月30日 RNG vs WE,29.7万,6221,281358,50329118,BV1yt4y1979i
86,一个人，造出让40亿人震碎的夜晚！,12.7万,1253,279580,3433092,BV1zp4y1U7Z5
87,主播炸了超神篇342：快乐之王流畅滑行五杀，彩旗卡特经典看不见人,26.2万,2134,279547,32365949,BV1n5411Y7Hp
88,外国人猜乘风破浪的姐姐有多大？知道真相的他们。。。,25.3万,2677,277690,32820037,BV12C4y187L7
89,【最后生还者2】为什么我不喜欢TLOU2的故事？,16.8万,3117,272926,893053,BV1cK411H7Zu
90,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,10.4万,1810,272641,79577853,BV1Cp4y1U7fp
91,我手一伸过去就翻肚皮是啥意思？！嫌弃我？,27.7万,130,270964,7074507,BV1Fk4y167Y6
92,【刘哔】搞笑吐槽YY神剧《国王：永远的君主》！脚踩日本拳打中国，还想让我们送大熊猫！你咋不上天呢！,21.0万,5701,270883,27218150,BV1KZ4y1u7WX
93,头帘尴尬期？头发半长不短？3招夏日爱豆发型带你出圈！,11.7万,1742,268428,16307541,BV1XZ4y1M7gn
94,八零九零后的你们是否还记得这则广告,25.1万,1340,267511,471514086,BV1Ai4y1V7Cq
95,最怕班里有这种女同学！随便一跳勾走全校男生的魂，成为女生公敌,26.0万,470,265581,353230307,BV1Xk4y1q78j
96,你站在这里不要动,21.4万,663,264222,455961781,BV1fK411n7GB
97,什么生理要求呀？？?,27.4万,208,261140,82024048,BV1sk4y1q7u6
98,【大胃王】很多鲑鱼卵的豪华明太子奶油意大利面! 浓厚和微辣口味的完美搭配！[冷玉米汤] (3.1公斤)(9000卡路里) 【木下佑香】,25.6万,421,259480,592449193,BV1cK411H7fC
99,突如其来的....拐卖？？,28.0万,9,258398,485677019,BV1Av411z7Bi
100,车祸现场，一不小心就从配角变主角了！,27.6万,26,257912,85317606,BV19K411n741
