排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,293.5万,1.8万,6750309,586350333,BV1Rz4y1Q7tg
2,最 强 汤 姆,315.7万,1.2万,3250304,20530305,BV1Rv411B787
3,名作扎堆！背水一战！2020年7月新番导视！,177.2万,3.2万,2605064,777536,BV1R54y1i71G
4,大  威  天  妈,240.9万,4902,2059779,50844167,BV1mi4y1G7Rn
5,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,55.6万,2434,1919630,30502823,BV1xV41167qm
6,鬼知道我看了几遍！,146.4万,3458,1778107,434030665,BV1tp4y1D7B1
7,【川建国传】请叫我红星队长 3D自制短片 不是封面党,135.2万,4881,1740907,395135643,BV1gK4y147Rz
8,别说马赛克了，这些动漫角色化成灰我都认识！【动漫高手02】,198.8万,3.2万,1687320,808171,BV1Jf4y117BF
9,如何拒绝别人,106.7万,2629,1472912,10897973,BV18Z4y1W7Au
10,业界真的要完！2020七月新番推荐,99.9万,7589,1381436,730732,BV1FZ4y1u7W3
11,当  代  网  络  现  状,107.9万,2173,1371724,456861535,BV1aK411n7ox
12,藏得太深了！我破解了B站做的宣传视频的秘密！,217.7万,8722,1364726,14110780,BV15V41167Qy
13,【童年经典/反派手书】你管这叫童年阴影？！,42.1万,3166,1343224,29658682,BV1QA411v7mK
14,【warma】怎么办！我现在好怕被2233娘封号,97.1万,6608,1327909,53456,BV1tT4y17733
15,【鹿鸣x鹿鸣】这个端午，双倍丝滑！双倍快乐,110.8万,719,1290774,488836173,BV1Wa4y1Y727
16,宇智波小少爷想让我告白,56.3万,2164,1216621,599404508,BV1Fi4y1V7du
17,对不起，我败了！2020年4月新番打脸大总结！,130.3万,1.5万,1205032,63231,BV17V41167ai
18,丈夫因怀疑妻子劈腿，竟和她同归于尽？这部日本人性动画实在是太直击灵魂了！,76.9万,4263,1117303,1791101,BV17V411k7DJ
19,【过于真实】天 下 老 师 皆 是 一 家,52.1万,7871,1014399,130130236,BV1hv41167xK
20,期 末 线 上 考 试 现 状,171.7万,6761,984048,243924849,BV1H5411W7hi
21,【明日方舟 | 手书】狂人的懺悔錄【W】,17.7万,489,945068,1350751,BV15a4y1e7Kw
22,建议改成：祖 安 大 舞 台,60.2万,1.3万,932665,13899470,BV1cA411i7ay
23,【Fate/Grand Order】此为诀别神明,29.6万,732,886433,1551267,BV1Ft4y197pr
24,【火影人物史】自来也为何不朽？岸本笔下的封神忍者！,39.8万,4026,814894,13043933,BV1hC4y18755
