排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,名作扎堆！背水一战！2020年7月新番导视！,177.2万,3.2万,2605064,777536,BV1R54y1i71G
2,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,34.2万,1260,1215655,30502823,BV1xV41167qm
3,【明日方舟 | 手书】狂人的懺悔錄【W】,17.3万,437,912742,1350751,BV15a4y1e7Kw
4,最 强 汤 姆,39.4万,1621,619246,20530305,BV1Rv411B787
5,【Helltaker】爆火油管的致幻风❤️Take Me!  ❤️★ MiatriSs,19.0万,282,592543,106336753,BV1QK411n7dW
6,大  威  天  妈,20.4万,426,305841,50844167,BV1mi4y1G7Rn
7,你站在这里不要动,21.4万,663,264222,455961781,BV1fK411n7GB
8,最    强    爷    爷,20.2万,449,257709,31327256,BV15A411e7Wx
9,【沙雕动画】最近超火的谐音梗挑战,17.7万,525,201981,8864484,BV1mg4y1v7yL
10,鬼知道我看了几遍！,11.8万,244,200982,434030665,BV1tp4y1D7B1
11,宇智波小少爷想让我告白,8.0万,262,184517,599404508,BV1Fi4y1V7du
12,因为b站而相遇，三年后，我们终于领证了！,9.4万,1881,178533,10773628,BV1EV41167LB
13,业界真的要完！2020七月新番推荐,11.9万,557,178481,730732,BV1FZ4y1u7W3
14,如何拒绝别人,10.2万,248,178416,10897973,BV18Z4y1W7Au
15,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,6.6万,282,173262,586350333,BV1Rz4y1Q7tg
16,【过于真实】天 下 老 师 皆 是 一 家,7.6万,896,164825,130130236,BV1hv41167xK
17,最深度致敬·EVA·CG作品 |  导演完全版《EVA超·现实》【授权发布】,5.3万,140,150717,59550906,BV1fZ4y1M7mq
18,天津吉良吉影入驻B站,9.4万,187,150025,1835967,BV1xt4y1975D
19,别说马赛克了，这些动漫角色化成灰我都认识！【动漫高手02】,10.7万,959,139806,808171,BV1Jf4y117BF
20,【直播事故】心酱 对露易丝定型文出手了...,7.2万,950,138474,339567211,BV1AZ4y1p7Ai
21,帝国篇17！萌王最强部下，迪亚波罗大展身手！敌军指挥官的觉醒以及魔王的行径！ 【史莱姆故事】第六十六弹,6.2万,811,135092,3360633,BV16C4y187LN
22,斑：我 不 做 人 了 ！,9.7万,217,132778,448039667,BV1GV41167u4
23,最 强 鬼 杀 队,8.1万,163,131797,216025,BV1g54y1z7F2
24,我算出了名侦探柯南的身高，b站第一人,9.5万,451,131247,13279707,BV1HA411e7Uc
25,可爱和性感在沙雕面前不堪一击 !,4.7万,98,129143,238767396,BV1cV411k7tB
26,抢 樱 桃,7.3万,142,124895,190801465,BV1rD4y1Q7S3
27,期 末 线 上 考 试 现 状,9.7万,399,124021,243924849,BV1H5411W7hi
28,鬼知道我看了几遍！ ？,5.9万,66,122708,5687194,BV1pZ4y1H77s
29,时代变了！虫虫 ！【崩坏战争06】,4.0万,681,120043,3211302,BV1WD4y1Q7cW
30,做给自己和粉丝们消遣的小玩意~,8.1万,46,118020,29743,BV1pT4y177Ln
31,建议改成:章 鱼 哥 的 阴 间 操 作【文盲文】,7.3万,752,114492,1918296,BV1rD4y1Q7P2
32,当  代  网  络  现  状,7.0万,126,114235,456861535,BV1aK411n7ox
33,再白嫖我就要动手啦！,6.4万,207,112233,46760289,BV1nv411B7Yx
34,【怪诞小镇手书】MONSTER,2.3万,139,107596,11774575,BV1Qt4y197xB
35,建议改成：骚 话 之 王,6.3万,909,107452,13899470,BV1gK411W7sV
36,【Dangan Taker】弹丸把妹王,4.6万,129,106561,15384619,BV1xg4y1v7xs
37,藏得太深了！我破解了B站做的宣传视频的秘密！,8.6万,163,105108,14110780,BV15V41167Qy
38,哼！不 喜 歡 哥 哥 了,5.7万,49,104153,386381281,BV1st4y197yN
39,【Helltaker X hololive】H O L O T A K E R,3.2万,326,104043,3735586,BV1cC4y1Y7em
40,虚圈激斗正式打响！一护 VS 快乐风男-【掌】边怀旧《死神BLEACH》经典回顾第24期,3.4万,1044,95590,883724,BV175411Y79w
41,【鬼灭之刃】集中一点，登峰造极(60秒高能),3.8万,153,93328,266226108,BV1eV411k7jJ
42,【Helltaker小剧场】恶 魔 回 忆 录,5.8万,69,92133,4397332,BV1vi4y1G7zy
43,“别 惹 网 抑 云”,7.5万,113,92084,5967900,BV1Tv411674m
44,曾火遍全网的《溯》，你是否还知道？,4.2万,190,91920,1542136,BV1E7411k7Qy
45,老板：可恶，被你小子买到真货了,8.2万,37,84629,129934425,BV1ND4y1S7dr
46,热血物语恶搞动画：大威天龙,5.7万,80,79048,1795248,BV1bT4y177XK
47,纸片模仿希望之花（定格动画）,4.0万,225,78221,431711766,BV1Xk4y1q7ge
48,不好意思，这才是火影忍者的精彩打斗！,3.2万,100,77728,295423352,BV1Pp4y1S7Su
49,【明日方舟手书 / W&特蕾西娅】维纳斯之死,2.4万,33,77239,26155041,BV1Zt4y1C7GC
50,KaguraMea2019【神楽めあ】,3.4万,528,76650,349991143,BV185411Y7yH
51,【hololive小剧场】【动画】是谁补的刀！？甩锅大会！,5.3万,61,75291,286700005,BV1GZ4y1p7Nj
52,挑 战 B 站 壁 纸 上 限！,2.1万,57,73553,284393777,BV1v7411z72c
53,蛇妖 我要你助我修行,4.6万,62,73022,601376717,BV1Pz411i7h5
54,建议改成‘’海贼王粉丝现状‘’,5.8万,101,72378,107295478,BV1tV41167sU
55,耗时..... 算了，白嫖吧!,2.5万,127,70299,452941348,BV1HZ4y1H7Sy
56,【推特小视频】为什么一天只有24小时,4.6万,10,69053,443300418,BV1wZ4y1p7ti
57,前方核能！这才是这个世界巅峰战力！！！,3.8万,76,68905,8055928,BV1Rt4y1X7J2
58,别骂了别骂了，难道脑子里有水就是傻了吗？,4.4万,373,68671,477332594,BV1hD4y1Q7eg
59,我  是  你  爷  爷,3.2万,227,67749,35888636,BV1Zi4y1G7KH
60,【warma】怎么办！我现在好怕被2233娘封号,4.2万,170,67742,53456,BV1tT4y17733
61,【小剪辑】换了摄像头后做出Wink~的狼,3.3万,153,64577,389862071,BV1P5411Y7Ri
62,【辉夜大小姐全员手书】秀知院想要WiFi,2.3万,33,63994,8040773,BV1kC4y1a7vb
63,OMO名场景全收录！假面骑士格连CSM腰带醒枪套装【看一期少一期开箱】,4.3万,711,63054,800431,BV1rA411i7c5
64,大威天龙JOJO版,4.3万,48,62419,74184546,BV1Yf4y1y7ZS
65,【鹿鸣x鹿鸣】这个端午，双倍丝滑！双倍快乐,4.5万,21,62006,488836173,BV1Wa4y1Y727
66,纸 壳 人 dio 玩 压 路 机,3.4万,101,61541,408027757,BV1Nz411v7Cb
67,【外星也难民】#14第八集彩蛋与剧情解析（下·第一季大结局）,4.9万,110,59848,357261525,BV1aT4y177ZY
68,秦先生和韦天本尊本色配音版【摸王TV】明日方舟篇05.5,4.6万,28,58732,290982,BV1vk4y1q7pU
69,阴 阳 怪 气 现 状,5.2万,115,58724,7037197,BV1Vf4y117VD
70,老师就是这样给我们划重点的！？,4.8万,68,58583,6496196,BV1wk4y1z7vX
71,【彩虹六号 MMD】- Conqueror - 愿意与我来一场狂情意乱的兜风吗，宝贝？,1.7万,31,58252,19717132,BV1Gi4y1V72c
72,【放送事故】搞错直播时间的猫猫,3.6万,278,57603,380829248,BV1XA411i7SB
73,被日本封禁的抗日神剧！在俄国的犹太人逃亡德国竟成日本间谍！要 素 过 多,2.6万,167,57329,1351379,BV1S54y1i75N
74,亿万家产说没就没了？？？,4.3万,145,56860,180634215,BV12K411p7Dq
75,钢之炼金术师第五期，七宗罪色欲VS大佐！,3.5万,255,56503,40857648,BV1rK4y1479u
76,被遗失的一集：进击的派大星,3.6万,32,55828,10451557,BV1cz411i7RL
77,对不起，我败了！2020年4月新番打脸大总结！,4.2万,334,55320,63231,BV17V41167ai
78,伽古拉、杰庞顿VS泽塔奥特曼、巴尔坦星人,3.8万,158,55318,38813727,BV18f4y117HD
79,大古最后一次变身。已经好久了。,4.1万,124,55220,565509940,BV1rt4y197Xw
80,小红是个没有自信的人,4.7万,79,54734,321422126,BV1zp4y1U7Md
81,都给我进来挨骂吧，你们这群笨蛋！,3.1万,136,54537,477045922,BV1xZ4y1W7Tq
82,2020年了，还有人记得童年那首动人歌曲《左手右手》吗,3.4万,611,54299,309425970,BV1nT4y1G7Cd
83,【三国杀/helltaker】三国把妹王，在乱世收集妹子吧,2.5万,81,54059,339602307,BV1Yk4y1q7uN
84,【幻想乡HOLOISM中文先行版】幸福的兔子【宝钟玛琳X兔田佩克拉X樱巫女】【直播ED剪辑】,2.9万,72,54026,454955503,BV1xg4y1v7py
85,考 试 前 一 晚,3.9万,191,53905,17428557,BV1mV411r7hF
86,女生寝室真有那么“ 双 标 ”吗？！,4.3万,124,53892,491593210,BV1ia4y1h7di
87,【现状】大 学 返 校 现 状,3.7万,65,53880,46254669,BV19z411v7bd
88,每天一遍，沙雕率达99.998%,2.7万,23,53482,124735327,BV1Hz411e7ZM
89,沙之呼吸？沙画动画震撼还原鬼灭之刃封神一战，技惊四座！,1.5万,102,53186,220114788,BV1eT4y1772N
90,芽衣小秘书 - Sting.,1.8万,18,52939,653736,BV1kA411i7Uo
91,【Anitama】2020年6月精彩作画集锦——被7月新番拯救的6月MAD,2.9万,121,52546,11357018,BV1eg4y1v7LX
92,【极致4K 60帧】龙珠孙悟空全变身合集！五分钟享受赛亚人的震撼与成长！,3.2万,141,52071,11916298,BV1pi4y1G71s
93,不想当灰姑娘的灰闺女是好闺女---（4）大型蹦迪现场,3.1万,441,51641,13199099,BV1Xi4y1G7M4
94,【明日方舟生草向】蓝毒的平板之歌,2.5万,51,51626,12026048,BV1554y1z7Xb
95,有一种猖狂叫明天早上没课,3.6万,511,51057,24495270,BV1iD4y1Q7nG
96,【新人】当骷髅“捏嘿嘿”和地狱“嘿嘿嘿”结合起来后会发生什么？,3.0万,117,50877,472273156,BV1QK411p75m
97,【互动视频】255把妹王,2.8万,455,50793,9044982,BV1CK411n7Vq
