排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,488.8万,2.9万,10601966,586350333,BV1Rz4y1Q7tg
2,如何拒绝别人,736.2万,2.1万,7843457,10897973,BV18Z4y1W7Au
3,【过于真实】天 下 老 师 皆 是 一 家,411.0万,3.0万,5860511,130130236,BV1hv41167xK
4,小时候看笑话，长大后看真实,286.9万,2.1万,5322745,13899470,BV1uf4y127Ab
5,【童年经典/反派手书】你管这叫童年阴影？！,168.9万,1.6万,4760742,29658682,BV1QA411v7mK
6,耗时..... 算了，白嫖吧!,219.6万,8104,4082253,452941348,BV1HZ4y1H7Sy
7,当  代  网  络  现  状,481.7万,9487,4048492,456861535,BV1aK411n7ox
8,鬼知道我看了几遍！,359.8万,6659,3271285,434030665,BV1tp4y1D7B1
9,最 强 汤 姆,315.7万,1.2万,3250304,20530305,BV1Rv411B787
10,用六十部动漫台词唱出一首《稻香》,97.7万,6465,3068698,1826871,BV16V411C7Jv
11,【4k/裸眼3D/无水印】爆肝抠图1350张，该细还得细！,109.9万,1619,2811387,10773628,BV1Yz4y197X1
12,香港雀巢咖啡粤语&日语动画宣传广告,147.0万,3882,2765217,98960802,BV12z4y197pz
13,耗时86400秒！！算了，你们白嫖吧！,190.1万,4667,2607997,270494247,BV1oT4y1E7Tj
14,名作扎堆！背水一战！2020年7月新番导视！,177.2万,3.2万,2605064,777536,BV1R54y1i71G
15,曾火遍全网的《溯》，你是否还知道？,152.4万,5785,2554125,1542136,BV1E7411k7Qy
16,崩坏3×JOJO/琪亚娜的奇妙冒险【OP还原】,94.6万,1928,2477283,15340309,BV1Wv411678n
17,【2020毕业季 | 动画毕设作品】绝美毕设！广州美术学院视觉艺术设计学院动画《落凡尘》【授权投稿】,91.1万,5169,2447709,59550906,BV1si4y1x776
18,可爱和性感在沙雕面前不堪一击 !,209.1万,3480,2275004,238767396,BV1cV411k7tB
19,吉良吉影大小姐想让我告白~败者食尘！,102.0万,3435,2132694,25288214,BV1Ga4y1v7va
20,大  威  天  妈,240.9万,4902,2059779,50844167,BV1mi4y1G7Rn
21,这首《Sway》直击人的灵魂，并拯救了处于低谷期的我！,76.7万,1726,2015329,114397228,BV13K411p73L
