排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,七月新番谁为峰？今年的七月神仙打架,14.5万,908,164065,7612168,BV1B5411Y7z1
2,超高评分9.8，导演签订两年卖身契？只为了做好这部动画,11.7万,615,135020,33253839,BV1Vg4y1v71w
3,“对不起，我有孩子了”,8.8万,82,114880,190745815,BV1jZ4y1H76C
4,玄机奇侠传3《生生世世爱》（加长版）,5.7万,213,114307,48255112,BV1jK411H7PJ
5,雷 狮 不 要 心 动 挑 战！限时1分48秒！你能坚持多久？【凹凸世界/勉强踩点燃向/雷狮个人】,1.1万,196,51864,17523738,BV1op4y1U7fc
6,【中国神话宇宙 07】山海经系列猜想，大禹治水！未曾设想的道路！,3.8万,74,46219,299732210,BV1UT4y1J77Q
7,“有孩子又怎样，孩子他爸都没了，要不我们…”,3.0万,24,37537,247986653,BV1754y1z7g9
8,《大理寺日志》超 帅 踩 点 ！,1.2万,24,33248,2632731,BV1RK411p7A6
9,【独家专访】李豪凌：从荒蛮之地到百花齐放,3.3万,6,32800,98627270,BV1TZ4y1W7Mh
10,喜羊羊原来可以这么燃,1.7万,110,29620,12876332,BV1Lg4y1q7jK
11,【明日方舟·手书】宿命论——早露&凛冬,6635,54,29484,2513047,BV1JV41167kt
12,【硬核细节】一人之下你绝对没注意到的细节.上（哭晕）,1.5万,227,29037,70744200,BV1hC4y187er
13,小时候听里面的台词和现在的感觉不一样了,1.8万,17,24654,396392981,BV1Bz4y1Q7PV
14,灰太狼：我颠覆了整个世界，只为换你一次回眸,1.3万,195,23425,324739085,BV18b411e7kt
15,小时候看过但可能记不起名字的40部动漫混剪，比如封面是？,9493,117,21490,337279814,BV17T4y1J7Nw
16,【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,1.4万,27,21265,36013830,BV1bZ4y1W7hX
17,临时工实力排名（七）：体术差还怂的老孟凭什么是第一？！,1.7万,19,18969,17055002,BV1Ef4y117pv
18,“只要反派长的好，三观跟着五官跑”,4408,63,17552,175333301,BV1pD4y1Q7wr
19,小时候以为是喜剧，长大后才发现全是刀子！！！,1.2万,71,16785,94732559,BV18g4y1i7EW
20,"""一生娶一人，一诺一卿颜""",1.1万,11,16327,219608244,BV15p4y1D7WC
21,嘿！这是你要找的宝藏【凹凸世界】,3543,42,16136,20240187,BV1XC4y187Zw
22,大尺度黑暗向国漫为何停更？原因让人泪目，如今已经被人遗忘！,1.2万,9,15555,747733,BV16a4y1Y7nW
23,“就算没有蛊母，我也从未想过离开你”,1.4万,2,15511,418138878,BV1vK4y1479d
24,“人间不值得，不值你难过”,6808,24,15469,55431669,BV1MK4y1b7b4
25,【4k测试·AI修复】秦时明月残月谷之战 画质提升版,1.1万,48,15340,210265749,BV1rf4y117V7
26,【最强蜗牛西能】系列第十三集：快来围观主神摆地摊招聘杀手！,1.5万,23,15268,554551335,BV1hk4y1q7Gk
