排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,BILIBILI 11周年演讲,56.4万,6.0万,769077,8047632,BV1SK4y1477d
2,【李佳航】大家好，B站我来了！,74.8万,5833,681277,598628761,BV1kk4y1q74Y
3,外国人猜乘风破浪的姐姐有多大？知道真相的他们。。。,25.3万,2677,277690,32820037,BV12C4y187L7
4,【秦昊】张东升空降直播间  一秒吓退所有观众,24.1万,630,239199,16201391,BV16t4y197EF
5,党妹综艺首秀《我在颐和园等你》，玉兔妹妹来啦~,15.7万,230,177206,601143716,BV13Z4y1p7Wj
6,【中字】10几岁的女学生在帅哥面前能面无表情吗？,13.4万,359,167291,346759333,BV1sT4y177MZ
7,万茜别哭，孟佳别走！乘风破浪的姐姐第一次公演｜观影指南Ep.3,10.6万,7157,165187,32598708,BV1Lf4y117rB
8,伊能静因为访谈言论又挨骂了，比黄圣依还让人不省心啊,14.2万,2740,164793,526735085,BV1Ht4y197Wa
9,揭秘“浪姐”内部鄙视链！黄圣依张雨绮宁静谁地位更高？,14.7万,562,160159,180537674,BV1J54y1z76V
10,高晓松直播翻车：被网友围攻叫骂，把直播都骂停了...,15.0万,269,152293,31283043,BV1bC4y187QH
11,各大名山景区已换标语  禁止秦昊入内   哈哈哈    看过这个影视的都知道这个梗,14.5万,101,145232,590530727,BV1jV41167Hu
12,《极限挑战第三季》第2期：沙溢太惨了！被男人帮整蛊到分裂,14.7万,164,142146,429711841,BV1gz411b7gx
13,原来陈奕迅的十年是写给于谦的……他们俩竟然有不可告人的秘密～于谦捧一切,10.9万,78,127566,512706846,BV15f4y1171r
14,【刘哔】盘点热门综艺搞笑名场面，第一个就笑到头掉！,12.5万,987,127482,27218150,BV1qv411B7by
15,【iMe】十年了，这首「哎咿呀」你还记得吗？,8.8万,481,126313,16210993,BV1mC4y187Na
16,【娄艺潇】很开心来到B站！送给大家一首温暖的《虫儿飞》~,9.7万,294,115592,591410235,BV1ev411B7QA
17,和周杰伦合作是什么体验？揭秘《Mojito》MV背后故事！,9.2万,324,113522,433587902,BV1Wz4y1X7dP
18,独家！！《隐秘的角落》张颂文：观众“骂”得越狠越开心,9.9万,616,113141,343084292,BV1W5411Y733
19,【伊能静】踩组都不如你会拉踩,10.2万,2439,109617,20660307,BV1eg4y1v7tK
20,YG修改后重新上传了4k高清版how you like that（mv）,6.7万,218,106640,382623029,BV1Ez4y1X7a5
21,【TSKS】Running Man.E509.200628.中字,10.1万,2694,104455,43389575,BV1JV41167dJ
22,雨琦直播唱了BP新歌how you like that 一嗓子把我惊艳到了 好适合啊,9.1万,61,101886,436009112,BV12A411i7Fv
23,【中字】崔娃说德语像希特勒，在德国吓疯路人哈哈哈哈哈,7.4万,55,90757,408241814,BV1Za4y1Y78k
24,【SVT_ZER·0】EP.21 GOING SEVENTEEN 2020 (四轮骑士#1)  零站中字,5.2万,2577,87889,218438615,BV1Ht4y1974j
25,张艺兴《莲》MV Re-reaction,4.0万,991,86159,161158015,BV1Yp4y1U71W
26,SEVENTEEN居然翻跳了【乘风破浪的姐姐】无价之姐舞蹈！？次元壁又破了！,7.3万,76,82997,16720403,BV1T54y1z7Qv
27,开头用中文介绍的Lisa！青春有你2习惯了哈哈哈,6.6万,50,79808,32782335,BV18T4y177Nm
28,【小姐姐们】广告植入速成课！包教包会！学不会现场滑跪！,7.0万,748,77878,6739643,BV1Ak4y167x2
