排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,BILIBILI 11周年演讲,415.3万,16.0万,3799980,8047632,BV1SK4y1477d
2,【麦长青】真当我“梁非凡”不上B站,361.1万,1.5万,2473277,549472400,BV1Fi4y1t7F7
3,【贝爷】探索者们，我开通B站账号了！让我们一起永不放弃！,351.3万,1.4万,2112992,515015078,BV1Ri4y1s7Xq
4,【防弹少年团】1080p中字完整 200614 线上演唱会 online concert complete ver. - BANG BANG CON,52.0万,3.6万,1605035,381386504,BV1BZ4y1H7fS
5,【桥本环奈】35个心动镜头挑战!！这才是日系元气美少女,144.8万,5111,1545562,69727287,BV1yg4y1B7FZ
6,【青春环游记】郎朗周深的《幽灵公主》绝了！天籁之音+绝美琴声我能循环一万遍,74.6万,1.4万,1300808,535511499,BV17V411k7W4
7,全场最佳！姜贞羽《时候》二公直拍！仙女下凡！眼神太杀！创造营2020,149.7万,1.3万,1259201,32782335,BV17f4y127Fp
8,【婊气群像】老娘当年火的时候你还不知道在哪里！,181.5万,2249,1250368,12855280,BV1QZ4y1H7xN
9,【每日减肥动力】进来看韩国女演员的身材管理第三弹!,92.5万,3099,1197834,591109347,BV1ct4y197sJ
10,犬来八荒  | 滴米不漏,124.9万,8847,1134954,3345720,BV1K5411Y7K4
11,【TF家族】2020 TF家族夏季运动会,78.0万,22.8万,1074177,3670216,BV1NK4y147rm
12,【WNS中字】200608 BTS Dear Class Of 2020 毕业典礼演讲 & 表演 Boy With Luv+春日+小宇宙,36.2万,1.8万,1017593,14025362,BV1bD4y1D7Jj
13,失望！三观扭曲还浑然不知的【跑男】终于知道为什么越来越烂,204.1万,4.2万,1014845,212354096,BV1KK4y1b7yr
14,“你要允许一些人，有安静的青春。”,53.3万,927,948854,15523127,BV19z4y1Q78A
15,【娄艺潇】很开心来到B站！送给大家一首温暖的《虫儿飞》~,112.6万,6872,926100,591410235,BV1ev411B7QA
16,【明星大侦探】这综艺竟然公开搞hs！明侦开车名场面第二趴，车速太快系好安全带！,124.3万,5901,925742,458050419,BV1MK4y1b7J5
17,教科书级“痞笑”  表情管理高手  韩国最妖孽男爱豆！！,40.8万,1228,922277,483830099,BV1Zt4y1C7Br
18,大家好，我是陈坤，我终于找回自己的B站账号了！,202.6万,8069,907681,110448082,BV1Fg4y1q73R
