排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,一个人，造出让40亿人震碎的夜晚！,399.8万,3.5万,5368051,3433092,BV1zp4y1U7Z5
2,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,666.7万,4.0万,4185525,8047632,BV1yt4y1X75B
3,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,144.8万,3823,2393439,41149747,BV1qz4y1X7ss
4,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,143.6万,3036,1900743,346749212,BV1pv41167CH
5,妈妈问我为什么要跪着看手机！,100.2万,1796,1854576,420689937,BV1Nk4y1z7G2
6,【片片】细节爆炸！还珠格格里藏着杀人秘密！不愧是9分神剧！过瘾解说《隐秘的角落》7-9,250.5万,2.0万,1797078,10119428,BV1Nz411v71T
7,“你太干净了，你不懂。”,95.3万,1386,1368370,90142376,BV1xg4y1v7vP
8,16个细思极恐的细节，编剧导演简直牛逼到戳天了,124.5万,7166,1247976,2627161,BV1BK4y147CL
9,当西游记的BGM在中土战场响起。去他的魔戒，我要吹爆这支喇叭...,92.9万,3771,1244630,503985257,BV1tv41167E2
10,每天一遍，防止早恋,101.0万,2662,1095621,304668637,BV11f4y127AC
11,【隐秘的角落】争取全网最全细节解析，朱晶晶坠楼早有暗示，普普是好人？朱永平不爱朝阳？严良真简单还是早有预谋？一一给你证据答复。,94.9万,5267,975037,606897653,BV1QK411n7hG
12,【1900】弑父灭口！比剧集黑暗百倍，解读18万字原著《隐秘的角落》，乖孩子缘何化身恶魔,118.6万,5194,927116,17223352,BV1VK4y1s7Wd
13,DYSTOPIA_反乌托邦——2020毕业设计,32.4万,901,918317,23114000,BV1LA411i78p
14,【老邪解说】《隐秘的角落》全集解析！看完头皮发麻的年度神剧！,141.1万,4837,875166,154021609,BV1mi4y1G7uv
15,无  限  转  场,34.7万,570,871529,548611495,BV1y5411W7dr
16,前 方 高 甜 ！魔 法 狗 粮 ！,37.1万,1390,870157,4127596,BV1dA411v7kj
17,【木鱼微剧场】真实事件改编的国产悬疑犯罪佳作，很多人都没真正看懂，你看懂了吗？《追凶者也》,92.2万,8204,862640,927587,BV1hC4y187Hd
18,仅用3分钟直接封神！霸占热搜！尺度爆炸！隐秘的角落到底好在哪儿？,127.5万,2780,836431,3386870,BV1m54y1B7NK
19,魔 法 盛 宴 ！麻 瓜 慎 入！,33.9万,1124,806764,389577197,BV1J5411Y7Rt
20,细读经典 97: 这部电影就是当下美国种族骚乱的注脚,70.3万,9672,777325,17819768,BV1KT4y1J7nw
21,【隐秘的角落||朝阳东升】自己按门铃自己听,33.4万,760,766439,14176873,BV1Dp4y1U7zC
22,“现实永远比童话残酷.”,33.3万,1139,761739,356241477,BV1vz4y1Q74p
23,十八岁的赵薇到底有多惊艳，收情书都是按麻袋算的！,96.0万,1777,715611,414008647,BV19p4y1U7QU
