排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,妈妈问我为什么要跪着看手机！,455.1万,9684,6910119,420689937,BV1Nk4y1z7G2
2,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,629.7万,1.4万,6306897,346749212,BV1pv41167CH
3,一个人，造出让40亿人震碎的夜晚！,399.8万,3.5万,5368051,3433092,BV1zp4y1U7Z5
4,“罪与罚的无限战争，经此一役，世间再无美利坚！”,210.5万,8488,5051409,27259842,BV1aQ4y1P7S1
5,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,666.7万,4.0万,4185525,8047632,BV1yt4y1X75B
6,我赌你的枪不会唱歌,198.7万,4531,3034548,276520412,BV1sz4y197L8
7,【木鱼微剧场】《红楼梦》（全集）,116.6万,3.1万,2824141,927587,BV1CC4y1a7ee
8,小性子又爱哭的林黛玉 凭什么是第一女主？林黛玉好在哪里？究竟如何死的？红楼梦的结局是什么样？,116.1万,2.6万,2447507,2539073,BV1kg4y1q7JN
9,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,144.8万,3823,2393439,41149747,BV1qz4y1X7ss
10,"""他死于天门大开之际，来不及过二十岁生辰“ | 韩烁视角",122.1万,6593,2147390,384080904,BV1ci4y1x78b
11,自甘堕落的人，给他看看这部片,173.0万,1.2万,2064282,323588182,BV1NA41187w9
12,【高欲/野蛮/吻戏/混剪】今晚做梦的素材我为你准备好了,126.7万,2474,2005309,44716778,BV1Qi4y1479W
13,这才是虐文女主！！！卧槽！！太美了,178.9万,6382,2000456,12855280,BV1o5411s76C
14,“嗨 同志 您知道斯大林格勒在哪吗 我在地图上找不到它了”,192.8万,8175,1976497,34840587,BV1uZ4y1x77J
15,无  限  转  场,95.1万,2102,1927367,548611495,BV1y5411W7dr
16,【片片】开播炸裂！小孩子玩弄变态杀人犯，国产悬疑终于能打了！过瘾解说《隐秘的角落》1-6,341.3万,3.1万,1925596,10119428,BV1Rp4y1D7Fk
17,“此役过后，世上再无美利坚！”,373.3万,8187,1919094,391813464,BV1zZ4y1p7g3
18,六月的雨 用沙画的方式打开《仙剑奇侠传1》,74.0万,7864,1907474,9452089,BV1rD4y1D7Kb
19,这就是美国! 这就是哥谭!! 这就是黑暗骑士崛起!!!,137.9万,3246,1871972,257433099,BV1dz4y197EA
20,【更新至154P】【获奖微电影合集】收藏以后慢慢看，全球精品微电影丨短片丨短剧丨剧情片未满，持续更新,37.7万,8940,1758382,23435461,BV1qE411M7da
21,当西游记的BGM在中土战场响起。去他的魔戒，我要吹爆这支喇叭...,155.7万,6254,1710847,503985257,BV1tv41167E2
22,每天一遍，防止早恋,187.3万,4792,1686373,304668637,BV11f4y127AC
23,【Copycat】假如韩烁先穿越进书中改写了剧本 | 连续破车预警 |记得戴耳机| 腹黑心机向踩点| 赠等人的八口木,73.7万,2475,1647442,35553844,BV14z4y197Y7
24,建议改成：花 垣 新 说 唱,83.3万,3597,1628325,16644903,BV1DT4y1E71F
25,有趣的灵魂400多斤，这部电影后劲太大了，看完可能会改变人生,135.5万,3232,1593932,373404409,BV1SK4y1x7QN
26,用 她 的 血  ， 祭 奠 盛 世,57.4万,2540,1589225,256619459,BV1n54y1Q7GX
27,【甄嬛的一生】她好像赢得满面风光，又好像输得一无所有。,68.2万,3240,1575722,353495295,BV1LC4y1p7VK
28,专治不想写作业，有奇效,48.4万,4091,1497880,399048894,BV1aK411p74f
29,【处处吻】 愣着干嘛 进来白嫖啊,114.9万,2138,1478147,400413571,BV1FJ411V7gy
30,他们 死在了祖国胜利的前夜,66.9万,9338,1441936,6711923,BV1mJ411g733
31,麻瓜慎入！这才是用魔法踩点！！！,61.2万,3677,1436262,4127596,BV1At4y117WA
32,作者仅用两行文字，把小黄文变成悬疑小说。解说另类神作《爱的成人式》,122.4万,1.1万,1392407,11751462,BV1Np4y1D7vQ
33,每天一遍，防止早恋,142.4万,2586,1379040,7708412,BV1Zk4y197QB
34,“你太干净了，你不懂。”,95.3万,1386,1368370,90142376,BV1xg4y1v7vP
35,仅用3分钟直接封神！霸占热搜！尺度爆炸！隐秘的角落到底好在哪儿？,299.5万,6718,1346025,3386870,BV1m54y1B7NK
36,你给的仇恨，让美国梦无法呼吸,134.0万,1.3万,1345307,7487399,BV1fK411p79H
37,B站首个4K裸眼3D，抠了80小时，头发都秃了你说怎么办？,108.9万,1055,1338223,518857093,BV17a4y1v7LT
38,2020最励志短片：绝对治好你的拖延症！,55.9万,1939,1274186,319107410,BV1Y741127ps
39,16个细思极恐的细节，编剧导演简直牛逼到戳天了,124.5万,7166,1247976,2627161,BV1BK4y147CL
40,这个世界上是真的有魔法的！！,59.8万,2591,1224505,91546870,BV1kp4y1D7Jq
41,传闻中的陈芊芊｜没有感情的段子机器｜我被男主人设笑死,95.7万,8800,1222980,3466273,BV1DZ4y1s7UQ
42,美国现状，标准哥谭市，可惜蝙蝠侠来了也没用，烧吧,130.9万,3553,1201708,49960899,BV1zz4y1975s
43,“每日一遍 防止早恋”,122.8万,3398,1192307,402230040,BV1SE411n7V6
44,赛博朋克山海经,42.4万,339,1159106,6264260,BV11741167eC
45,如果我早点看这部剧，可能人生会有所不同,193.2万,1.1万,1156317,14110780,BV16D4y1D771
46,“从今天起你就叫剑心，我来教你，我的剑术！”,81.8万,1075,1147507,551066695,BV19K41157L3
47,【传闻中的陈芊芊】这才是说书人正确的打开方式,79.0万,1144,1111023,330429530,BV1ri4y147hQ
48,【刘老师】年度国产剧TOP1肯定是它了！细致解说9.1超高分悬疑剧《隐秘的角落》，谁能比秦昊更适合“衣冠禽兽”的角色？,246.8万,1.4万,1102792,79061224,BV1Zz411i7ho
49,龍,58.5万,8031,1096234,104234979,BV1mK411V7wY
50,得  加  钱~~~,121.8万,1412,1095445,238316459,BV1hz411i7a4
