排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,「小白测评」盲人用手机什么感觉？9大品牌无障碍测试 关注视障人群,19.3万,1652,455901,8969156,BV1qg4y1v7zT
2,史上最强AMD：CPU显卡席卷2020欧洲硬件奖，Intel颗粒无收,10.9万,572,132067,39180492,BV1bg4y1v7Vk
3,【4K】【只需4步!】单人如何拍Vlog视频？分享我是如何4步制作一支视频的！,4.1万,257,131023,479370986,BV1Sp4y1U7TF
4,「科技盘点」45.怎样给父母挑选手机 | 史上首次 华为超越三星 | 苹果正式与英特尔“分手”| 苹果笔记本支持iOS、iPadOS端软件或支持触屏,10.4万,3148,115185,3766866,BV1bD4y1Q7dG
5,用自己设计的ITX机箱组装一台疯狂的高性能分体水冷主机【翼王】,5.6万,626,93329,475961,BV1mt4y197KU
6,中正评测：8299元，背刺？Y7000P i7-10875H 8核16线程，RTX2060游戏本开箱，什么时候有R5-4600H/RTX2060？,6.2万,600,74235,178047796,BV1b5411Y724
7,【蒋·拆解】百元？四摄？Redmi 9拆解,3.7万,364,71118,325272035,BV1x5411Y7wf
8,【4K】B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,1.4万,22,69060,383336986,BV1UC4y1a79h
9,钱难赚，屎难吃，修了小米游戏本后我以为这个观念不对，可是,6.3万,453,69055,382666849,BV1mf4y117s3
10,【食瓜】违反装机法！他怎么能对内存做这种事！？,5.3万,98,66703,35359510,BV1cK411H7Tm
11,『日常』用了 AI 的推销电话太厉害了，哑巴说话都能听懂,5.7万,46,66524,11111644,BV1kC4y187AS
12,"【首发】开箱169元""小米屏幕挂灯""！不输千元挂灯！",4.6万,259,57864,3530725,BV1Fz411v7Vj
13,"这十个软件,让你的电脑舒适度提升1400%",1.5万,33,56066,17873487,BV137411K7V1
14,【新评科技】全网首发，华为P40Pro+耐划度测试，8000块钱的陶瓷有什么不一样？,4.0万,727,55047,138780964,BV1rf4y117fZ
15,【北欧摄影短片】雪山、木屋、森林,2.1万,57,53119,38542531,BV1Zv411B7TL
16,899元捡百元最强5G手机，骁龙855一流处理器，2k顶级屏幕，HiFi音质，百元机中最心动的选手已经上线，录完视频直接福利！,4.1万,153,53006,118415058,BV1yi4y1G7DA
17,大 威 锐 龙,4.3万,76,52042,6650617,BV13K411H7jP
18,"【4K-装机教程】全网最清晰,最详细,而且没有一句废话的装机教学视频",8573,37,47523,354154060,BV1Cf4y1y7WD
19,新iphonese的取卡针就是一根铁丝……,4.3万,41,43696,7931271,BV1Rz4y1Q75c
20,「花生說」当iPhone XS遇到iOS 14【iPhone XS炒冷饭试用报告】,3.1万,602,41762,25480023,BV1rp4y1U7RX
21,52赫兹的鲸,1.8万,37,40907,289419665,BV1op4y1D7KM
22,ARM Mac与Apple Silicon：全面解读苹果自研芯片，Intel Mac还能不能买，WWDC没告诉你的，都在这里了,1.5万,468,38331,474447695,BV1jT4y177dh
23,卡吧14级8年老人推荐的1千5~4万共22套618配置单+3万字注释,1.1万,22,37066,392979,BV1LZ4y1H7Kc
24,相 机 大 战,2.3万,45,36620,3066511,BV16Z4y1H7NG
25,电脑店套路  假如电脑商家说真话8,3.1万,39,34876,407454429,BV1pk4y1z76X
26,魅族系统了解一下,3.0万,71,34317,142499124,BV1H5411Y7dX
27,手机电容麦？舒尔MV88麦克风简单评测,301,2,34047,6983491,BV18g4y1v73h
28,可能是你见过最硬核调色教程，7分钟成为曲线后期大师（收藏向！曲线工具为例讲解调色原理，你从未听说的曲线调色技巧）,6169,28,31559,40427625,BV1QC4y1a7tk
29,【酷玩】夏天到了，你的笔记本电脑该清灰了！,1.2万,39,29672,109343452,BV1df4y1y7m4
30,安卓11体验以及原生系统介绍,2.4万,66,29498,419163775,BV1WT4y177p7
31,显卡小课堂 你真的了解RX5600XT的性能吗？十二张RX 5600XT显卡横评,1.3万,600,28750,64391344,BV165411Y7BK
