排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,相 机 大 战,222.0万,1.2万,3390787,3066511,BV16Z4y1H7NG
2,【4K】B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,50.6万,1429,2821242,383336986,BV1UC4y1a79h
3,花7万元买下60台手机，看看移动芯片谁强谁弱？！,71.4万,2.1万,1802722,25876945,BV1hV411C7yL
4,【装机】2020年中电脑配置推荐,78.9万,1.3万,1796087,338748561,BV12D4y1D7Wm
5,「小白测评」盲人用手机什么感觉？9大品牌无障碍测试 关注视障人群,57.3万,6623,1368510,8969156,BV1qg4y1v7zT
6,卡吧14级8年老人推荐的1千5~4万共22套618配置单+3万字注释,31.6万,1127,1277600,392979,BV1LZ4y1H7Kc
7,10分钟拍大片挑战！[LKs+影视飓风+十音+林海音],70.9万,3.2万,1193156,125526,BV1Zp4y1S7i3
8,52赫兹的鲸,51.3万,1052,1151569,289419665,BV1op4y1D7KM
9,【收藏不亏】2020年大学生笔记本选购推荐全攻略进阶版！15分钟从小白到大神！6.12更新,36.7万,3487,935589,37390043,BV1yV411r7Zg
10,【装机教程】这可能是你能在网上找到最详细的装机教程,34.7万,583,854240,14871346,BV1jE411e7hw
11,"这十个软件,让你的电脑舒适度提升1400%",24.8万,570,851797,17873487,BV137411K7V1
12,iOS 14上手体验,81.3万,5162,771328,419163775,BV14v41167Re
13,"【桌面神器】618值得买的10个""桌面好物""！",49.7万,3604,758047,3530725,BV16T4y1E7Pt
14,OPPO联名EVA没内味！死忠粉掏出11年前考古机，告诉你什么叫联名！,52.9万,6625,756253,410700825,BV1EK411p7TC
15,落月 雪山 云海 瀑布 山川 星空 大海,17.9万,664,724968,434642520,BV1xp4y197xg
16,【爱否评测】千元级人体工学椅横评：如何保护你那年轻的「老腰」？,37.4万,2807,684050,7458285,BV1Ma4y1v7m9
17,【4K 120FPS】超高清！这是这个蓝色星球本来的模样,38.8万,1537,644149,21151219,BV1sv41167ZF
18,【小泽】iOS 14体验：桌面插件来了！AirPods Pro超神了,88.6万,1.6万,630716,25910292,BV1QZ4y1H7dK
19,11款神级软件，让你的电脑体验提升8800%,17.9万,331,626894,7875609,BV1Xt4y1m7r7
