排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,6.4万,577,353612,369750017,BV14A411i7v2
2,逆天好用！50元以内堪比大牌的超平价彩妆分享，低至6元！,9.6万,5428,309177,39922227,BV1bT4y177Bb
3,头帘尴尬期？头发半长不短？3招夏日爱豆发型带你出圈！,11.7万,1742,268428,16307541,BV1XZ4y1M7gn
4,长得像男的，怎么打扮最好看？,14.9万,2985,212715,16206007,BV1uz4y1X7A2
5,小猪姐姐！金智秀双蝴蝶结造型妆容➕超平价彩妆测评,9.9万,1977,171800,19696996,BV1Ca4y1h7Rw
6,【中字】帕梅拉15分钟复古有氧舞蹈操！新手友好！欢乐瘦身！（Pamela Reif）,6.7万,167,169428,34044873,BV1q64y1T7JE
7,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,6.4万,467,145870,493570956,BV1Yk4y1d7Wn
8,成功减肥40斤后的我，居然又复胖了30斤？！,10.5万,555,133437,441827655,BV1Xz411e7JH
9,10个不花钱就能变时髦的小技巧|女团露腰|自制垫肩背心,4.8万,383,132758,28393820,BV13z4y1X7Jb
10,【兔叭咯】住手！别再挤黑头了！祛黑头正确方法原来是这？！,6.9万,103,126562,618624957,BV1TC4y1h779
11,每天5分钟 *告别骨盆前倾，小肚子突出，大屁股*,2.7万,56,122236,497257864,BV1fp4y1U7qG
12,【一遍就会】温莎结的系法、搭配心得 3分钟领带教学,2.8万,44,120719,233563300,BV1g54y1z7mh
13,芦荟灌肤 好可怕,11.5万,124,117422,431615976,BV1pT4y1J7id
14,内衣显大第一位？要是选错都白费！全种类夏日内衣推荐,6.6万,342,109267,472696991,BV1zz4y197nr
15,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,2.7万,762,106991,265578856,BV14p4y1X7iP
16,❤️169JK制服袜长对比❤️转圈圈|格裙|袜子|种草|安利|你pick哪款❤️,5.4万,133,102535,373496951,BV1YD4y1Q7hz
17,【酒栗】妈见打！一次性剁手50个包裹是什么体验？,6.0万,1.9万,97044,291780438,BV1XZ4y1M7H8
18,关于我的24个问题 | 理想型？留学经历？爱用品分享！Q&A,8.0万,332,95620,284471967,BV1bA411i7To
19,【减脂必看！】21天高效减脂丨如何规划饮食运动丨调整心态  拒绝复胖,4.4万,34,94724,481637159,BV1e5411W76n
20,把「圆肩」当「驼背」，越纠正，斜方越大,2.5万,63,91419,1531707,BV1P5411Y7DW
21,日本美容师教你正确祛黑头 10分钟告别草莓鼻,3.1万,95,90168,291686612,BV1ci4y147Vc
22,10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,4.2万,287,86574,62540916,BV1kt411d7Ht
23,【25岁前极力想避开的坑-下】同居要注意的事情｜如何表白后不会尴尬,6.2万,113,83942,500031080,BV1MV41167tk
24,1天瘦腿安排，我躺着瘦了3CM,2.1万,16,82831,17901717,BV13a4y1e7Z3
25,不好就是不好！有什么好矫情的啊啊啊啊啊。。。。。。,5.8万,283,81582,253443757,BV1Cf4y1y7Vp
26,表演系女生教你：为什么电视剧女主的头发永远那么蓬松？,4.9万,91,81234,479733468,BV1aK411n7RS
27,这辈子一定要去一次敦煌【踩点/混剪】,6.3万,138,78973,257975429,BV1e5411Y7c3
28,我是怎么长到140多斤的｜一日约会vlog,6.8万,187,75476,107571919,BV1AK411H7EF
29,释小龙夏日清新仿妆,5.1万,415,73701,18147814,BV1ZZ4y1M7xS
30,你是冷皮还是暖皮？每个人都应该要知道 ｜ 5种方法判断,4.4万,269,69635,325722471,BV1rv411B7ZZ
31,欧阳春晓本人已授权   少女背 直角肩 斜方肌  去头尾  自用侵删,3.0万,94,69606,494660689,BV1Ha4y147Sd
32,20年XO型腿还有救！超详细直腿教程 每天跟练 一个月肉眼见效果,1.9万,33,69433,450595813,BV1r5411p7GX
33,【OO】普通缅甸人 VS 保守缅甸人,5.6万,994,69221,489318590,BV1j54y1z7ia
34,挑战网红性感大码连衣裙！胖mm也可以性感和可爱？,5.8万,1434,67834,430926487,BV1VA411B7Dp
35,无比自然的奶茶妆 | 自带清透呼吸感,3.5万,911,67511,327750329,BV1Vf4y117YS
36,中国00后鞋王，一个月10W买鞋，家里有矿啊，还不只一个,6.4万,94,67125,609374531,BV19D4y1D7WA
37,这确定是唇釉不是胶水,6.2万,36,65801,128490440,BV1Pf4y117kf
38,大腿前侧粗壮凸出小腿肚向后突出腿形不直必练一周见效的教程！,1.9万,75,65225,291945385,BV1Sz411B7td
39,艺术系女生都怎么穿？|背地里都是小心机的设计感穿搭购物分享,4.0万,60,65117,22465608,BV1SK4y1x7HF
40,【echo】巨简单泰式3D小脸妆｜猪猪女孩也精致一次喽,4.5万,697,64967,13177698,BV1KC4y1h7i4
41,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,3.5万,368,64641,1960460,BV1HW411j7mz
42,【艾琳】三十分钟全身有氧超燃脂HIIT | 全程站立无器械新手友好,1.5万,13,62290,344135105,BV1AV41167HM
43,这些网红单品千万别买！梨形身材省钱攻略|雷品吐槽,4.7万,235,61235,558215888,BV1Pa4y1Y7fu
