排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,【中字】高效燃脂！帕梅拉最新15分钟快乐有氧舞蹈操！（Pamela Reif）,148.4万,4699,3939304,34044873,BV1cz4y1d7VS
2,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,100.1万,1.9万,3932761,265578856,BV14p4y1X7iP
3,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,222.1万,1.6万,3527395,493570956,BV1Yk4y1d7Wn
4,8分钟简单高效瘦胳膊运动，还能练出锁骨、直角肩，消除斜方肌｜亲测一周见效，无器械，无需场地，站着做瘦手臂操！,224.1万,1.1万,3397389,369750017,BV1W7411c7rH
5,10分钟下腹部小肚子运动｜高效燃脂、无工具【周六野Zoey】,89.4万,4662,2775784,62540916,BV1Mt4y1y7Pt
6,睡前「鸡尾酒式瘦脸法」瘦咬肌、去面部水肿、正体态，堪比整容！,61.8万,2028,2626712,434378423,BV1QA411q79Z
7,大腿前侧粗壮凸出小腿肚向后突出腿形不直必练一周见效的教程！,69.4万,2258,2341868,291945385,BV1Sz411B7td
8,20年XO型腿还有救！超详细直腿教程 每天跟练 一个月肉眼见效果,61.0万,1223,2296620,450595813,BV1r5411p7GX
9,鼻部变美干货｜为什么别人的鼻子越来越好看，而你的却越来越丑？我关于鼻子的一些思考,95.9万,1.1万,1979649,130636947,BV1GZ4y1H7rj
10,日本美容师教你正确祛黑头 10分钟告别草莓鼻,68.5万,1978,1926188,291686612,BV1ci4y147Vc
11,毕业生找工作到底有多坑？我被坑了好几次！亲身经历教你如何避坑！,124.4万,5679,1885378,283778989,BV1ht4y1y7Tn
12,欧阳春晓本人已授权   少女背 直角肩 斜方肌  去头尾  自用侵删,86.3万,3110,1838785,494660689,BV1Ha4y147Sd
13,不打针不手术练出完美下颌线！仅靠舌头就能科学改善下巴后缩，凸嘴，双下巴，口臭| mewing真的管用么！,101.1万,3229,1813998,486644718,BV1LC4y1p7Pg
14,Pamela帕梅拉一周运动计划｜新手友好（每日分P）,68.0万,2608,1733247,108428484,BV1z7411U7NG
15,屁股，是被你自己坐！扁！的！（P2 跟练解决）,51.3万,2412,1724980,1531707,BV1UT4y1E7ok
16,【知乎高赞】如何纠正含胸、驼背、头前伸？,44.6万,580,1722392,449106131,BV1Hv41167BX
17,【干货】腰粗胯宽屁股大？微胖女孩必看显瘦20斤的挑裙子大法！,84.4万,5043,1621439,348615390,BV1Zz4y1X7k4
18,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,117.4万,1.2万,1602071,1960460,BV1HW411j7mz
19,纯干货！拯救大脑门 颅顶低 发量稀少 ｜秃头少女自救指南,39.8万,909,1563971,126037000,BV1LK411p715
20,帕梅拉 莱孚 - 15分钟高强度腹部训练  - 无器材 (Pamela Reif Official),46.2万,2701,1557826,604003146,BV1cg4y1q7Gm
21,【6天减14斤】真实记录，不运动不节食，我的方法！,98.9万,3458,1522967,296793775,BV1zg4y1q7RT
22,10分钟徒手整容 ，改善显老颧骨颧弓！柔和面部轮廓！可可的有效化妆技巧01,42.8万,2527,1519351,17075276,BV1wA411B7WB
23,我只讲今生，不讲来世,113.2万,1918,1443800,105038284,BV1i54y1D7R6
24,「优质高蛋白」和普通蛋白的区别？｜喝牛奶能补充蛋白吗？,72.4万,2813,1365759,527301263,BV11v411z7f7
25,从170逆袭到185cm，逆天改命增高15cm的秘诀,98.9万,5068,1310138,156858999,BV1qK411W7ND
26,体态大师：气场女王2020改善驼背、头前伸、斜方肌大、瘦背、瘦手臂、脖子拉长,47.5万,1780,1298839,344447169,BV1MA411h7A1
27,瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,105.0万,1.2万,1292610,2993682,BV1yb411G7Me
28,【新手友好】我瘦了65斤！花了5W从私教学来的全身燃脂运动！坚持3周，必有效果！,29.8万,3287,1289005,95089627,BV1r54y1X7Sd
29,蔡徐坤5套万元造型 小伙平价复刻 真变帅了？？,164.2万,9.5万,1277194,7552204,BV1fK4y1x794
30,杜绝廉价感！5个知识点教你避免穿那些看起来就很便宜的衣服,116.8万,7157,1270082,19416999,BV1RK4y1t7mf
31,跟拜拜肉say拜拜！8分钟站着坐着瘦手臂，避免增大斜方肌，1周见效！告别拜拜肉麒麟臂！,29.5万,763,1256759,382559434,BV15i4y1x7qc
32,干货！低成本漫画手养成/手部美白、拯救手部粗糙暗沉｜最全手部护理！白到发光,33.3万,708,1233005,28962573,BV18i4y1s7Q7
33,11编发大作战 40秒学会京紫薇尔莉特编发,49.4万,225,1218092,436373616,BV1FA411B7HA
34,麻瓜禁入X生而优雅 纯血巫师们的集会,68.8万,2797,1205674,15805984,BV1wK411W757
35,绿茶亲身示范！我这样拍，朋友圈点赞多了3倍！,80.5万,8314,1177196,32685766,BV1Cf4y1279X
36,干货！背后长痘，鸡皮肤怎么办？6分钟教你科学养出光洁美背美腿,36.5万,1692,1174465,337848524,BV1NC4y1p7yR
37,【医学博士】618你不会还在买这些赔钱货吧？！I 最科学的防雷指南,86.5万,1.0万,1167741,7788379,BV1ez4y197xD
38,【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,118.8万,1.0万,1146213,3751951,BV1Gs411R7ge
39,国际教练告诉你为什么哪都能瘦就是不瘦腿【瘦腿系列一】,43.0万,684,1106543,261480610,BV18T4y1J7Kf
40,「侧腹训练」解决腰部两侧赘肉，打造性感人鱼线,37.5万,250,1093146,504917637,BV1xa4y1v7qx
41,【茶茶】邓文迪：做情妇拿美国绿卡，用冷冻精子生子抢遗产，半个时尚圈都是她闺蜜，最强撩汉女性？,124.3万,1.4万,1091909,279546736,BV1Za4y1e7D2
42,高中生日常妆容分享｜简单易学素颜妆,67.2万,4424,1075881,8543584,BV1dz4y1X7Hv
43,康复专家手把手教学，「石原里美」式下颌线！（P2完整跟练）,63.1万,9398,1072172,152015773,BV1BJ411E7zA
44,一条毛巾改善富贵包，学点肌动学改善富贵包,38.3万,237,1057040,25621390,BV1454y1Q72n
45,【艾琳】最有效七分钟小腿燃脂运动 + 拉伸 | 免费18天在家瘦小腿计划,39.7万,1073,1053382,344135105,BV1R7411J7Wb
46,每天5分钟【30天瘦手臂】一周见效get天鹅臂，带练+讲解帮你告别拜拜肉|消副乳|瘦胳膊|蝴蝶袖,26.1万,664,1047544,323353198,BV1p7411u7XB
47,在床上就可以做的10分钟全身燃脂训练,33.7万,2233,1042417,406605731,BV1WQ4y1P7uk
48,肿眼泡 圆脸  无滤镜无打光 普通女大学生日常妆容分享  平价彩妆便宜好用 ！！！,68.6万,1208,1031131,395667565,BV1oC4y1H7Wv
49,生物角度拯救脂肪胸(男性雌化胸)【科学拆解15】减脂增肌注意,60.3万,538,1019875,108412378,BV1zC4y1p7X5
50,【清华学长】别买！这些去黑头的产品都是虚假营销！,92.3万,1266,1006699,534916998,BV1pT4y137Cd
51,【减脂必看！】21天高效减脂丨如何规划饮食运动丨调整心态  拒绝复胖,50.0万,724,955121,481637159,BV1e5411W76n
52,【JK+LO】2周目的卡点变身转圈圈呢~多条裙子有没有你爱的？内含JK、Lolita|皮卡小可爱,79.7万,2419,951613,210286780,BV1Ma4y1Y7jg
53,【中字】Ballet Beautiful 美丽芭蕾第三套  瘦腿提臀,50.1万,5024,950433,7937899,BV11s411q7UG
54,十分钟教你打造男生日常出门妆！|约会|男生素颜妆|男生口红色号|MAC柜哥|,56.1万,3406,935636,513155417,BV1ht4y1y7hn
55,【长江以南】温柔杏色妆容｜新手也能画的人畜无害妆容,56.2万,1328,935101,39042756,BV1uz4y197HF
56,不打折就倒闭！618十双好鞋推荐～,101.0万,1.3万,929218,326246517,BV1a54y1Q7mi
57,女装店恶心人的套路实在是太多了吧,82.0万,1840,925314,455666861,BV1UK4y1x7Ti
58,表演系女生教你：为什么电视剧女主的头发永远那么蓬松？,69.4万,1353,924896,479733468,BV1aK411n7RS
59,英气十足的古装发型,58.4万,436,913186,386283398,BV19K4y1t7iY
60,拯救凸嘴！港风美人如何利用表情管理凸嘴？修饰凸嘴干货！学习“美人三分龅”不整牙管理凸嘴龅牙方法技巧,41.8万,2390,899741,229443704,BV1Gk4y1z788
61,【超飒小短裙】短裙合集 俏皮灵动的裙摆，总有一件甩在你的心上,54.8万,703,897901,351894147,BV1GK411p7Yx
62,[Healing Times]粉色少女心击杀 | 美妆发烧友必看｜PINK趴体狙击❤Destroying Cosmetic With PINK Products,53.2万,1.2万,897383,492562045,BV1Zz4y1R7Yq
63,"大家好，我是捷克""谐星""大KK，我正式入驻B站啦！（结尾有彩蛋哦~）",111.9万,8797,890409,598584905,BV1xa4y1v7jx
