排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,人类：你这外星人是想笑死我吗？,48.4万,311,468132,170088482,BV1zz411e7ar
2,祖 安 大 妈,34.3万,291,365349,3380239,BV1DK411p7rT
3,《老炮儿联盟》：厂长+Faker王炸组合，米勒这都能输？不会吧！不会吧！不会吧！,15.5万,6563,333782,353224849,BV1Ez411v7Ko
4,【瞎β操作】雷达哥雷达失灵,26.3万,915,283178,47291,BV1Cv411B7SP
5,【LPL夏季赛】6月30日 RNG vs WE,29.7万,6221,281358,50329118,BV1yt4y1979i
6,主播炸了超神篇342：快乐之王流畅滑行五杀，彩旗卡特经典看不见人,26.2万,2134,279547,32365949,BV1n5411Y7Hp
7,【最后生还者2】为什么我不喜欢TLOU2的故事？,16.8万,3117,272926,893053,BV1cK411H7Zu
8,我居然在游戏里假装妹子撩散人？？？撩汉大师姜峰首遭滑铁卢笑死我了,16.1万,5018,250828,44688866,BV17v411B7Eo
9,【体验服大更新】泳装照美冥 金鸣 新彩蛋 削弱二代火影、白面具可能是9月高招S,19.8万,1268,250429,28590718,BV1rf4y1176k
10,我的世界坏掉了！！！,9.3万,781,242678,3334737,BV1g54y1z7qs
11,【大仙全家桶】卑微小张在线馋人头，明明是我的主场为何我却秀不起来？,21.4万,3553,237151,1935882,BV1at4y197Jd
12,【超级小桀】我不想当工具人啊  别踩我！,19.6万,1455,234054,29440965,BV1RZ4y1M7Xr
13,【公主连结】7月6日伊莉亚活动介绍+体力规划建议，双倍掉落让体力规划变化了不少...,14.4万,844,227798,43222001,BV1tp4y1U7hm
14,【对话官方】这5个问题已经困扰大家很久了，光子你看能改不？,16.7万,819,223533,129240403,BV1qi4y1G7K7
15,【屎O说】玩完了《最后的生还者2》，再唠上几块钱的动捕技术！,15.9万,702,213147,7349,BV1xg4y1v7JY
16,猪八戒战令限定【西部大镖客】预览：特效炸裂！大招效果好棒！,21.5万,409,210949,12799703,BV1UZ4y1H7L1
17,21款新皮肤即将上架，曜FMVP制作完成，一款免费限定皮肤，王者荣耀,19.1万,262,190775,394463100,BV15K4y1s7o4
18,和 风 美 女,12.4万,1642,189418,4162287,BV1qf4y117v6
19,徐老师讲故事132：英雄联盟实体书之符文之地大事记全解析,12.9万,1285,172764,16794231,BV1Dt4y197nJ
20,魔兽世界第一公会Method 陨落全过程回顾,11.6万,1186,166840,24140344,BV1pT4y1772P
21,【亚某爆料时间】猪八戒-西部大镖客 皮肤爆料来袭！,16.3万,486,162954,57863910,BV11v411B7Wx
22,炉石传说：【天天素材库】 第202期,16.0万,296,161656,10462362,BV1qg4y1v7L5
23,老王有媳妇儿了！【德华的世界#6】,11.0万,1154,161220,13354765,BV1bD4y1Q7LF
24,精确到秒！雷律的完美套路教学，深渊拿水晶全靠它【萌新套路教学第二期】,8.3万,299,160399,1320581,BV1Ra4y1Y7n5
25,只有一块基岩该如何生存? 基岩空岛生存#1,10.2万,3450,160393,243681035,BV1Ri4y1G7mc
26,【闻香识】不会有人看恐怖游戏也会被吓吧？不会吧不会吧不会吧,10.6万,2132,155006,193584,BV1YK4y147oy
27,【阴阳师】入坑40天，六张绘卷霸榜的萌新！鬼王之宴区枭导,13.0万,2292,154759,64137054,BV1YA411i72d
28,【萌黄探秘】金鸣技能最新爆料！！闪闪发光地终结对手！,14.4万,693,153473,441897078,BV1zg4y1v7Qy
29,【公主连结】来抄作业！双子座详细时间轴合集 | 公会战作业,7.3万,106,146345,865683,BV1BC4y187k7
30,边骑车边哼歌的后果……,11.9万,206,144580,1328260,BV1HD4y1S7AY
31,宁王令尹志平羞愧的低下了头！【反向解说29】,9.3万,354,143698,69112541,BV1rv411B7Ut
32,【爷青回】万万没想到，白客、叫兽新剧来了！四集连播看过瘾,13.0万,286,140638,457047913,BV1ip4y1D7KL
33,【B站三废海贼王】不是内鬼就是脑溢血,12.2万,404,139694,617285,BV17z4y1X7e2
34,【公主连结】玩具喵的公会战7月份双子座1阶段作业（持续更新）,7.2万,50,139025,296496909,BV1zk4y1q7L5
35,【风笑试玩】住在三千英尺高的流水线上丨Booth(demo) 直播试玩,9.9万,1127,135995,2019740,BV1UT4y1J7Sx
36,史上最厚血量，被打了6分钟还活着！？,11.4万,229,135523,13118294,BV1KD4y1S7hk
37,3K块电脑玩绝地求生170帧？W10平民级电脑优化设置！七彩虹黑鳍鲨主机！,5.7万,592,134111,46708782,BV1Wt4y197Hv
38,【嘟督】给你总结下《最后高尔夫2》到底讲了啥！！！,6.6万,470,131982,2403047,BV1kT4y177Wh
39,同是老六人，不打一家人。,10.1万,48,128432,536381538,BV1Az411v7Dg
40,【施工中】公主连结国服 三期团队战作业 双子座公会战/工会战,6.7万,122,128353,6014992,BV1mK411n7YC
41,《MHW:I》开发者日记Vol.6 直播预告，免费大型更新第4弹确定于7月9日发布！,11.7万,243,124486,331989468,BV1Qg4y1v7Cm
42,王者欢乐秀：峡 谷 下 路 现 状,10.9万,597,123407,174070934,BV1BC4y1871v
43,我老婆mayumi来斗鱼直播了！,12.0万,32,120421,269659718,BV1vt4y1977Z
44,能看到第15秒吗？,5.6万,434,119935,316641949,BV12f4y1272j
