排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,Uzi | 大家好，我是你们的枣子哥简自豪，今天正式入驻B站啦！,830.9万,4.5万,9278499,42619059,BV15Z4y1H7jh
2,【老番茄】史上最骚杀手(第十集),573.6万,6.8万,8523214,546195,BV1XC4y1h78J
3,靠谱盘点86:先就到这里吧！我们下期再见！,299.7万,2.9万,5174103,279991456,BV1Tf4y117Go
4,能看到第15秒吗？,330.5万,1.8万,4140743,316641949,BV12f4y1272j
5,电竞运动员Uzi退役独家专访：如果时间还够，很多东西我可以做到,335.8万,4.4万,3852433,222103174,BV1dC4y1h7at
6,情同手足,450.4万,5.7万,3371975,1577804,BV1Tg4y1q7iK
7,前方高能！！这是真的！# @ % ￥ 燃,296.8万,1848,2713360,276583695,BV1AQ4y1N71n
8,我的双脚不受自己控制！,214.1万,7.0万,2601605,2206456,BV1rg4y1i7MB
9,啊？这！这就是长城吗！,215.6万,1.5万,2585206,8784855,BV15C4y1a7fp
10,【Minecraft】前方高能！！这期视频将会非常爆肝！上热门必须吃ICE！,85.8万,5046,2539055,10846843,BV1nv411B7B6
11,【师生对线】拖 堂 现 状,278.5万,2.3万,2465678,3353026,BV1St4y1X7A5
12,纯黑《最后生还者2》第一期 最高难度迅猛式攻略解说 严重剧透警告,187.5万,5.2万,2223223,585267,BV1zf4y1y7aZ
13,你们要抓的是新版狗熊 和我核弹有什么关系[有点骚东西],221.2万,1.2万,2205195,23604445,BV1Sg4y1i78B
14,极 限 一 换 一,319.1万,2.0万,2129389,777536,BV11f4y1y7Lv
15,【Minecraft】当MC地形遇上顶级4K画质！五年地形成果的视觉盛宴！——珀尔B站5w粉丝纪念视频,90.3万,3381,2092705,8392977,BV1FK411p7Da
16,你的印卡货真价实【水无月菌】,188.9万,9118,1999963,1958342,BV1Fv411B7Ld
17,这块木板是座桥？？？         2/4,129.0万,2.1万,1971192,7450650,BV1tZ4y1H7zR
18,世界上BUG最多的搞笑游戏 每局1500个BUG,361.1万,1.1万,1876850,10558098,BV1cz4y1X7TT
19,【危机合约#1】全网首发黄铁峡谷27，狙特队的荣光！,80.9万,1.1万,1833802,10352261,BV1eZ4y1H7L4
20,这四个up主 好有文化！ (第三期),329.1万,3.1万,1815281,7552204,BV1cT4y1J7kD
21,省钱省到妈都不认识的桥梁工程师#完结篇下,163.9万,2.2万,1809686,8476852,BV1TA411q7xj
22,【英雄联盟画心】没想到吧，LOL也能画心，还这么好看～,156.4万,1079,1792186,511344251,BV1iK4y1x7T3
23,老王有媳妇儿了！【德华的世界#6】,158.8万,2.7万,1751730,13354765,BV1bD4y1Q7LF
24,【骚男】我，迈克尔杰克骚，今天正式入驻B站,325.4万,6593,1728072,12761764,BV1c5411W7hW
25,得罪人挑战,360.8万,4.6万,1662826,416128940,BV1bK411p7QE
26,M C “ 老 玩 家 ”,113.3万,7.2万,1650865,26240675,BV16A411v7A3
27,当你误入苦力怕窝,69.1万,1240,1650074,490670548,BV16z4y197rF
28,零物资!挑战在只有海的世界生存下去 P4【我的世界】,72.8万,7337,1645065,523085457,BV1hV411r7k2
29,【英雄联盟】Uzi热血赛场瞬间回顾,135.6万,1.5万,1622114,178778949,BV1Mf4y1m7eC
30,LOL手游：国人试玩2K画质！第一MOBA手游？18杀男枪完美还原端游！英雄联盟手游！,193.4万,1.0万,1599921,18343134,BV1XC4y1a79V
31,全 程 高 能 【第七期】,72.1万,1.1万,1564327,28053896,BV1ND4y1Q7ZC
32,【4K】【完结】老戴《最后生还者 2》剧情流程解说 （美国末日2）,214.7万,16.3万,1550821,2142762,BV14Z4y1H7Q8
33,耗时1个月，画出3米长《魂斗罗》第一关！,123.3万,2090,1529080,519593401,BV1ez4y1Q7zF
34,【Helltaker】 游戏原声 和天使Azazel一起摇摆吧！,123.7万,633,1516403,171463017,BV18D4y1D7Rm
35,恋 爱 对 对 碰,188.6万,1.8万,1502517,808171,BV1uf4y117WK
36,得 罪 人 挑 战 （嘉宾：小潮院长）,220.5万,1.5万,1498433,52250,BV1Uk4y1B7uT
37,【明日方舟 黄铁行动】无需专三！可能是目前全网最低配的危机合约18打法，首日速通助你快速拿镀层！,80.3万,2186,1489198,17996701,BV1ef4y127pz
38,【真人GTA】老 年 崔 佛,150.6万,4384,1458489,3380239,BV1NV41167nt
39,打 工 日 记,142.8万,2.1万,1397237,562197,BV12V411r7yJ
40,不要“做”挑战？（第八期）,293.8万,1.0万,1377277,5970160,BV1Rp4y1S7Bj
41,【C菌】《最后生还者2》剧情向实况【完结】(慎入),142.7万,7.5万,1366732,4162287,BV1vf4y1y73W
42,【每日更新】危机合约低配攻略合集《明日方舟》黄铁行动:黄铁峡谷【更新:中转站危机8、黄铁峡谷危机18 专一安洁莉娜】,270.1万,9515,1356503,298484,BV1Si4y1s7Ac
