排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,眼“色”游戏 （2）,321.2万,7.7万,4351261,5970160,BV1LV41167aW
2,当 滑稽 和其他表情合体,257.9万,2.0万,3934214,437549884,BV1Hk4y1z7GA
3,口技大师！,324.3万,8.0万,3422179,546195,BV1Df4y1174h
4,【醒醒】中华儿女该起床了,116.9万,1.5万,3397237,2331173,BV1m54y1Q7eQ
5,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,387.5万,2.8万,2835495,280793434,BV16v411B73n
6,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,187.3万,6.4万,2761659,285571498,BV1pD4y1Q7gd
7,马化腾曾扮妹子陪聊！【阅片无数53】,311.6万,4.2万,2244105,14110780,BV1e54y1B7W6
8,油管播放量破亿却惨被删除封号的特朗普恶搞视频,312.3万,6200,2185553,12394995,BV1Ea4y1Y7Bi
9,爱一个人，就陪她走一遍儿时的路,125.1万,4.2万,2155476,353539995,BV1454y1z7NE
10,【以衣换衣·第二期】衣 服 换 换 换,286.6万,2.0万,2107434,52250,BV1Jv411B7kZ
11,“王 者 荣 耀 全 英 雄 介 绍 ”（共100个）,197.8万,1.2万,2055887,38760181,BV18K4y147i4
12,不要笑挑战❌新故事王✔,147.0万,1.8万,2009778,562197,BV1ek4y1q7WM
13,【艾叔】4K | 成都麓湖1.5亿豪宅，开游艇的神仙生活是什么体验,181.5万,2.0万,1730295,470156882,BV1Sv411B7wf
14,蜜瓜JK妆！毕业要和姐妹去迪士尼拍照呀！,157.9万,1.2万,1666584,466272,BV1St4y1X76a
15,体态纠正大师,157.6万,1.8万,1637717,1577804,BV19a4y1Y7SC
16,高考作弊记,90.8万,3620,1453098,2444757,BV1ep4y1D7s1
17,《樱  桃  老  丸  子》,90.9万,1410,1378434,576534137,BV1dz4y197zd
18,武松打得过这玩意儿？,245.7万,5654,1366759,496783876,BV1mT4y1J7iG
19,模仿六大平台吃炸鸡，味儿太冲了,179.6万,1.4万,1365210,21587273,BV1op4y1D7dJ
20,当杠精去面试会怎么样，面试官都被气笑了……,195.8万,1198,1328637,494915055,BV1y54y1B797
21,火锅大王消失的这段时间发生了什么？,78.7万,3956,1248153,394067394,BV16f4y117U4
22,当有陌生人敲门！打开这个视频！快！,31.7万,445,1218241,458683,BV165411x7v9
23,欢迎报考浙江大学！！！,155.4万,7353,1178456,38606568,BV1PK4y147Z4
24,美国枪支销量暴增80%，深入枪店采访美国人为何囤枪？,220.7万,1.9万,1177714,176037767,BV1vi4y1G7Lu
25,特朗普首次回应B站恶搞视频,162.9万,5894,1175495,289553404,BV1yf4y1y7nY
26,又是一个无 眠 夜。,70.4万,2822,1160874,27756469,BV1YC4y187Hb
27,把11个up主的五官拿出来打乱 还能再复原么？,141.6万,2.8万,1153508,7552204,BV1Ez411v7vT
28,我们的五年——B站五年员工纪念视频 2020版,86.5万,1.1万,1150762,208259,BV1Wg4y1v77h
29,【祝大家端午安康】我小时候吃过的传统笋壳粽子，你那有吗？,179.1万,3.3万,1147867,19577966,BV1DK4y147Kf
