排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,不要笑挑战❌新故事王✔,147.0万,1.8万,2009778,562197,BV1ek4y1q7WM
2,"""杜海皇""之死",120.8万,1.2万,979427,5970160,BV1bC4y1877x
3,从印度下架59款中国软件到德里酒店抵制中国客人 越来越离谱的印度封国第九十七天,86.4万,5261,861543,300159010,BV1kK411n7iX
4,重庆最辣小面？的车司机：这就辣得离谱！我。。。。,55.8万,7099,621084,99157282,BV1754y1z7Rb
5,碳水炸弹狂欢！第一次吃100元两碗的面，我的嘴角竟流下了瀑布…,46.1万,1.0万,594044,29329085,BV1PC4y1h7jr
6,禁食390天，感谢你们一路的支持，我结核终于治愈了,45.7万,3838,541949,470810968,BV1Ug4y1v7nN
7,名场面预订了、笑死我了,61.3万,419,520137,558275338,BV1Bt4y197hZ
8,朋友之间传播淫秽信息一般不按犯罪处理,44.2万,1.5万,506236,67141499,BV1kv411B7VM
9,看完整个人都扭曲了……,40.6万,2325,479915,421848021,BV1JV411679S
10,这么完美的男人确实很难遇到,41.2万,551,465733,344677344,BV1HC4y1a7BN
11,就喜欢这种长得好看还没脑子的,47.2万,579,465264,43979779,BV1Bz4y1X7FC
12,试吃999元一桶的冰激凌，三种新奇吃法哪种最好吃？,52.7万,5440,464264,2920960,BV1PZ4y1u7YE
13,又是一个无 眠 夜。,27.6万,717,464025,27756469,BV1YC4y187Hb
14,美国枪支销量暴增80%，深入枪店采访美国人为何囤枪？,46.5万,3096,463689,176037767,BV1vi4y1G7Lu
15,厨师长的厨具和配件终于全部到齐了，先简简单单整理一下,50.4万,3585,442493,290526283,BV155411Y7gU
16,真正的底层，深圳三和人力市场，挂逼面3元一碗,48.8万,1566,433131,35847683,BV1R54y1i7Gp
17,武松打得过这玩意儿？,32.0万,946,415765,496783876,BV1mT4y1J7iG
18,“抠门”父亲只让女儿吃稀饭馒头,24.6万,396,405617,439004951,BV1ZK411n7vM
19,串串配烧烤，大sao第一次尝试本地宵夜大排档，一个人的量真过瘾,45.5万,1788,405605,390461123,BV1DT4y1J7vA
20,我竟然当了表演老师？！,37.7万,4698,402404,808171,BV1A5411Y747
21,为什么狮子和老虎会害怕我的拖鞋,32.6万,985,391066,590490400,BV1ig4y1v7RH
22,【醒醒】中华儿女该起床了,12.5万,1698,390008,2331173,BV1m54y1Q7eQ
23,买一台98寸超巨大电视来玩游戏是什么体验？！震撼我实习生！！,35.7万,2630,388867,52250,BV12p4y1U76o
24,好不容易在一个城市买了一套房，可是空调费是25元每度，真都没人管管吗？,45.3万,628,382931,494098566,BV1La4y1e7va
25,有一种默契，叫做大家都是成年人~,28.3万,511,375085,124574179,BV1xV41167wG
26,梦     幻      联      动,30.3万,146,359449,294059122,BV1ea4y1Y7CM
