排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,《樱  桃  老  丸  子》,673.9万,9746,7736301,576534137,BV1dz4y197zd
2,【醒醒】中华儿女该起床了,249.3万,3.1万,6764254,2331173,BV1m54y1Q7eQ
3,小翔哥回来了，我们重新开始,593.4万,7.0万,4985617,353539995,BV1Wg4y1q7fk
4,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,216.1万,1.5万,4736738,34044873,BV1o7411E71J
5,眼“色”游戏 （2）,321.2万,7.7万,4351261,5970160,BV1LV41167aW
6,默契挑战！！,518.0万,11.6万,4083898,546195,BV1pD4y1D7r7
7,当 滑稽 和其他表情合体,262.1万,2.0万,3983423,437549884,BV1Hk4y1z7GA
8,高考作弊记,293.4万,1.3万,3798562,2444757,BV1ep4y1D7s1
9,手 往 哪 摸 呢 ？,445.9万,4.7万,3784358,777536,BV1bZ4y1W7ui
10,【互动视频】100%算中你的年龄！,337.3万,4.5万,3481838,295156493,BV1eA411q7C6
11,当有陌生人敲门！打开这个视频！快！,93.6万,1440,3337027,458683,BV165411x7v9
12,我 摸到了！,335.9万,3.6万,3295176,562197,BV1mz4y1Q7FF
13,快给我住手！你喷错人了！！,398.5万,6413,3273701,318223,BV1uZ4y1H7Fh
14,妈妈去世后，就再也没有吃过了…,256.8万,7002,3216701,480366389,BV18T4y1J7Jn
15,看看他最后是怎么离开死循环的,357.8万,5553,3119562,299291982,BV1QA411q7NC
16,新 概 念 吃 播,336.3万,13.5万,2984186,2206456,BV1Az4y1R7WY
17,六 一 儿 童 劫,493.6万,8635,2897059,22550035,BV1Dg4y1B74y
18,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,387.5万,2.8万,2835495,280793434,BV16v411B73n
19,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,187.3万,6.4万,2761659,285571498,BV1pD4y1Q7gd
20,4斤重的烤羊腿！没见过世面的姐姐直接抱着啃...,445.1万,9397,2645371,18202105,BV1Pv41167FE
21,选来选去还是这首歌最合适放学的她,459.9万,3285,2624343,11978336,BV1Ra4y1e7fd
22,当法官要看你浏览器记录时【阅片无数50】,445.5万,3.7万,2617186,14110780,BV1Kt4y1y7YM
23,追男生硬核攻略教学  轻轻松松 从入门到精通,125.3万,2.5万,2466230,57741276,BV1ut4y1y75J
24,中 国 新 说 唱 总 决 赛 第二季,354.0万,3439,2401236,342578985,BV14a4y1v7Mx
25,我偷偷盖了个树屋！,174.1万,1.0万,2297894,382193067,BV1mv411z7Rp
26,【作文】那些写进作文里的神仙开头,58.2万,655,2278258,23177427,BV1Ea4y147ye
27,#钟美美#钟美美所有作品合集(时长53分钟),98.7万,2.8万,2230339,112938553,BV1Na4y1Y7kQ
28,油管播放量破亿却惨被删除封号的特朗普恶搞视频,319.7万,6399,2228183,12394995,BV1Ea4y1Y7Bi
29,“你是我此生最大的浪漫”,285.2万,1.3万,2204547,234580765,BV1cQ4y1K7qL
30,为啥费玉清《一剪梅》突然欧美爆火？不懂雪花飘飘梗会被嘲笑！,404.2万,3.3万,2195862,526178615,BV1yD4y1D74h
31,适合【一人食】的八个创意小食谱,140.3万,3779,2194266,17495873,BV1Xp4y1D7ay
32,印度愤青的新花样——卸载中国软件  印度封国的第七十四天,279.3万,8729,2143385,300159010,BV1Fi4y1x7n7
33,实拍美国抗议现场，街访纽约示威者！,468.8万,4.5万,2107795,176037767,BV1cC4y1a7xA
34,【以衣换衣·第二期】衣 服 换 换 换,286.6万,2.0万,2107434,52250,BV1Jv411B7kZ
35,女朋友的这些话是如何做到全国统一的？,285.5万,1.1万,2106584,35147507,BV1Pg4y1q7Qf
36,当代网络现状,210.8万,5208,2079121,22353887,BV1ja4y1v7FJ
37,“王 者 荣 耀 全 英 雄 介 绍 ”（共100个）,198.3万,1.2万,2059184,38760181,BV18K4y147i4
38,那些写进进作文里会让老师震惊的句子【狗头】保命,39.9万,887,2041070,483455389,BV1PE411w7hB
39,缘分：就 挺突然的..,252.8万,3246,2037841,197808636,BV1kK4y1t7Mx
40,特朗普首次回应B站恶搞视频,339.6万,1.3万,2015177,289553404,BV1yf4y1y7nY
41,【朱一旦】199 过去的不会只是成为过去,260.6万,1.0万,1985054,437316738,BV1oK411p78Z
42,史上最详细的油炸火腿肠教程！这才是童年的味道！！,141.0万,2732,1950563,320818292,BV1jz411i7B9
43,阅读全文并背诵,240.9万,1695,1904460,7560829,BV1MD4y1Q7oU
44,【warma】读评论丨沃玛你有喜欢的人吗？,121.6万,2.3万,1889485,53456,BV1pC4y1a7md
45,川普发推大喝三声CHINA！随后推特被中国人占领,497.0万,2.5万,1840376,501183549,BV1BT4y1E7jS
46,欢迎报考浙江大学！！！,348.3万,1.6万,1824216,38606568,BV1PK4y147Z4
47,老师要求2000字作业……,85.6万,1921,1819451,323721830,BV1DJ411J7yQ
48,油管上超火的美国熊孩子模仿特朗普表演,271.3万,6162,1808846,527090624,BV1gk4y1r7JD
49,一周不重样鸡胸肉腌制法+2款巨嫩鸡胸肉做法！嫩出汁！,51.7万,496,1802681,242005097,BV1up4y1D74L
50,【土豆的花样吃法】农耕之乐，劳作之美，饮食之道——土豆的一生,275.7万,3.1万,1797638,19577966,BV1nz411i7dW
51,前NASA工程师和偷吃鸟食的4只小松鼠斗智斗勇！,121.1万,6787,1777561,487511093,BV17v41167eg
52,情侣摆摊一小时收入5000块，当场花完，爽！,212.4万,1.2万,1774954,113362335,BV1kV411r7gb
53,猫咪发现床单很丝滑后…,293.2万,651,1769806,486806689,BV1fv411z7uH
54,弟弟近期动态,190.8万,5858,1749111,13390535,BV1Mf4y1m7Jb
55,厨师长解答：“炉灶的流动水不关”，不仅仅是“浪费水”这么简单,270.9万,1.1万,1740008,290526283,BV1tZ4y1W7qm
56,【艾叔】4K | 成都麓湖1.5亿豪宅，开游艇的神仙生活是什么体验,181.5万,2.0万,1730295,470156882,BV1Sv411B7wf
57,最强翻页书,140.9万,2522,1725594,72196872,BV1bJ411j7XF
58,50元和2000元的猫有啥区别？2000的逐渐同化！,183.4万,1.1万,1722246,4779198,BV1WT4y1J71T
59,挑战在B站总部当众自称公主,252.7万,3.0万,1719429,466272,BV1Wa4y1v7iY
60,这个喷嚏声音有点奇怪,151.2万,1152,1717148,17487861,BV1CQ4y1P7rr
61,特朗普被黑人撞飞的视频曝光！全程高能！！！,505.1万,9832,1711653,412803659,BV1ZZ4y1n7uD
62,高 ping 战 士,330.8万,2409,1699927,37177491,BV1XT4y1u7R5
63,东北姐妹帮闺蜜出气，大骂闺蜜出轨老公，都不带重样的,187.7万,3031,1689781,518032183,BV1qp4y1Q76Q
64,教你一句话把天聊死！,134.1万,5155,1683950,442177273,BV1RK411W78o
65,【现 代 圣 杯 战 争】,167.4万,2720,1679142,65590158,BV12J411Y7jV
66,建议每个黑人兄弟都买一个，戴在腿上,320.7万,1960,1673849,196509490,BV1WC4y1a7QT
67,Eric Warner | 欧美男模 | 每日一遍 防止早恋,54.9万,1616,1664613,280616984,BV16T4y137zQ
68,终究还是一个人扛下所有,183.5万,5843,1663323,224539237,BV1n54y1D7UC
69,再见了，心爱的梦中女孩……,197.3万,1.9万,1643018,808171,BV1kg4y1i7pe
70,体态纠正大师,157.6万,1.8万,1637717,1577804,BV19a4y1Y7SC
71,11岁男孩表演木偶舞，展示完美的肌肉控制力和超强身体柔韧性，反转手臂那一刻真的吓到我了,195.3万,4562,1631115,412719797,BV18i4y1x7JR
72,这个春天我们迎来了10多个小生命，克里米亚野生动物园欢迎你们,122.0万,3827,1627825,590490400,BV1sa4y1v7Ce
73,堆成小山的鸡块成本不到20块？！我再也不去炸鸡店了……,69.6万,172,1602763,506513352,BV1Hi4y1s7sK
74,米其林大厨级摆盘32招！“ 变成你吃不起的样子 ”,79.4万,4326,1595180,510428469,BV1VZ4y1H7qs
75,26岁，我拥有了一辆兰博基尼！!,263.2万,1.2万,1587258,147166910,BV1A5411W7e7
76,这才叫 回 味 童 年,130.9万,4484,1585672,908383,BV1Vv411B7k4
77,如何拥有一个课室快乐机,117.6万,936,1584834,20666709,BV1oC4y1a7Bw
78,蛋黄派妙不出来了？！,118.6万,2.0万,1579670,37961599,BV1gt4y1y7Ja
79,不放一滴油的滑蛋猪排饭，也能馋倒隔壁八个大汉！夜深人静时灵魂的养料,155.2万,5369,1571538,17409016,BV1FC4y1a7MB
80,忙碌了2个小时陈师傅决定原地去世,218.0万,770,1563146,21083035,BV1y54y1B716
81,曹操攻打荆州时，珍贵的直播历史影像,280.1万,2123,1559199,86189789,BV16a4y1e7yw
82,36岁单身老狗的快乐生活，看完突然想结婚了,202.3万,1.0万,1549969,287566885,BV1Uk4y1B7it
83,当了4年UP主，我结婚了！,134.4万,2.7万,1546623,3433092,BV1xT4y1J78v
84,你尽管点赞！物理老师那边我去解释！,195.8万,1.3万,1539262,1420982,BV1X5411W75E
85,吹气就能旋转的立体六芒星，好看的折纸减压小玩具,47.2万,1187,1536329,280754190,BV1Np4y1D7m9
86,手机丢了第一件事绝不是报警,84.7万,815,1525736,350001797,BV125411W7sb
87,果然眼镜最骚,339.1万,357,1524825,375279845,BV15i4y1x7eK
88,一个老鼠进去教室后，老鼠都快被吓死了,399.2万,2172,1513346,357598071,BV1g5411W7ct
89,【超燃励志】油管3000万播放——《没有借口》NO EXCUSES！每天一遍，防止颓废！,54.7万,1820,1496446,35184693,BV1Cg4y187uN
90,好吃到舔盘的鸡蛋酱拌面！连吃3碗不过瘾.电饭锅蜜汁烧鸡,66.7万,996,1494337,472129071,BV1sz4y197kj
91,“考试洲”,105.7万,2905,1493334,21568298,BV1vz411i73z
92,东北小伙怒怼地铁道德绑架大爷    警告：看完会引起极度舒适,176.2万,1535,1493050,489086156,BV1hT4y157RS
93,【花园粑粑】就是你们秀恩爱是吧！,88.7万,3.3万,1483431,3040178,BV1sk4y1r7Lg
94,【怪异君】与女仆争风吃醋，泡芙喵对怪异君大打出手！,121.7万,1.9万,1478333,4408538,BV1bK411n7BG
95,【如何正确逼自己学习！！】纯干货/克服拖延/找到状态/学霸养成,47.0万,1931,1472477,294603772,BV1TK4y147n6
96,再说一遍！ 吃饭 慎 入！,202.0万,6.8万,1438961,285499073,BV1RK4y1x7K8
97,小伙花7个小时用拼图做出了个球？还可以用来打保龄球,170.5万,1.6万,1424593,3957971,BV1Ka4y1Y7Li
98,当你遭遇跟踪！快打开！,36.4万,1074,1423551,5870649,BV1Ri4y1t7bp
99,当你用GTA的方式来打开校园生活,180.7万,4581,1423442,310249384,BV1ZV411r7gr
100,猎豹：我预判了你预判我的预判！,173.9万,3075,1422094,496783876,BV1Pi4y1x7Q3
