排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,毛选朗读（1～5卷） 持续更新中…,140.0万,1.4万,5180267,611501677,BV1e54y1B7WF
2,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,180.6万,2.6万,3771933,2200736,BV14g4y1v7Ks
3,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,108.3万,2.5万,2641855,79577853,BV1Cp4y1U7fp
4,骁话一下：为什么欧洲没有互联网？,314.0万,3.7万,2554553,10330740,BV11a4y1h7wd
5,为了做游戏，我花了10年自学程序、美术、音乐、策划,109.4万,1.5万,2441286,580207,BV11T4y1J7Lk
6,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,294.4万,3.2万,2308121,517327498,BV1xT4y177Kq
7,【半佛】应届生求职利益最大化指南,122.7万,1.0万,2136132,37663924,BV1st4y197pq
8,满分UP主倾囊教你写高分作文！最强攻略！【满分作文攻略01】,35.6万,5304,1511775,265059948,BV1b54y1B799
9,学婊的千层套路,102.0万,4380,1410209,106685726,BV16A411i7E3
10,你真的对这个世界做好准备了吗？丨ztalk,54.4万,1.3万,1240316,326246517,BV1yv411B7Ga
11,我国五大战区如何划分？哪个战区实力最强？西部战区距离印度最近,135.5万,4835,1195363,442603088,BV115411W7Md
12,印度网友疑惑：为什么中国人不抵制印度商品？中国网友在线真诚解答，听完他心态崩了..,273.4万,8876,1169914,16576379,BV13f4y117EE
13,【奇怪的传播学】下行生育率背后的传播学逻辑,66.1万,8577,1121757,13925422,BV1hV411k7h4
14,【戴建业】苏轼悼亡妻《江城子》，我每次读都很难受,91.4万,6600,1012508,532741557,BV1mt4y1X7Mx
15,文字频频乱码，这背后是显卡的扭曲还是规则的沦丧？,47.6万,3049,996555,39665558,BV1ai4y1x7Uz
16,【毕导】防淋雨的完美姿势！下雨天究竟跑步好还是走路好？,85.3万,1.2万,976684,254463269,BV1UA411v74L
17,万人血书急求：全国一卷答案规律！【北清学长被迫营业】,33.8万,2547,963870,397706711,BV1BC4y1a72c
18,张召忠说187：美国200个生物实验室遍布全球，搞什么猫腻？,52.8万,1.4万,931293,33683045,BV1Ap4y1S7ko
19,【乌鸦校尉】美国黑人曾距共产主义只有一步之遥？,54.2万,7735,904374,521249172,BV1Kv411B7Tw
20,三分钟教你偷走台军战机，开回大陆领50万奖金！,72.3万,2347,900992,602016061,BV1vZ4y1H7zt
21,【基德】为什么中国洪水越治理，经济损失越大？这是一种光看数据很容易导致的误区,57.3万,6995,862192,510856133,BV1eD4y1Q7Bt
22,提高面试成功率的n个小技巧，内含简历教程和建议,25.3万,498,858465,20656625,BV1Fz4y1X7GG
23,和中国一样大的太阳系模型！太阳系竟是如此空洞广阔！,59.7万,4436,841987,544503411,BV1Df4y117fq
24,直男第一次做手工会发生什么？！,67.7万,1.1万,794026,295723,BV1iC4y187XS
25,4个月吸毒花了几十万，害人的笑气竟然不算毒品，就在身边【禁毒日专题】,54.3万,5153,788314,479409514,BV1zK411n72P
26,律师评价《隐秘的角落》: 深度解析朱朝阳犯了多少罪？【正经法律】,74.3万,5013,727156,503481919,BV1Ap4y1S77N
27,她把300个节育环制成饰品展出，美丽背后是荒唐与屈辱,54.7万,2080,717725,4543111,BV1ek4y1q7oR
28,邓小平遗物故事·未吸的香烟,105.7万,0,701082,470740554,BV1ND4y1Q7L3
29,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,11.5万,808,700555,593470050,BV1n54y1B7bE
30,【睡前消息134】有人为“合村并居”批评山东，我想为山东说两句,76.9万,2.1万,685450,54992199,BV1xv411B7qM
31,印度疯狂抵制中国制造？背后的逻辑是这样的。。。,67.3万,4758,669189,32820037,BV1iv411B7pg
32,壮阔史诗！二战历史年表，超燃影视化剪辑【历史调研室】,20.6万,2908,635038,519872016,BV1Z5411p7Ct
33,2020年俄罗斯卫国战争胜利75周年红场大阅兵1080P,34.3万,1.7万,607620,287395018,BV19Z4y1H75W
34,南街村“向着‘共产主义集体村’目标前进！”,26.8万,2516,595141,432925927,BV1CK4y147um
35,【深海】海洋深处中的可怕巨兽 - 大小排名！,73.9万,5154,582920,37090749,BV1o54y1B7Dy
36,那些半句封神的句子|你知道另一半吗？,26.4万,566,578752,554445569,BV1uK411p7kQ
37,目前网上最专业的伪声教程，没有之一,28.1万,2926,574514,378885845,BV15A411e7eP
38,名词解释：磕炮、福利姬、异体骨、情降、杀猪盘、白马王子综合症 | 女孩别怕的女性安全小课堂,41.0万,4615,567031,26079128,BV1Za4y1Y76A
39,中国天眼遇暴雨成了汤锅？成功泄水主要靠两点，选址就用了整13年【中国天眼】,78.5万,904,549783,479324506,BV1cZ4y1u7nm
40,情侣开房你管得了吗？,70.6万,1116,546765,558597297,BV1yk4y1q7Pp
41,知道这些后 我戒掉了游戏,40.2万,6087,544377,165659472,BV1CT4y1J7ku
42,人类为何不能吃人肉,63.8万,1533,542113,388068439,BV1XK4y1x7WJ
43,过目不忘！开考前5分钟就能背完的短句（附解析+例句哦）【纸条摘抄】,13.5万,1667,541071,236602327,BV1Zk4y1B7bE
44,1991年苏联解体，看当时的新闻联播如何报道这一历史性时刻,50.0万,1229,530126,43778863,BV1TK4y147Ap
45,国际巨鳄索罗斯，是怎么被战斗民族打败的？回顾1998年的一场金融大戏！【柳行长故事会】,39.7万,4624,522395,23326926,BV1s5411Y787
46,沉迷“吸毒”的动物，千万不要吸毒,61.0万,1628,521632,2892755,BV1ek4y1q7jk
47,【自制】历时30天，用乐高还原DNF云上长安副本场景,20.6万,2964,518474,37607457,BV1Kp4y1S7n3
48,长春砍手门，高中生从球场争执到群殴杀人！一场篮球所引发的血案！,66.6万,2407,518113,94641579,BV1CZ4y1H7Po
49,日本网友评论，当中国人叫我们“小日本”时！反应亮了！评论笑死了！,59.6万,7848,518040,517587559,BV1KT4y1J7Nx
50,【自制】如何把门禁卡做成你用不起的样子？硬核UP自制带屏幕的NFC名片,24.1万,730,515877,20259914,BV1Cf4y1y7KT
51,【麦长青x戏里戏外】聊一聊23年前我出演的《天龙八部》，当时的我……,34.0万,7155,505977,549472400,BV1ra4y1Y7qh
52,【回形针PaperClip】为什么女生的内衣总是不合身？,41.1万,3064,495764,258150656,BV1rv411B7qu
53,印度进入安理会，还呼吁取消五常一票否决权，普京给出迎面一击,64.4万,1260,494501,605620744,BV1fA411v7Qr
54,世上有几人能活到这短片结束？,22.9万,8366,493374,7428971,BV1z4411Y7tX
55,【自制】马格努斯效应飞行器 ，一般人都看不懂的飞机,50.5万,1937,486320,74529609,BV1AC4y1Y7AE
56,这是毛爷爷最后一次参加中共十大，散会时说的一句话！,50.2万,0,480648,619001509,BV185411W7g2
57,前NASA工程师硬核实验：鲨鱼会被鲜血吸引吗？,49.9万,1783,478562,487511093,BV1Yz4y1Q7cM
58,【新海诚风格】教你将普通照片P成新海诚二次元风格！！！（干货分享）,10.3万,253,473582,34421019,BV1xt4y1y7jH
59,【Morty深度干货】为什么你总是那么穷？社会财富分配背后的残忍真相,16.4万,1346,472582,393260578,BV1Jg4y1q7xs
60,人到底为什么而活？活着太累了。深度解析余华经典《活着》,29.2万,2175,471658,9303228,BV1Bk4y1q73e
61,【英文听力练习600句】彻底提高您的英文听力水平,8.3万,992,460700,442056197,BV1Xg4y187KB
62,海猫你疯了？乌萨斯的熊孩子们到底映射了多少历史原型？细讲二月革命和十月革命【我的苏联】,23.1万,800,454232,243914508,BV1SA411v7ZD
63,【病娇】你真的了解燃烧瓶吗？我这里有些好康的,33.5万,292,445868,458063085,BV1hK411n7jP
64,从第7秒开始一直“卧槽”到结束,28.1万,1374,440587,281364515,BV1Lt4y197rU
65,【高考数学】看懂这张纸至少131分！清华学长带你押题（2020国I）,12.3万,571,433157,130885499,BV16z4y197yc
66,实拍抽真空神器去黑头的全过程，吸出来的瞬间强迫症看爽了！@油兔不二字幕组,52.9万,226,426186,15967711,BV1cD4y1S7BM
67,罗翔：我小时候经常跳楼,36.7万,823,415477,37529365,BV1bv41167g5
68,底线零容忍！外国毒贩以身试法被中国判死刑，总统求情都不好使,35.5万,2290,414237,149309196,BV1H54y1B7Z6
69,【短片】快 速 装 填,47.8万,50,410786,172207,BV1jD4y1S7v1
70,【真实空难】美国空中女王埃尔哈特，环球飞行时，在太平洋上空神秘失踪，给人留下了未解之谜,32.9万,5054,407891,454719565,BV1nf4y117XM
71,"[科普]为什么下雨天睡觉,会让人觉得特别舒服?",34.4万,866,401051,402576555,BV1o54y1i723
72,【油管热议】李子柒端午粽子视频被韩国人举报而导致下架？,43.8万,751,396132,238773074,BV13K411H7Us
73,重制《非诚勿扰》前女嘉宾王佳杀人案,43.7万,4504,393345,365752725,BV1a54y1B7hd
74,全民反智？看不懂漫威，就看不懂美国(四) : 高科技魔法（B站独家）,22.7万,7240,388972,495134012,BV13D4y1S7JZ
75,我用人工智能修复了百年前的北京影像!!第2期[民俗乐队，街边地摊与剃头匠]【60FPS彩色4K】,26.2万,2002,385771,176003,BV1ga4y1e77T
76,一不小心倾家荡产？创业开店选址避坑指南【蜡烛】,14.3万,1193,383800,3743849,BV1mf4y117Yx
77,23个可能会在哪天救你一命的小技巧,20.1万,591,376808,392812482,BV1eg4y1q7md
78,【Mo精选】最深度的EVA致敬CG - 导演完全版《EVA超·现实》【正片+幕后】 by SOMEI | C4D制作,9.5万,459,375740,95961527,BV1vt4y197xV
79,【实验艺术】让从来没有接受过新式学校教育的老人完成一幅画作,23.5万,467,367632,386717836,BV1XV411r7RT
80,【牛顿】《寄生虫》是韩国财阀的阴谋？,31.6万,1250,358977,303740257,BV11z4y1Q76T
81,【娱乐向】文人教你如何文艺的爆粗口‖对于丑人，细看是一种残忍。,10.7万,319,358453,479366807,BV1KQ4y1N7dd
82,怕你们早恋不敢给你看的名人照片，为此课本真的操碎了心,28.5万,3837,356806,597648758,BV1Lg4y1q7zP
83,"二货自封""皇帝”，满朝文武14人，被三名民警一举歼灭。",29.8万,4964,356665,388424220,BV1KC4y1Y7xh
84,【法治之光】罗翔教授打动人心的金句,14.9万,395,354855,324930121,BV1uE411375k
85,从发达国家混成发展中国家？希腊硬生生被中国“扛出了”经济危机！,34.4万,2232,354836,531131239,BV175411Y7rh
86,【赵律师普法】翻墙上网到底违不违法？,34.6万,1665,350192,587408733,BV1zf4y1174K
87,俄93岁二战老兵赴红场观礼 勋章中有一枚来自中国,30.2万,910,345445,176247665,BV1yA411v7D1
88,火力超猛！新疆军区重火器实弹射击,37.4万,242,342021,189866857,BV13z411v7rU
89,【武林外传】燕小六的结局究竟有多讽刺,37.5万,346,337519,171183920,BV1Jg4y1v7Je
90,【专访敬汉卿背后资本】各代网红能赚多少钱？UP主的商业潜力有多大？,25.5万,1115,334128,488898267,BV1Fz4y1X7qS
91,中国军方研制出电磁线圈枪,36.5万,621,332896,2806833,BV1iT4y1J74o
92,我强奸我自己犯法吗？？,31.4万,790,332880,396834936,BV1QE411s7PM
93,【玄学方法】靠这两句话，我地理上了80+,9.4万,1307,328036,37007477,BV1KK411W7uW
94,3个后悔没有早知道的赚钱顿悟 | 从半佛仙人的买房视频说起,11.8万,3068,323687,8420618,BV1mf4y1y7Hu
95,印度为什么总是要搞我们？,27.7万,2810,323389,521052818,BV1p5411Y7Gt
96,如何拯救变红了的C盘？,8.3万,131,322852,254479550,BV1m7411F7sd
97,为什么有些人什么也不干就能LV6？而你万年不升一级？,21.7万,1.3万,321611,12391388,BV1dJ41157Je
98,数量关系&资料分析《超厉害：资料无计算、数量无方程》（UP主其他课：公安联考、公安专业科目、公考面试公务员面试、数字推理、科学推理、言语理解、判断推理）名师公考,35.8万,1276,320678,488609381,BV1BJ41187wM
99,学习通前置弹出式摄像头按回后,36.7万,11,320397,442114789,BV1mt4y1X7eM
100,【阅网无数】你下载的“小电影”都被这个网站记录了！,11.1万,28,319756,18183451,BV1EA411i7Ca
