排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,骁话一下：为什么中日韩一谈合作，钓鱼岛就出事儿？,398.0万,5.8万,5734022,10330740,BV1R5411W7Re
2,毛选朗读（1～5卷） 持续更新中…,147.7万,1.5万,5493791,611501677,BV1e54y1B7WF
3,这个王者明明超强却喜欢捡垃圾吃【龙女动物学15】软甲纲,318.9万,1.5万,4707875,18706318,BV1hz411i7cD
4,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,180.6万,2.6万,3771933,2200736,BV14g4y1v7Ks
5,B站的儿童节礼物：哔哩哔哩视频卫星，把世界拍给你看！,601.2万,3.1万,3712342,591889353,BV1HC4y1p7nn
6,壮阔史诗！二战历史年表，超燃影视化剪辑【历史调研室】,118.5万,1.6万,3550881,519872016,BV1Z5411p7Ct
7,"泰戈尔《飞鸟集》英文版326首全集(英音+美音), 适合朗读和练听力",45.5万,1026,3292086,483162496,BV1Da4y1e7Q8
8,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,48.0万,2325,2912771,593470050,BV1n54y1B7bE
9,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,108.3万,2.5万,2641855,79577853,BV1Cp4y1U7fp
10,别让浑浑噩噩毁了你的生活！百万粉up主的时间管理心得分享！,105.7万,7127,2536573,63231,BV1CT4y1E7rf
11,那些半句封神的句子|你知道另一半吗？,143.6万,3339,2535805,554445569,BV1uK411p7kQ
12,【自制】如何把门禁卡做成你用不起的样子？硬核UP自制带屏幕的NFC名片,152.5万,7432,2523383,20259914,BV1Cf4y1y7KT
13,表白利器  马赛克拼贴照片制作  有字幕,67.6万,351,2486971,435307801,BV14g4y1i7Ey
14,为了做游戏，我花了10年自学程序、美术、音乐、策划,109.4万,1.5万,2441286,580207,BV11T4y1J7Lk
15,【戴建业】同学们我来B站了！今后一起聊聊诗词吧！,137.2万,4.0万,2351140,532741557,BV1KT4y1J7Gj
16,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,294.4万,3.2万,2308121,517327498,BV1xT4y177Kq
17,【罗翔vs半佛】专家没有灵魂？知识要广还是要精？,242.4万,2.8万,2289605,517491339,BV1YV411r7xs
18,【半佛】年轻人是否应该尽早买房,279.4万,2.2万,2270717,37663924,BV1ea4y1v7ce
19,扒开漂亮国的底裤，用事实告诉你，他到底有没有平等和自由【玄铁说】,184.7万,6.2万,2035378,474521380,BV1g5411W7PN
20,世上有几人能活到这短片结束？,93.3万,3.3万,1769077,7428971,BV1z4411Y7tX
21,选眼镜框有个公式你知道吗？,92.2万,1585,1727241,95348560,BV1xK4y187qB
22,【英文听力练习600句】彻底提高您的英文听力水平,29.4万,3353,1624679,442056197,BV1Xg4y187KB
23,全球衰退年代，年轻人的机遇与艰辛,88.3万,1.2万,1608438,520155988,BV1rC4y1a7kA
24,【高考数学】看懂这张纸至少131分！清华学长带你押题（2020国I）,42.3万,1693,1592222,130885499,BV16z4y197yc
25,【毕导】建议收藏！如何在毕业答辩上一展雄风，成为答辩之神！,58.5万,3204,1520500,254463269,BV1XT4y1u7ca
26,满分UP主倾囊教你写高分作文！最强攻略！【满分作文攻略01】,35.6万,5304,1511775,265059948,BV1b54y1B799
27,从第7秒开始一直“卧槽”到结束,147.5万,4567,1460108,281364515,BV1Lt4y197rU
28,干货! 成绩全A的UP主讲述留学生常走的五条弯路!,62.3万,4257,1431716,4162287,BV1xT4y1g7KZ
29,学婊的千层套路,102.0万,4380,1410209,106685726,BV16A411i7E3
30,过目不忘！开考前5分钟就能背完的短句（附解析+例句哦）【纸条摘抄】,31.3万,3753,1381257,236602327,BV1Zk4y1B7bE
31,1991年苏联解体，看当时的新闻联播如何报道这一历史性时刻,229.6万,5883,1323758,43778863,BV1TK4y147Ap
32,10年内，高考答案的强规律性【北清学长亲传】,38.3万,2241,1317185,397706711,BV1WZ4y1H7Jv
33,【阅网无数】你下载的“小电影”都被这个网站记录了！,45.0万,142,1293876,18183451,BV1EA411i7Ca
34,你真的对这个世界做好准备了吗？丨ztalk,54.4万,1.3万,1240316,326246517,BV1yv411B7Ga
35,如何反驳精神资本家？,84.5万,5356,1237878,301869,BV1Cf4y127Yz
36,女孩第一次来月经浑然不知，路人看到后，有人脱下了自己的外套（社会实验）,236.3万,6701,1237206,17293251,BV1mT4y1E7xf
37,我国五大战区如何划分？哪个战区实力最强？西部战区距离印度最近,135.5万,4835,1195363,442603088,BV115411W7Md
38,23个可能会在哪天救你一命的小技巧,76.9万,2764,1184402,392812482,BV1eg4y1q7md
39,印度网友疑惑：为什么中国人不抵制印度商品？中国网友在线真诚解答，听完他心态崩了..,273.4万,8876,1169914,16576379,BV13f4y117EE
40,痒到怀疑人生？被汗疱疹和荨麻疹支配过的同胞们看过来，皮肤科医生手把手教你解决,72.6万,4444,1168395,456404164,BV1si4y1x7HJ
41,【一勺思想】特朗普最大“贡献”，就是亲手摧毁了中国人对美国的幻想,142.5万,9918,1164986,54992199,BV1ba4y1v7Hv
42,阵亡率500%的铁军，真实还原惨烈的“上甘岭”战役,69.0万,7136,1162390,374377163,BV1oC4y1h7io
43,"【思维实验室】如果甲午战争大清赢了,日本会怎样？",90.4万,1.2万,1160024,14583962,BV1dp4y1S7Vx
44,汇总一下那些小众却惊艳的成语｜知识文化积累,27.0万,1501,1155373,12394995,BV15p4y1Q7vi
45,罗志祥是渣男，周扬青就是白莲花吗？,72.1万,5981,1149776,484570803,BV1UQ4y1A7xZ
46,华为等中国制造，美国如何靠软件，卡住脖子？,72.1万,1.6万,1129747,478269351,BV1Av41167n1
47,一张A4就搞定! 3种折叠法让复习更高效 | 简单实用的复习笔记 | 妙用三维学习方法 | 干货,24.3万,474,1128456,161400187,BV11z4y197sm
48,【奇怪的传播学】下行生育率背后的传播学逻辑,66.1万,8577,1121757,13925422,BV1hV411k7h4
49,三分钟教你偷走台军战机，开回大陆领50万奖金！,101.7万,3760,1116015,602016061,BV1vZ4y1H7zt
50,鲸爆：大自然的炸弹，目前为止最有味道的一期视频,203.0万,2.2万,1115466,385805493,BV1uC4y1a71G
51,底线零容忍！外国毒贩以身试法被中国判死刑，总统求情都不好使,172.6万,1.2万,1102295,149309196,BV1H54y1B7Z6
52,YouTube 上亿播放量的宣传片：我是中国军人！,105.9万,0,1095720,516790024,BV1bE41147AV
53,"二货自封""皇帝”，满朝文武14人，被三名民警一举歼灭。",147.7万,2.2万,1089549,388424220,BV1KC4y1Y7xh
54,顶级葡萄酒这么做？我裂开了,135.0万,1.0万,1089475,378885845,BV1zT4y1E7bb
55,【浪眼睛03】骗子如何敛财千亿不被抓？揭秘2万家MCN机构运作套路，深挖直播带货骗局,57.4万,5234,1079367,290548469,BV1Vv41167ia
56,搜索效率提升200%！8个小技巧助你快速查资料，妈妈再也不担心我的学习了~【蜡笔小干货01】,25.3万,810,1079212,250111460,BV1YK4y1t7bg
57,李玫瑾：不给玩手机，孩子哭闹怎么办？,68.4万,1399,1076673,453469469,BV15k4y1z7Yj
58,【法治之光】罗翔教授打动人心的金句,47.0万,1269,1062145,324930121,BV1uE411375k
59,美国风景线是孕育着恶之花的土壤吗？为何理中客始终只要求中国网友保持理智？【独树一帜44】,69.2万,9066,1047740,99336697,BV1ug4y1q7CK
