排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,乘风破浪的姐姐-大碗宽面练习室版舞蹈,211.4万,1.8万,2002785,388130012,BV1VD4y1S7ho
2,【舞小喵】短裙-Miniskirt❤性感小野猫来袭~,41.8万,548,881423,2223018,BV1MZ4y1p7Er
3,【卡卡】♦囍♦一尺一恨,34.9万,1777,860371,2400404,BV1pz4y1X7pC
4,姐姐无处不在，姐姐无人不爱,68.3万,751,816246,837470,BV1rv411B7j1
5,炫目特效,41.3万,773,778283,33656520,BV1fz4y1973E
6,【猛男版】新 宝 岛,62.2万,3129,728021,930099,BV1j4411W7F7
7,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,64.1万,1819,722435,483879799,BV1fk4y1z7K9
8,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,50.4万,1704,683676,12723824,BV1kt4y1X7ta
9,【兔总裁】想做你的公主❤幻想童话IZ*ONE,53.1万,543,679113,15385187,BV1U5411W7LN
10,【夏酥酥】 ice-cream  ❤,35.1万,220,646762,4568488,BV1PA411i7qn
11,不要心动❤️我要开始表白了【欣小萌】,48.4万,1877,625491,8366990,BV1rD4y1Q7jc
12,【糖小V】优雅小黑裙❤️Dumhdurum-Apink,25.0万,218,600855,2851020,BV18k4y1z74d
13,4K*10cm高跟蹦迪《无价之姐》李宇春【乘风破浪的姐姐】主题曲【紫嘉儿】,51.9万,533,548360,2743119,BV1YK4y147kR
14,【几兔灰】Hot lssue - 徐穗珍【竖屏】,27.7万,175,544778,1845381,BV1bf4y117kM
15,"""Say So""四人编舞，复古蒸汽波校园初体验:)，Doja Cat ft. Niki Minaj",34.1万,400,522754,619670104,BV1CZ4y1H7eH
16,【十六】AOA-Short Hair【短发也可以性感和可爱】,22.3万,156,465677,487541,BV19p4y1U7wt
17,精神小姐姐地铁站热舞,41.3万,717,456603,900171,BV1af4y117Rj
18,【小巫】国风旗袍❀咏春·七朵❀春知晓梦不觉恰似你我那年……,15.9万,470,408358,2691287,BV1wK411H7LA
19,【中信银行信用卡中心】超还原书记舞，不看错亿！,39.9万,431,398233,496884292,BV1rt4y197PW
20,【莉莉子】AOA 猫步轻俏 就算入睡也一定会梦到我,14.9万,130,393760,10494755,BV19V411r7Wn
21,换了16套裙子为爱应援！Lo娘也有爱豆梦！,31.1万,667,385150,466272,BV16a4y1e7r8
22,打破偏见的男生双人舞 MoodDok让人脸红心跳的Urban编舞Idea686！,13.3万,385,382953,4537274,BV11v411z7vd
23,徐艺洋《怪女孩》直拍！僵尸哥特风！太绝了！,32.6万,5178,381548,32782335,BV1UZ4y1H7cu
24,【椰汁兔】我们就这样轻易地结束了吗...《Alone》竖屏,18.2万,68,381482,72282460,BV1Y54y1B7uw
25,想知道天鹅的秘密吗❤西四❤Secret Story of the Swan~幻想童话【IZ*ONE全曲翻跳】,19.5万,599,363730,521444,BV15t4y197Zj
26,女孩子要帅一定要跳蒙族,18.6万,401,354937,174011028,BV1UA411q7B4
27,让桥本环奈大火的舞蹈视频,35.9万,76,349353,37766421,BV1Xf4y127Ya
