排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,精神小姐姐地铁站热舞,41.3万,717,456603,900171,BV1af4y117Rj
2,【卡卡】♦囍♦一尺一恨,13.7万,901,347766,2400404,BV1pz4y1X7pC
3,BLACKPINK新歌How You Like That 9套换装 全曲翻跳【Ellen和Brian】,9.5万,664,225190,399114140,BV1Q54y1i7hq
4,乘风破浪的姐姐-大碗宽面练习室版舞蹈,15.2万,1482,218464,388130012,BV1VD4y1S7ho
5,张语格&周梓倩｜Blackpink-How You Like That翻跳｜cover｜snh48,9.4万,2239,170584,605599077,BV1yk4y1q7Eb
6,BLACKPINK最新回归曲(How You Like That)欧尼实力舞蹈Cover,10.3万,218,147693,238718278,BV1eT4y177rC
7,震惊！某高三女学生竟然在毕业班会...跳了MAMAMOO的HIP,10.6万,103,117989,131679200,BV1n54y1z7Zz
8,【猛男版】新 宝 岛,7.7万,439,112166,930099,BV1j4411W7F7
9,破风( 青春有你2版本）翻跳 |  今天的下午贡献给破风 |穿着全身是猫毛的黑衣服黑裤子黑帽子黑鞋跳舞四舍五入安娜也上场了｜,4.9万,2813,110210,18946307,BV1kz411e7bA
10,【苏司喵】BLACKPINK粉墨“How You Like That”全曲换装翻跳,5.6万,389,97357,211381797,BV17T4y177hs
11,花花世界迷人眼❀波喵一花依世界,3.3万,104,97120,463999,BV18T4y177pS
12,【舞小喵】短裙-Miniskirt❤性感小野猫来袭~,5.0万,47,78836,2223018,BV1MZ4y1p7Er
13,【酒醉de蝴蝶】申请加为好友,4.6万,143,70577,7815300,BV12i4y1G7nN
14,【中信银行信用卡中心】超还原书记舞，不看错亿！,6.1万,54,69980,496884292,BV1rt4y197PW
15,【张晋的视频】听说你们想看，被迫营业的舞一个,6.2万,89,68642,434734521,BV1PK411H7gP
16,【月亮欧尼】Sistar-I swear 错过了今天你会后悔,1.7万,29,65906,8026753,BV1fp4y1U7vU
17,【小巫】国风旗袍❀咏春·七朵❀春知晓梦不觉恰似你我那年……,3.3万,54,60606,2691287,BV1wK411H7LA
18,别爱我，没结果，除非花手摇过我,4.6万,181,60418,837470,BV1N54y1Q7ws
19,女孩子要帅一定要跳蒙族,2.9万,56,56521,174011028,BV1UA411q7B4
20,我要变好看，变超好看，再去找小哥哥搭个讪【龙衣】,1.3万,46,56282,533612,BV1RZ4y1H72k
21,炫目特效,2.6万,51,52744,33656520,BV1fz4y1973E
22,演员张俪 最新翻跳BLACKPINK新曲《How you like that》,5.0万,42,51550,86469984,BV1G5411Y7sZ
23,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,3.3万,76,49691,12723824,BV1kt4y1X7ta
24,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,3.4万,88,46856,483879799,BV1fk4y1z7K9
25,【senko】来晚了~限量版广场舞《酒醉的蝴蝶》，土到极致就是潮流！,3.0万,52,46413,385282068,BV1bg4y1v7Rb
26,商场无人偷偷蹦迪 进来围观Thumbs Up长腿御姐在线蹦迪教学【轩哥】,2.5万,20,41666,92438601,BV1c54y1z7Ni
27,KIKI//翻跳 一口气跳完Blackpink心头爱副歌part,2.1万,39,41529,17614942,BV1hk4y1q7Cg
28,【铃舟】芒种 一想到你我就～wuwu,1.1万,35,40432,138789848,BV1qK411n7Dg
29,「RAB」MURATOMI欢迎回家！【DAYBREAK FRONTLINE】,1.2万,561,38672,434705993,BV1mt4y197pf
30,【BLACKPINK - How You Like That】舞蹈分解教程合集 镜面,1.2万,8,38029,98779918,BV1Ci4y1G7Dz
31,【頎三73】囍 ❁于黑夜出嫁 做你的新娘❁,1.4万,24,37520,4435541,BV1UK4y1C7jc
32,换了16套裙子为爱应援！Lo娘也有爱豆梦！,2.9万,56,36905,466272,BV16a4y1e7r8
33,让桥本环奈大火的舞蹈视频,3.2万,6,34362,37766421,BV1Xf4y127Ya
34,不要心动❤️我要开始表白了【欣小萌】,2.7万,41,33376,8366990,BV1rD4y1Q7jc
35,鞠婧祎-恋爱告急 【练习室】【竖屏】,2.5万,7,33286,10893225,BV15z411v7fJ
