排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,炫目特效,151.0万,3128,2553069,33656520,BV1fz4y1973E
2,乘风破浪的姐姐-大碗宽面练习室版舞蹈,211.4万,1.8万,2002785,388130012,BV1VD4y1S7ho
3,别爱我，没结果，除非花手摇过我,253.2万,1.2万,1822934,837470,BV1N54y1Q7ws
4,换了16套裙子为爱应援！Lo娘也有爱豆梦！,209.4万,7868,1702875,466272,BV16a4y1e7r8
5,打破偏见的男生双人舞 MoodDok让人脸红心跳的Urban编舞Idea686！,61.3万,2345,1692135,4537274,BV11v411z7vd
6,女孩子要帅一定要跳蒙族,128.1万,2885,1622072,174011028,BV1UA411q7B4
7,【猛男版】新 宝 岛,200.1万,1.0万,1491036,930099,BV1j4411W7F7
8,猛男高跟鞋带你跳【乘风破浪的姐姐】主题曲 李宇春《无价之姐》完整版舞蹈练习室,125.5万,5279,1342513,12723824,BV1kt4y1X7ta
9,【官方】张艺兴《莲》舞蹈版视频,66.3万,1.9万,1320310,32708657,BV1qK411p7hW
10,【舞小喵】Nice Body~点击进来领取 绝世好身材,78.1万,842,1293001,2223018,BV1hg4y1q7w4
11,【酒醉的蝴蝶】想要和妈妈做朋友，妈妈看了和我绝交,89.9万,7571,1079106,9320655,BV14z4y1d7n3
12,清新夏日限定❤️你最最最重要！【欣小萌】,93.6万,2679,1005478,8366990,BV1H5411W7mQ
13,广 场 舞 大 妈 大 闹 B 站,116.7万,6869,996264,23085689,BV1FK4y147N9
14,【小诺】真 爱 杀 宝 贝 ！,111.9万,1267,986013,450112114,BV1QV411R7ri
15,【SUNMI_宣美】又跳了《nobody》《24小时都不够》，你们喜欢吗,109.4万,3623,893641,544368017,BV1Wv411B7Eh
16,【椰汁兔】就此沉溺在你甜美的谎言之中..《Alone》,57.0万,295,886317,72282460,BV1R5411p7MJ
17,粉红色的性感～【Babe】【泫雅】【伢伢】【韩舞翻跳】,62.8万,499,879615,632887,BV1Ba4y1Y7nQ
18,【卡卡】♦囍♦一尺一恨,34.9万,1777,860371,2400404,BV1pz4y1X7pC
19,尝试在大街上跳酒醉的蝴蝶，看路人反应......,115.6万,3408,855500,15385187,BV1NC4y1a7rj
20,BLACKPINK  练习室舞蹈 合集 已更！,69.8万,7395,834364,52149822,BV1xx411m7od
21,【党妹】你最最最重要！花絮大放送,122.5万,3438,826478,402482964,BV1754y1Q7Pf
22,这大概就是从此君王不早朝的原因吧~,59.1万,1118,744448,10893225,BV1vK411p77E
23,【猛男舞团】辉夜大小姐想让我做猛男丨Daddy Daddy Do！翻跳,64.1万,1819,722435,483879799,BV1fk4y1z7K9
24,【十元酱】和广场舞阿姨battle《酒醉的蝴蝶》，阿姨都甘拜下风？,90.0万,3001,716069,20067185,BV1kg4y1i78T
25,又美又野，攻气冲天，谁看了不叫一声姐姐？喻言《 a little bit 》全开麦直拍,48.0万,3.1万,704270,11397911,BV1eg4y1B7m6
26,【小巫】魅惑短发有撩到你吗？AOA-Short Hair【4k60帧极致体验】,34.3万,809,686433,2691287,BV1Qf4y127FH
27,赵小棠初舞台《五毒》练习室！Solo版中国风来了！你觉得如何？,44.1万,2667,683830,32782335,BV1Ep4y1D7h4
28,让桥本环奈大火的舞蹈视频,121.0万,345,680047,37766421,BV1Xf4y127Ya
29,看 不 看 啊,38.3万,320,667506,52933528,BV1Tk4y1z7bn
30,【夏酥酥】 ice-cream  ❤,35.1万,220,646762,4568488,BV1PA411i7qn
31,【啵啵本bo】蹦跶 thumbs up 赶得到末班车吗,44.1万,201,629649,265277350,BV1hQ4y1P7Dg
32,【小仙若】shake it ！冬日也要活力满满！,66.9万,1062,616052,16539048,BV11E411k76T
33,【正义xPk.男女双跳】囍~B站最强quan编舞!我有情，我有泪，也曾无悔~错过后已是莫然~或相拥不相视~,22.3万,534,604082,5197192,BV1g5411x7Ep
34,【几兔灰】Hot Issue - 徐穗珍 · 4K体验【万粉感谢】,30.0万,141,603647,1845381,BV1pT4y1J7Wb
35,【糖小V】优雅小黑裙❤️Dumhdurum-Apink,25.0万,218,600855,2851020,BV18k4y1z74d
36,【男子五人】用韩团的方式打开《酒醉的蝴蝶》【精 神 小 伙】,48.5万,1998,581911,733995,BV1ot4y1275f
37,1小时超长合集王心凌蔡依林徐怀钰周杰伦萧亚轩蔡健雅林俊杰周深...超人气中文歌尊巴版尊巴Zumba舞蹈教学高效燃脂操减肥操减脂健身操有氧舞蹈健身塑形产后瘦身减肥,14.1万,902,579104,472682726,BV1kC4y1H7uY
38,【4K】重庆大学毕业生版《YES! OK! 》青春有你之毕业纪念视频 外国语学院的研究生小姐姐带来的舞蹈！,65.8万,2440,563131,233659791,BV1Ut4y1X7vY
39,蛇舞S妖娆曼妙肚皮舞小姐姐-欧洲联赛,39.4万,535,557204,192946802,BV1YC4y1a7Z9
40,4K*10cm高跟蹦迪《无价之姐》李宇春【乘风破浪的姐姐】主题曲【紫嘉儿】,51.9万,533,548360,2743119,BV1YK4y147kR
41,【咬人猫】沙滩上的水手服喵! ❤️ booo!【第100作】,50.8万,485,543270,116683,BV1Xz4y1X7P1
42,"""Say So""四人编舞，复古蒸汽波校园初体验:)，Doja Cat ft. Niki Minaj",34.1万,400,522754,619670104,BV1CZ4y1H7eH
43,【頎三73】囍 ❁于黑夜出嫁 做你的新娘❁,21.4万,677,520391,4435541,BV1UK4y1C7jc
44,【晓丹】AOA性感风尝试-Like a Cat猫步轻俏~,22.0万,360,517880,21648772,BV1GT4y1J7Ny
