排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,98.0万,8249,2235211,85318798,BV1SA411v7zD
2,BLACKPINK 新曲《How you like that》MV公开,243.8万,4.5万,1661089,289848213,BV1HT4y1J766
3,与火星的孩子对话（现场版） - 华晨宇,49.4万,9.6万,1484152,32708543,BV1pg4y1q7e2
4,《瘾》原创说唱×国家禁毒日宣传曲,48.8万,979,1407542,337312411,BV1TK4y1476o
5,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),169.3万,2.8万,1316562,86469984,BV1SC4y1a7jo
6,【阿宅专用】是阿宅就来听听这个！,61.8万,2017,1236827,339567211,BV11D4y1D7Kx
7,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,58.8万,1244,1182997,23307992,BV1Dt4y197dr
8,在宜家做一首BAD GUY，宜家GJ！（补投）,49.1万,6457,1100072,596324576,BV1ha4y1Y7JW
9,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,79.7万,1757,1093855,472807480,BV1R5411W7BK
10,我把高考必背历史做成了一首歌！,35.7万,2363,1046279,249608727,BV13A411i7Xi
11,【黄龄】今天也是越来越《喜欢你》们的一天吖！,111.1万,8568,959246,345630501,BV12p4y1U7Xe
12,被上帝吻过的嗓子,116.7万,3344,948187,484831835,BV1Wa4y1v7qB
13,特朗普连任应援歌《让美国保持伟大》正式MV,113.1万,7168,882223,248940112,BV1AK4y147fq
14,【Animenz】紅蓮華 - 鬼灭之刃 OP 钢琴版,32.7万,2282,870027,6075139,BV1sA411i7tz
15,【祖娅纳惜】 麓海为王【他们跟我说，要海妖吟唱！】（阴阳师-铃鹿御前同人曲）,30.5万,2260,849222,3046429,BV1az4y1Q7aB
16,【古筝】Only My Railgun —— B站十一周年快乐！,36.6万,2571,804429,2374194,BV1Ef4y117AD
17,【喀秋莎】同志们！伏特加！乌拉！！!,53.7万,1680,768402,10761353,BV1PV411k7eT
18,清唱，他不爱我,55.7万,1123,763087,605205509,BV1Vi4y1x7bk
19,【架子鼓】燃爆！鬼灭之刃op《紅蓮華》-LiSA|和服甩起来真是太困难了- -.,67.7万,1074,749265,37349250,BV1Y5411W7uD
20,震惊!!不会真的有人能翻唱《Loser》吧?!,56.5万,1258,735528,256912050,BV1T5411Y7n3
21,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,40.8万,1118,726496,322032202,BV1B54y1X7Ls
22,BLACKPINK 最新回归《How You Like That》MV 先行曲完整版震撼空降,79.2万,5900,718092,5020289,BV1Wg4y1q7h2
23,满级大佬屠杀新手村,52.0万,1271,712340,247412150,BV1LJ411W7Bo
24,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,45.1万,764,708199,34567934,BV15k4y1r7K3
25,【SUNMI_宣美】我的新歌MV来啦！带给你们夏日的“菠萝冰棒”,37.1万,4177,661716,544368017,BV1QZ4y1M7ca
26,BLACKPINK最新回归曲How You Like That打歌舞台合集(更至200628),56.9万,6271,661320,16720403,BV1BC4y187Au
27,《Numb》——4K超清  翻唱,44.2万,1441,642587,11299160,BV1mK4y1x7Mb
28,女团舞《Psycho》李大辉×崔普闵×黄铉辰×尹产贺 cover,38.3万,3248,580499,142372839,BV1Cz411e7nL
29,7首你曾听过而不知其名的梗曲,37.5万,1327,508653,262453663,BV15K4y1s7hu
30,【经典】周杰伦全MV 【191P】,36.0万,5498,489644,1352611,BV1fx411N7bU
31,【Vitas女装】b站11周年生日快乐！尝试了女装，你们喜欢吗？感谢大家的支持,33.7万,3681,471466,516786865,BV1Yz411e7Rb
32,泪崩！火箭少女101全体穿婚纱唱《Light》！,36.1万,2679,470745,32782335,BV1kf4y1y7T9
33,最强自夸王！！！！！,31.0万,6008,470157,1577804,BV1p7411Y7BC
34,火箭少女解散居然出现神级现场，仿佛我是歌手舞台！全开麦实在太棒了,35.0万,3315,466617,10691588,BV1gV411k7DK
35,将诗唱成歌！王源演绎《读山海经》惊艳全场,23.7万,1.8万,463910,456664753,BV1uz4y1X7Co
36,bilibili十周年纪念影片《干杯》,26.4万,2680,459455,8047632,BV1h441137Uc
37,【原创动画MV】永远的十七岁 | 国风虚拟偶像,20.6万,576,453448,602300499,BV1mD4y1D7qz
38,V神Vicetone新歌《Animal》MV！这胖子看着怎么这么眼熟！？,46.3万,1257,452672,81966051,BV1bk4y1z7Lp
39,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,15.4万,1785,445622,2645423,BV1k7411k79Q
40,【蔡依林】节目组错放原音 可是老娘就是要真唱真跳,55.9万,326,444103,438986368,BV1W5411W74K
41,【BLACKPINK】这现场实力不火都难！老娘穿韩服照样可以Slay全场！How You Like That高能附体翻唱来袭！,39.0万,971,442166,553459608,BV1Av411z7Hr
42,【考试必背，听完语文+5分】《琵琶行》【战斗吧歌姬XVirtuaReal】,11.4万,1299,439184,364225566,BV1Yz4y1Q7ZU
43,the real suger baby已知最高画质,30.8万,178,433336,30194033,BV16b411b71j
44,【WNS中字】200626 BTS (防弹少年团) 'Stay Gold' Official MV,18.3万,3972,427485,14025362,BV1hp4y1U74d
45,小时候的你真的听懂someone like you了吗？长大后再听已然成为曲中人......,26.5万,197,423898,372742731,BV1Eg4y1q7Kq
46,他永远都不知道他这首歌在QQ飞车里有多火,32.5万,1506,423501,40305856,BV1pt411p7JK
47,解散前最后一场！火箭少女101杨超越最后一次为《卡路里》注入灵魂！！！,48.2万,863,421412,108090996,BV1kZ4y1H77i
48,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,16.5万,590,418459,20165629,BV1PK411L7h5
49,赖美云《女孩与王冠》——每个勇敢的女孩都自带王冠，请让我唱给你听,16.8万,3436,418080,194128,BV1gz411v75M
50,【花丸晴琉＆鹿乃】チューリングラブ《Turing Love》翻唱【花寄女生宿舍】,13.5万,659,416572,441381282,BV1cC4y1Y7JD
51,DECO*27 - 二息歩行 (Reloaded) feat. 初音未来,8.8万,534,404752,177291194,BV1d54y1i78m
52,【湊あくあ】愛をこめて花束を【翻唱】,13.1万,1297,402040,375504219,BV1xV41167FY
53,[30covers] HOW YOU LIKE THAT / BLACKPINK / 男声翻唱！最强最快最高质量了解一下！粉墨听了都想立刻出新专辑！,17.5万,1167,401483,178175006,BV1Da4y1Y7x4
54,2020高考加油！《赴梦》夸克APP高考国风主题曲,14.0万,2796,393437,405724215,BV1wK4y1474y
55,如果把【黑人抬棺】做成中国风音乐,20.7万,2071,391041,3991980,BV1fC4y1s7vv
56,【钢琴】《追梦赤子心》2020高考应援，加油！,30.7万,737,387939,320491072,BV1Dt4y1X7Fd
57,'我  佛  了',23.5万,1367,380496,327971418,BV17i4y147NF
58,当韩国人听了万人合唱的中国名曲？鸡皮疙瘩撒一地操作！,40.1万,2955,379521,39304265,BV1Bv411B7DY
59,魔动闪霸《对手》（超清版）,30.5万,863,376077,279353389,BV1Dz4y1Q7Ct
60,成都街头 含泪演唱《曾经我也想过一了百了》但 那只是曾经。,22.3万,326,371492,11139681,BV1Hv411z73N
61,【Ayasa】《辉夜大小姐想让我告白 第二季》OP《DADDY!DADDY!DO!》,20.0万,322,368313,321056219,BV1Nt4y197KY
62,Giao哥开演唱会了？由于没啥才艺，竟然硬生生“giao”了2个小时！,42.1万,931,365626,11173348,BV18z411e7VY
