排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,伊之助深情演奏鬼灭OP《红莲华》抒情版,24.8万,2436,362330,320491072,BV1vf4y1177S
2,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),27.9万,2490,351598,86469984,BV1SC4y1a7jo
3,DECO*27 - 二息歩行 (Reloaded) feat. 初音未来,7.7万,357,340283,177291194,BV1d54y1i78m
4,【SUNMI_宣美】我的新歌MV来啦！带给你们夏日的“菠萝冰棒”,20.0万,1488,336348,544368017,BV1QZ4y1M7ca
5,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,15.2万,272,323100,23307992,BV1Dt4y197dr
6,【黄龄】今天也是越来越《喜欢你》们的一天吖！,24.6万,890,283394,345630501,BV12p4y1U7Xe
7,最怕班里有这种女同学！随便一跳勾走全校男生的魂，成为女生公敌,26.0万,470,265581,353230307,BV1Xk4y1q78j
8,当韩国人听了万人合唱的中国名曲？鸡皮疙瘩撒一地操作！,22.8万,1059,230109,39304265,BV1Bv411B7DY
9,震惊!!不会真的有人能翻唱《Loser》吧?!,13.3万,340,213901,256912050,BV1T5411Y7n3
10,上半年抖音忍无可忍的BGM，盗歌的“阴乐人”这期就是针对你们的！,13.2万,3955,212007,287003199,BV1iC4y1874h
11,MAMAMOO华莎最新Solo曲Maria MV公开,12.9万,565,200141,16720403,BV1dZ4y1H79L
12,【官方MV】Mojito - 周杰伦,11.1万,532,166912,32708543,BV1PK4y1b7dt
13,BLACKPINK 新曲《How you like that》MV公开,12.1万,1007,166251,289848213,BV1HT4y1J766
14,保温杯演奏Someone You Loved，敲敲（补投❉内有彩蛋）,7.2万,271,164590,596324576,BV1cV41167md
15,200630 JYP 新女团NiziU 出道先行迷你专辑 『Make you happy』恭喜,14.9万,674,164032,285482753,BV1tC4y187vH
16,钢琴 Young and Beautiful 了不起的盖茨比 The Great Gatsby【4K】,5.5万,345,160054,419743655,BV1Fz411v7WS
17,傅如乔央视全开麦唱《微微》！好听！,13.5万,296,144833,32782335,BV1kk4y1q7wF
18,再坚持一会 镜头就在前方,11.5万,143,134415,385315631,BV1n54y1z7j8
19,【喀秋莎】同志们！伏特加！乌拉！！!,7.5万,226,132245,10761353,BV1PV411k7eT
20,被上帝吻过的嗓子,10.3万,336,132074,484831835,BV1Wa4y1v7qB
21,【声优翻唱】派蒙の糖果旅行——《Sweets Parade》,6.2万,159,130533,11253297,BV1rg4y1v7xR
22,秦昊、王圣迪《白船》（网剧《隐秘的角落》片尾曲）,8.7万,697,122670,350869861,BV1xV41167X5
23,【BLACKPINK】这现场实力不火都难！老娘穿韩服照样可以Slay全场！How You Like That高能附体翻唱来袭！,9.3万,160,118173,553459608,BV1Av411z7Hr
24,普通宅女和阳光宅女有什么区别？B站音乐区up教你夏天的正确打开方式（原唱：周杰伦）,7.5万,253,116162,38407276,BV1cz411v7VU
25,BLACKPINK新单How You Like That 美区特供版MV,6.4万,179,111923,59308927,BV1Xa4y1Y72Y
26,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,4.6万,193,110627,85318798,BV1SA411v7zD
27,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,5.4万,132,101847,322032202,BV1B54y1X7Ls
28,只用手机可以制作出专业的音乐吗？？,5.7万,462,98163,5626845,BV1iD4y1Q7jL
29,【BLACKPINK】【4k超清版】【无水印收藏级】官方MV合集（已更至'how you like that'）,2.7万,183,91650,37689553,BV1Kf4y1m7GR
30,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,5.2万,100,91594,34567934,BV15k4y1r7K3
31,清唱，他不爱我,5.4万,93,82797,605205509,BV1Vi4y1x7bk
32,“钢铁洪流”作者再上新！音乐里这些抗疫瞬间太难忘,5.0万,222,82465,456664753,BV1gz4y1X7nc
33,美波「アメヲマツ、」MV【等雨】,2.0万,153,80894,40578163,BV1BC4y1874a
34,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,4.8万,85,80891,472807480,BV1R5411W7BK
35,《时候》翻唱，谁能比老娘更做作！！！,5.1万,215,80062,2501765,BV1xz4y1X7gN
36,黄渤万万没想到，“正道的光”成了欧美网红最爱BGM，太魔性了,7.2万,138,74970,368107707,BV13D4y1S7M2
37,满级大佬屠杀新手村,4.6万,130,74754,247412150,BV1LJ411W7Bo
38,【4K】不一样的黑人抬棺-钢琴和脚鼓的即兴创作 Astronomia - Piano and Kick Drum - Peter Bence,4.0万,273,73932,314566933,BV1cZ4y1u7B4
39,贵州方仔发次狂暴发声！“把爱奇艺唱破产”,5.0万,110,73459,298668059,BV1mk4y1z7WK
40,【经典】周杰伦全MV 【191P】,4.9万,478,69417,1352611,BV1fx411N7bU
41,【Animenz】紅蓮華 - 鬼灭之刃 OP 钢琴版,3.4万,99,69411,6075139,BV1sA411i7tz
42,【祖娅纳惜】 囍 【这什么灵魂唢呐！！】,3.4万,63,65866,3046429,BV1aE411n7wb
43,Blackpink【HowYouLikeThat】/用中文打开“世界墨日”的神仙旋律,4.3万,140,65283,13287118,BV1Ni4y1V7db
44,魔动闪霸《对手》（超清版）,4.9万,179,63230,279353389,BV1Dz4y1Q7Ct
45,《Numb》——4K超清  翻唱,3.9万,146,62590,11299160,BV1mK4y1x7Mb
46,最强自夸王！！！！！,3.9万,447,62586,1577804,BV1p7411Y7BC
47,the real suger baby已知最高画质,4.1万,28,62429,30194033,BV16b411b71j
48,【出道前的周深】为Super Junior利特唱生日曲《独特记忆》,3.2万,210,59833,14269304,BV1Pa4y1e7dC
49,我听过最好听的《大碗宽面》，戏腔一出我差点跪了，又燃又炸！,5.8万,128,59411,193262326,BV1kC4y187fu
50,特朗普连任应援歌《让美国保持伟大》正式MV,4.0万,315,59242,248940112,BV1AK4y147fq
51,他永远都不知道他这首歌在QQ飞车里有多火,4.1万,205,58024,40305856,BV1pt411p7JK
52,《青春有你2》英文翻唱 《猎 HUNT》,2.9万,131,56628,606120455,BV1ZZ4y1M7kS
53,【NiziU】JYP日本新女团预出道曲Make You Happy MV公开~听到那句熟悉的J~Y~P了,4.7万,310,56559,92340680,BV16K4y147Mw
54,90年代的日本 也太open了吧,5.1万,30,56243,72910509,BV1Hi4y1b7U2
55,【阿宅专用】是阿宅就来听听这个！,3.0万,70,56178,339567211,BV11D4y1D7Kx
56,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,2.2万,84,55969,20165629,BV1PK411L7h5
57,【米津玄师/live/LOSER】loser日中字幕现场版-八爷：来，跟我一起摇滚~！,3.0万,93,55943,105421771,BV18J411i7A9
58,bilibili十周年纪念影片《干杯》,3.2万,241,55186,8047632,BV1h441137Uc
59,【40mP】だんだん早くなる Getting Faster and Faster【初音ミク】,1.5万,63,54369,601613427,BV1Xv411B7PG
60,【毒鸡汤提神醒脑歌】每个人都是鸡毛(Everybody Sucks) @柚子木字幕组,3.2万,148,54265,221648,BV1J54y1z7Lk
61,【日语版】一剪梅！内味儿太重了！,3.4万,112,52843,549222,BV13a4y1e75v
62,从前前前世开始，我就一直在追寻你的踪迹！街头钢琴“寻找”（弹奏）《前前前世》,3.6万,216,50950,13677047,BV1Nz411v7SH
63,'我  佛  了',3.1万,163,50448,327971418,BV17i4y147NF
